timestamp,accX,accY,accZ
0,6.83,-3.42,15.02
90,8.10,-3.32,15.57
94,8.39,-3.32,16.50
99,8.42,-3.39,17.82
104,8.33,-3.36,18.48
109,8.56,-3.35,19.16
113,8.56,-3.22,19.34
118,8.84,-2.84,19.49
123,9.11,-2.52,19.53
128,9.22,-2.28,19.54
132,9.45,-1.64,19.54
136,9.64,-1.05,19.54
141,9.75,-0.38,19.54
146,9.97,0.28,19.54
151,10.16,0.73,19.48
155,10.36,0.73,19.51
160,10.45,0.64,19.38
165,10.49,0.33,19.23
170,10.46,0.13,18.98
173,10.55,0.13,18.80
178,10.57,0.31,18.63
183,10.57,0.61,18.42
188,10.85,0.91,17.96
192,10.81,1.37,18.02
197,10.97,1.82,18.06
202,11.22,2.10,17.41
207,11.30,2.14,17.22
212,11.53,1.96,17.34
215,11.66,1.47,17.00
220,11.84,0.71,16.54
225,11.81,-0.10,16.79
230,11.86,-0.59,16.56
234,11.95,-1.93,16.10
239,12.17,-3.04,15.54
244,11.98,-3.98,15.87
249,12.17,-2.93,15.26
253,12.21,-3.90,14.53
257,12.53,-4.65,12.64
262,12.40,-4.75,10.84
267,12.46,-5.58,8.69
271,12.00,-7.69,7.25
276,11.77,-8.19,6.53
281,11.04,-7.63,5.69
286,10.40,-7.26,5.05
290,9.70,-8.38,3.57
295,8.74,-9.01,0.80
299,7.55,-9.57,-1.23
303,6.83,-9.77,-3.00
308,5.74,-9.85,-4.33
313,4.68,-9.75,-4.00
318,3.96,-7.37,-3.64
322,3.00,-5.00,-2.01
327,2.08,-4.21,-1.34
332,1.65,-2.64,-1.32
337,1.38,-1.80,-0.96
340,0.99,-1.09,-0.25
345,0.90,-0.53,-0.02
350,0.60,-0.35,0.57
355,0.28,-0.72,0.99
359,-0.13,-1.00,1.77
364,-0.69,-1.91,2.67
369,-0.88,-2.26,3.03
373,-1.29,-2.52,3.26
378,-1.59,-2.71,3.43
382,-1.99,-2.66,3.67
387,-2.31,-2.85,3.45
391,-2.62,-3.12,3.27
396,-2.73,-3.42,2.50
401,-2.74,-3.53,2.32
406,-2.63,-3.15,2.19
410,-2.84,-2.68,2.16
415,-3.10,-2.38,2.20
420,-3.22,-1.99,2.70
424,-3.40,-1.68,2.56
428,-3.40,-1.06,2.61
433,-3.53,-0.66,2.57
438,-3.44,-0.33,2.74
443,-3.31,-0.09,2.56
447,-3.29,0.21,2.33
452,-3.38,0.55,2.14
457,-3.33,0.83,2.22
461,-3.16,1.05,2.34
465,-3.32,1.36,2.11
470,-3.44,1.58,2.15
475,-3.41,1.98,2.33
479,-3.54,2.36,2.28
484,-3.59,2.54,2.08
489,-3.39,2.97,2.02
494,-3.57,3.23,1.93
498,-3.50,3.30,1.84
503,-3.59,3.25,1.89
507,-3.60,3.27,1.98
511,-3.81,3.20,2.18
516,-3.76,3.07,2.16
521,-3.69,2.82,1.82
526,-3.72,2.52,1.61
530,-3.55,2.53,1.62
535,-3.70,2.58,1.26
540,-3.59,2.52,1.23
545,-3.53,2.47,1.02
548,-3.31,2.52,0.89
553,-3.27,2.48,0.36
558,-3.43,2.53,0.51
562,-3.09,2.54,0.01
567,-2.92,2.70,-0.05
572,-2.89,2.95,-0.14
577,-2.89,3.08,-0.27
581,-2.78,3.60,-0.54
586,-2.75,4.22,-0.53
590,-2.39,4.95,-0.55
595,-2.12,5.62,-0.39
599,-2.10,6.00,-0.33
604,-1.95,6.03,-0.52
609,-1.68,6.01,-1.17
614,-1.57,5.88,-1.71
618,-1.49,5.44,-2.00
623,-1.39,5.10,-2.27
628,-1.30,4.67,-2.62
632,-1.08,4.21,-2.99
636,-0.90,3.85,-3.32
641,-0.87,3.67,-3.52
646,-0.70,3.17,-3.57
650,-0.58,2.86,-3.99
655,-0.20,2.65,-3.80
660,0.04,2.62,-3.94
665,0.40,2.41,-4.02
669,0.50,2.31,-3.97
673,0.59,2.07,-3.99
678,0.91,1.72,-3.82
682,1.20,1.43,-4.17
687,1.81,0.88,-4.17
692,2.56,0.62,-4.22
697,3.24,0.31,-4.32
701,3.52,0.16,-3.90
706,4.17,0.05,-3.39
711,4.48,-0.11,-2.39
715,5.09,-0.65,-1.51
719,5.39,-0.83,-0.91
724,6.26,-1.12,-0.40
729,7.03,-1.50,0.45
734,7.84,-1.71,1.11
738,8.57,-2.27,2.29
743,9.19,-2.69,2.78
748,10.30,-2.99,3.69
752,11.14,-3.02,4.23
756,11.96,-3.03,4.81
761,12.61,-3.00,5.60
766,12.93,-3.11,6.62
770,13.67,-3.40,8.00
775,13.99,-3.86,9.41
780,14.20,-4.66,11.10
785,14.35,-5.56,11.39
789,14.24,-6.45,12.86
794,13.97,-6.87,14.37
798,14.00,-7.46,15.51
803,13.64,-8.04,16.82
807,13.62,-8.54,18.58
812,13.13,-9.11,19.30
817,12.40,-9.54,19.43
822,11.15,-10.02,19.51
826,10.67,-10.69,19.54
831,11.34,-10.79,19.54
836,11.37,-10.11,19.54
840,6.45,-10.90,19.54
845,6.14,-10.56,19.54
849,6.29,-10.57,19.54
854,6.58,-10.22,19.54
859,6.86,-9.24,19.54
864,6.19,-8.41,19.54
869,5.92,-8.20,19.54
873,5.77,-7.84,19.54
878,5.81,-7.75,19.54
882,5.99,-8.14,19.54
886,6.09,-8.58,19.54
891,6.09,-9.21,19.54
896,6.40,-9.29,19.48
