timestamp,accX,accY,accZ
0,6.58,-3.19,8.64
91,6.85,-3.06,8.30
95,7.38,-3.01,8.86
100,7.53,-2.80,9.30
105,7.85,-2.72,9.84
110,8.26,-2.46,10.05
114,8.24,-2.41,10.66
119,8.63,-2.35,11.55
123,8.93,-2.35,12.40
127,8.90,-2.21,13.30
132,9.13,-2.22,14.15
137,9.46,-2.08,15.34
142,9.60,-1.93,15.77
147,9.98,-1.68,17.45
151,10.18,-1.39,18.16
156,10.40,-1.25,19.03
161,10.57,-0.86,19.39
165,10.82,-0.54,19.50
169,10.97,-0.47,19.53
174,11.29,-0.36,19.54
179,11.46,0.18,19.54
184,11.97,0.52,19.54
188,12.82,1.15,19.54
193,12.97,1.93,19.54
198,13.49,2.42,19.54
203,13.49,2.76,19.54
207,13.88,2.86,19.54
211,14.10,2.62,19.54
216,14.06,1.98,19.54
221,14.45,1.08,19.54
226,14.56,0.62,19.54
230,14.48,-0.23,19.47
235,14.55,-1.23,19.25
240,14.48,-2.16,18.76
245,14.34,-3.12,18.30
248,14.24,-4.00,17.60
253,14.27,-4.58,17.20
258,14.22,-4.75,16.86
263,13.97,-5.12,16.59
267,13.90,-5.36,16.54
272,13.75,-5.57,16.18
277,13.53,-5.70,16.13
282,13.47,-5.82,15.99
287,13.68,-6.04,15.50
290,13.62,-6.45,15.32
295,13.37,-6.53,15.36
300,13.56,-6.93,15.45
305,13.62,-7.32,15.15
309,13.73,-7.68,14.36
314,13.64,-8.05,13.40
319,13.30,-8.14,13.28
324,13.18,-8.31,12.19
329,13.26,-8.34,10.34
332,13.59,-10.72,8.70
337,13.36,-10.81,8.37
342,13.21,-7.37,8.20
347,13.00,-5.16,5.04
351,12.56,-6.60,3.23
356,12.94,-8.75,0.13
361,11.82,-9.85,-1.79
366,9.46,-9.90,-2.72
370,7.47,-10.57,-4.89
374,6.94,-9.95,-5.11
379,3.21,-9.60,-3.08
384,2.38,-14.01,-3.67
388,3.37,-16.86,-3.29
393,3.17,-15.14,-2.56
398,3.87,-14.52,-2.33
403,4.04,-13.37,-1.98
407,3.93,-10.57,-1.19
412,2.56,-8.03,-0.54
416,1.37,-5.72,-0.38
421,0.69,-4.74,-1.15
425,0.38,-4.44,-1.34
430,0.30,-3.48,-1.67
435,-0.11,-2.90,-2.01
439,-0.19,-2.63,-2.03
444,-0.33,-2.77,-2.58
449,-0.57,-2.47,-2.34
454,-0.84,-1.94,-2.57
457,-1.30,-1.69,-2.73
462,-1.73,-1.19,-2.48
467,-2.12,-0.74,-2.50
472,-2.19,-0.49,-2.62
476,-2.38,-0.40,-2.70
481,-2.57,-0.34,-2.67
486,-2.67,-0.33,-3.18
491,-2.77,-0.20,-3.02
495,-3.02,-0.21,-3.21
499,-2.98,-0.01,-3.08
504,-3.30,0.12,-2.72
508,-3.46,0.20,-2.85
513,-3.42,0.47,-2.83
518,-3.39,0.54,-2.63
523,-3.59,0.49,-2.62
527,-3.43,0.82,-2.46
532,-3.59,1.04,-2.62
537,-4.03,1.09,-2.21
540,-4.06,1.21,-1.93
545,-4.14,1.32,-1.89
550,-4.15,1.53,-1.98
555,-4.06,1.69,-2.12
559,-3.96,2.04,-1.93
564,-4.09,2.21,-1.82
569,-4.36,2.39,-1.95
