timestamp,accX,accY,accZ
0,2.34,3.64,7.44
90,2.88,3.47,7.13
94,2.97,3.30,6.84
99,2.85,3.40,6.83
104,2.81,3.68,6.87
108,2.76,3.71,6.13
113,2.57,4.05,6.37
118,2.58,4.46,6.34
123,2.53,4.21,6.30
127,3.01,4.30,6.03
131,3.12,4.64,5.64
136,3.55,4.56,6.04
141,3.79,4.78,6.53
145,4.20,5.12,7.27
150,4.61,5.26,7.63
155,4.46,5.74,8.53
159,4.61,5.96,9.14
164,4.44,6.43,9.80
169,4.34,6.59,10.21
173,4.03,6.66,10.36
177,3.79,6.63,10.29
182,3.77,6.51,10.20
187,3.39,6.88,10.23
191,3.28,6.75,10.03
196,3.20,6.98,9.90
201,3.17,6.86,9.72
206,3.48,6.87,9.67
210,3.62,6.65,9.95
214,3.69,6.05,9.96
219,3.84,5.66,9.81
224,4.06,5.19,9.13
228,3.58,3.68,8.05
233,3.20,2.94,8.75
238,3.51,2.70,8.74
243,3.63,2.69,8.88
247,4.01,3.11,9.16
252,4.27,3.17,9.83
256,4.53,3.41,10.46
260,4.80,3.45,10.45
265,4.70,3.73,10.26
270,4.98,3.93,10.03
275,5.11,4.08,9.83
279,5.09,4.28,9.48
284,5.30,4.48,9.27
289,5.55,4.75,9.67
293,5.73,5.00,10.02
297,5.93,5.25,10.48
302,6.17,5.69,10.73
307,6.28,6.34,11.64
311,6.46,6.51,11.95
316,6.71,7.14,12.85
321,6.83,7.71,13.21
326,6.69,8.58,13.56
330,6.69,9.49,13.78
335,7.00,10.74,13.63
339,7.20,11.90,13.74
344,7.08,12.30,13.79
348,6.96,13.14,13.88
353,6.65,13.73,14.42
358,6.80,13.72,14.59
363,6.94,13.66,15.21
367,6.58,13.50,15.47
372,6.43,13.44,16.14
377,6.05,13.90,16.84
381,5.80,14.05,16.81
385,5.75,14.54,17.10
390,5.83,15.24,16.88
395,5.80,15.83,16.55
400,5.99,16.23,16.54
405,6.40,16.36,16.27
409,6.66,16.09,16.42
414,7.02,15.82,16.04
419,7.38,14.99,15.43
423,7.46,13.85,14.69
427,7.74,12.49,14.23
432,7.93,11.21,13.97
437,8.08,9.67,13.60
442,8.08,8.31,13.00
446,7.96,7.50,13.02
451,7.85,5.94,12.89
456,7.21,5.14,13.34
461,6.49,4.81,13.39
464,6.18,4.72,13.41
469,6.32,4.73,13.20
474,5.82,5.04,13.55
479,5.60,5.16,13.69
483,5.53,5.49,13.35
488,5.15,6.17,13.21
493,5.06,6.62,12.82
497,5.35,7.00,13.02
502,5.61,7.33,13.22
506,6.13,9.15,14.87
511,6.61,9.58,14.98
515,7.49,10.50,14.32
520,7.98,9.81,14.20
525,8.49,8.69,14.12
530,8.72,5.34,13.54
535,9.17,2.01,13.66
539,9.16,0.07,13.88
544,8.52,-1.03,13.20
548,7.53,-1.48,12.08
553,6.95,-2.50,10.62
557,6.96,-3.07,8.99
562,6.54,-3.91,7.12
567,6.49,-4.13,6.43
572,6.20,-4.98,4.92
576,4.84,-5.61,1.49
581,2.79,-6.11,0.38
586,3.23,-7.40,-0.34
589,3.52,-7.50,-0.29
594,3.45,-5.80,-0.57
599,2.68,-4.52,-0.91
604,2.16,-3.64,-1.01
608,1.71,-3.56,-1.11
613,1.39,-3.60,-1.44
618,1.19,-3.57,-1.93
622,0.77,-3.64,-2.11
627,0.06,-3.09,-2.19
631,-0.54,-2.69,-2.29
636,-0.59,-2.07,-2.26
640,-0.80,-1.80,-2.37
645,-1.25,-1.16,-2.60
650,-1.33,-0.60,-2.67
655,-1.87,-0.35,-2.96
659,-2.15,-0.15,-3.20
664,-2.39,0.18,-3.25
669,-2.35,0.32,-3.11
673,-2.47,0.47,-3.91
677,-2.48,0.78,-3.88
682,-2.32,1.22,-3.94
687,-2.26,1.75,-4.11
691,-2.43,2.15,-4.06
696,-2.37,1.87,-3.80
701,-2.16,1.87,-3.63
706,-1.87,1.50,-3.71
710,-2.00,1.38,-3.98
714,-2.00,0.84,-3.91
719,-2.17,0.41,-3.85
724,-1.91,-0.05,-3.99
728,-1.98,-0.43,-4.00
733,-1.93,-0.69,-4.15
738,-1.98,-1.11,-4.44
743,-2.11,-1.31,-3.96
747,-1.67,-1.60,-3.43
752,-1.29,-1.76,-3.07
756,-1.27,-1.62,-2.98
760,-1.01,-1.16,-2.91
765,-0.77,-0.68,-2.47
770,-0.48,-0.64,-2.61
775,-0.53,-0.54,-3.15
779,-0.19,-0.25,-3.10
784,0.20,0.13,-3.22
789,0.31,0.60,-3.38
794,0.41,0.93,-3.38
797,0.39,1.18,-3.17
802,0.18,1.36,-2.73
