timestamp,accX,accY,accZ
0,7.65,2.76,19.54
91,8.05,3.29,19.54
95,8.25,4.27,19.54
100,8.88,5.17,19.54
105,9.04,5.87,19.54
109,9.79,7.60,19.54
113,10.12,7.81,19.54
118,10.36,7.49,19.54
123,10.89,6.76,19.54
128,10.88,5.58,19.54
133,11.20,4.45,19.54
137,11.56,3.25,19.54
142,11.96,2.52,19.54
147,12.52,1.36,19.43
151,12.85,0.03,19.16
155,12.80,-0.98,18.66
160,12.54,-2.03,18.35
165,12.51,-3.34,18.10
170,11.97,-4.73,17.28
175,11.43,-5.68,16.58
179,11.51,-6.28,16.50
184,10.92,-6.60,16.19
189,10.92,-7.41,16.00
193,10.50,-7.72,16.09
197,10.36,-7.76,16.01
202,9.90,-8.12,16.10
207,9.86,-8.72,16.25
212,9.35,-9.01,16.46
216,10.25,-9.56,15.80
221,9.74,-10.43,15.41
226,9.95,-10.87,14.78
231,10.07,-11.38,14.20
234,9.33,-10.26,13.86
239,10.89,-10.18,12.90
244,11.31,-10.58,11.06
249,11.25,-7.90,9.44
254,10.59,-5.44,6.78
258,10.37,-6.45,3.93
263,12.00,-7.34,1.02
268,12.37,-10.37,-0.55
273,12.00,-11.45,-1.39
276,10.22,-8.78,-3.23
281,8.35,-8.17,-4.86
286,5.79,-7.48,-6.59
291,4.80,-8.31,-7.77
295,3.34,-8.88,-7.37
300,1.70,-9.24,-6.98
305,0.37,-8.33,-5.79
309,-0.05,-7.62,-4.26
314,0.40,-7.35,-2.21
318,1.62,-6.30,-0.82
323,1.88,-4.30,0.84
327,2.22,-1.35,1.29
332,2.45,-0.06,1.38
337,2.57,0.07,0.53
342,2.44,0.32,-0.18
346,1.95,1.05,-0.79
351,1.71,1.82,-1.66
356,1.42,2.51,-2.77
359,1.11,2.85,-3.16
364,0.79,2.13,-2.99
369,0.35,2.53,-3.56
374,0.06,2.76,-4.00
378,-0.16,2.74,-4.53
383,-0.36,2.46,-4.71
388,-0.97,1.93,-5.25
393,-1.48,1.29,-5.44
397,-1.89,0.23,-5.79
401,-2.40,-0.99,-6.21
406,-2.96,-1.64,-6.21
410,-3.24,-2.70,-6.13
415,-3.45,-3.37,-5.90
420,-4.02,-3.80,-5.57
425,-4.49,-4.00,-5.58
429,-4.80,-4.11,-5.08
434,-5.10,-4.20,-4.52
439,-5.42,-4.31,-4.66
443,-5.77,-4.13,-4.24
447,-5.83,-4.06,-3.75
452,-5.95,-3.87,-3.88
457,-6.02,-3.43,-3.31
461,-5.94,-3.07,-3.23
466,-5.83,-2.79,-2.53
471,-5.62,-2.28,-2.07
476,-5.52,-1.87,-2.33
480,-5.63,-1.35,-1.90
