timestamp,accX,accY,accZ
0,1.74,14.53,9.36
91,1.38,15.30,10.35
95,1.54,15.66,10.09
100,1.48,15.20,9.96
105,1.22,15.13,10.12
110,1.21,14.92,10.24
114,0.84,14.45,10.36
119,0.25,13.91,10.80
123,-0.20,12.85,11.27
128,-0.32,12.00,11.91
132,-0.32,11.25,12.42
137,-0.34,10.22,13.30
142,-0.22,9.22,13.24
147,-0.11,8.18,13.83
151,0.01,7.77,13.89
156,0.10,6.58,13.76
161,0.37,5.42,13.54
165,0.39,4.46,13.27
169,0.59,3.53,13.06
174,0.86,2.88,12.94
179,1.07,1.99,12.68
184,1.28,1.31,12.52
189,1.26,0.94,12.40
193,1.37,0.27,11.96
198,1.48,-0.18,11.56
202,1.67,-0.73,11.26
206,1.60,-0.91,10.88
211,1.73,-1.39,10.56
216,1.81,-1.49,10.32
221,2.03,-1.72,10.02
225,2.12,-1.89,10.22
230,2.18,-1.98,9.74
235,2.01,-2.01,9.68
240,2.08,-1.88,9.65
244,2.02,-1.60,9.47
248,1.82,-1.29,9.42
253,1.85,-0.87,9.41
258,1.76,-0.55,9.72
262,1.84,-0.08,10.11
267,1.66,0.18,10.31
272,1.81,0.43,10.24
276,1.80,0.74,10.73
281,2.18,0.80,10.73
286,2.23,0.95,11.11
290,2.20,1.24,10.95
294,2.32,1.38,11.25
299,2.26,1.67,10.98
304,2.23,2.32,11.15
309,2.49,3.02,11.45
313,2.56,3.32,11.55
318,2.35,4.25,12.14
323,2.39,5.26,12.45
327,2.16,6.48,13.09
331,2.06,7.82,13.55
336,1.66,9.24,14.67
341,1.48,10.32,15.62
346,1.31,10.65,16.45
350,0.97,11.69,17.27
355,0.97,12.71,17.87
360,0.80,13.68,18.47
365,0.56,14.48,18.37
369,0.25,14.97,18.25
373,0.56,15.62,18.80
378,0.66,15.74,18.70
383,0.98,15.79,18.81
388,1.15,15.88,18.93
392,1.31,15.30,18.77
397,1.93,14.71,18.80
402,2.31,13.98,18.60
407,2.45,13.34,18.33
411,2.47,12.63,18.42
415,2.27,12.30,18.32
420,2.30,10.99,18.34
425,2.47,9.65,18.25
429,2.77,8.65,18.10
434,2.98,7.75,17.34
439,3.30,6.45,17.13
444,3.72,5.63,16.30
448,4.07,5.57,15.53
452,4.28,4.99,14.93
457,4.11,4.67,14.08
462,4.27,4.70,14.04
466,4.34,4.27,13.27
471,3.99,3.70,13.21
476,4.26,3.00,12.95
481,4.28,2.71,12.77
485,4.36,2.08,12.48
490,4.10,1.62,11.80
494,4.04,1.29,11.23
499,3.98,0.84,10.69
503,4.40,1.69,10.37
508,4.27,0.48,8.88
513,4.16,0.27,7.73
518,3.72,-0.44,6.57
522,3.51,-1.23,5.16
527,3.27,-2.16,4.63
532,2.86,-3.02,3.87
536,2.55,-3.86,3.77
540,2.49,-4.20,3.98
545,2.51,-4.35,4.13
550,2.19,-4.33,4.30
555,1.88,-4.35,4.45
559,1.54,-4.71,4.24
564,1.02,-5.38,4.08
569,0.78,-5.62,3.47
573,0.41,-5.48,3.07
577,-0.16,-5.46,2.53
582,-0.59,-5.16,2.57
586,-0.65,-4.82,2.22
591,-1.09,-4.50,1.93
596,-1.39,-4.77,1.84
601,-1.78,-4.93,1.43
605,-2.18,-4.93,1.43
610,-2.53,-5.04,1.52
615,-2.62,-4.96,1.63
619,-2.87,-4.80,1.93
623,-2.88,-4.59,1.50
628,-3.09,-4.33,1.56
633,-3.33,-3.72,1.17
637,-3.39,-3.57,0.85
642,-3.53,-2.84,0.70
647,-3.79,-2.16,0.28
652,-4.04,-1.53,-0.01
656,-3.96,-0.91,-0.12
661,-4.07,-0.26,-0.70
665,-4.08,0.00,-0.71
670,-4.10,0.68,-0.87
674,-4.36,1.09,-0.89
679,-4.45,1.58,-1.06
684,-4.21,2.00,-1.36
688,-4.00,2.43,-1.50
693,-4.05,2.77,-2.01
698,-3.87,3.03,-2.19
702,-3.87,3.33,-2.46
707,-3.90,3.60,-2.42
711,-3.92,3.63,-2.71
716,-3.60,3.84,-3.01
721,-3.40,3.76,-3.28
726,-3.12,3.87,-3.42
730,-3.12,3.82,-3.60
735,-2.65,3.80,-3.90
740,-2.44,3.84,-4.27
744,-1.97,3.77,-4.88
748,-1.76,3.84,-5.15
753,-1.39,3.91,-5.16
758,-1.02,3.76,-5.75
762,-0.37,3.86,-6.28
767,-0.27,4.16,-7.06
772,-0.13,4.29,-6.96
776,0.34,4.29,-7.13
781,0.66,4.32,-7.33
786,1.25,4.24,-7.51
790,1.87,4.33,-7.40
794,2.41,4.13,-7.39
799,2.89,3.85,-7.18
804,3.23,3.72,-6.03
809,3.87,3.39,-5.40
813,4.38,3.08,-5.17
818,4.94,2.81,-4.71
823,5.32,2.69,-4.91
827,5.91,2.75,-4.99
831,6.16,2.91,-3.23
836,6.20,4.01,-1.46
841,6.35,5.34,0.06
846,6.36,6.97,0.75
850,6.18,8.59,1.50
855,5.84,9.02,1.77
860,5.79,10.06,2.03
865,5.59,10.30,3.33
869,5.40,10.18,4.58
873,5.04,10.15,6.35
878,4.79,9.86,6.74
883,4.27,9.45,8.00
887,4.22,9.39,8.93
892,4.43,9.08,9.56
897,4.14,8.34,10.03
901,4.45,7.86,9.90
906,4.49,6.78,9.83
911,4.57,5.77,9.08
915,5.00,4.51,8.71
919,5.16,3.82,8.13
924,5.64,2.55,7.36
929,5.87,0.88,7.70
934,5.75,-0.97,8.42
938,6.14,-2.72,8.63
943,6.46,-4.67,9.71
948,6.89,-6.50,10.49
952,7.38,-7.38,12.41
956,8.05,-9.05,14.09
961,8.37,-10.40,16.12
966,9.16,-11.17,18.23
970,9.66,-11.41,19.19
975,10.03,-11.61,19.38
980,9.85,-11.88,19.50
985,9.33,-11.99,19.53
989,8.79,-12.38,19.54
994,8.36,-12.90,19.54
998,7.68,-12.79,19.54
1003,7.24,-12.40,19.54
1007,7.17,-11.71,19.54
1012,6.61,-10.98,19.54
1017,5.96,-10.38,19.54
1022,5.37,-9.37,19.54
1027,5.04,-8.34,19.54
1031,4.73,-7.33,19.54
1036,4.39,-7.11,19.54
1040,3.68,-7.09,19.54
1044,3.02,-6.61,19.54
1049,2.81,-6.91,19.54
1054,2.37,-7.42,19.54
1059,2.28,-8.83,19.54
1063,2.12,-10.22,19.54
1068,1.82,-9.57,19.54
1073,1.56,-9.41,19.54
1077,1.21,-8.95,19.54
1082,0.88,-8.00,19.54
1086,1.08,-7.07,19.54
1091,1.32,-7.66,19.54
1096,1.57,-8.88,19.54
1100,2.45,-9.50,19.54
1105,2.97,-9.45,19.54
1110,3.44,-9.00,19.54
1115,3.30,-8.91,19.54
1119,3.47,-8.64,19.45
1123,3.56,-8.74,18.73
1128,3.73,-8.77,17.58
1133,3.81,-9.02,16.46
1137,3.98,-9.22,16.18
1142,4.01,-9.13,15.26
1147,3.97,-8.90,14.31
1152,4.04,-8.54,13.72
1156,4.16,-8.22,13.56
1161,4.08,-7.94,12.90
1165,4.32,-7.90,12.39
1170,4.58,-7.92,12.22
1174,4.46,-7.96,12.02
1179,4.53,-8.06,11.98
1184,4.68,-8.26,11.57
1189,4.51,-8.61,11.42
1194,4.45,-8.84,11.54
1198,4.66,-8.79,11.78
1202,5.02,-8.81,12.09
1207,5.41,-8.49,11.78
1212,5.94,-8.42,11.36
1216,6.56,-8.33,10.60
1221,6.94,-8.51,9.52
1226,7.26,-8.56,7.85
1231,7.60,-8.70,6.57
1235,7.87,-8.69,6.09
1240,8.11,-8.51,4.16
1244,8.64,-8.44,2.13
1248,8.79,-8.33,0.19
1253,8.69,-7.41,-1.28
1258,8.70,-7.11,-3.08
1263,8.88,-6.39,-4.72
1267,8.93,-5.91,-5.31
1272,8.75,-4.78,-6.44
1277,9.00,-2.84,-7.61
1281,8.46,-3.52,-8.59
1286,8.22,-2.32,-8.96
1290,8.08,-1.52,-8.84
1295,7.86,-1.38,-8.75
1299,7.83,-1.32,-8.05
1304,8.15,-1.14,-7.51
1309,8.33,-1.35,-6.93
1313,8.84,-1.11,-6.16
1318,9.13,-0.80,-5.56
1323,9.33,-0.30,-4.99
1327,9.84,0.13,-4.37
1331,10.28,0.31,-4.05
1336,10.68,0.25,-3.77
1341,11.04,-0.12,-3.01
1346,11.68,0.05,-1.68
1350,11.98,0.61,-0.41
1355,12.44,1.03,1.65
1360,12.45,2.03,2.39
1365,12.78,3.09,4.28
1369,13.06,3.41,5.80
1373,13.22,4.45,6.83
1378,13.07,5.33,7.89
1383,13.05,6.48,8.76
1387,12.66,7.80,9.23
1392,11.14,9.86,9.69
1397,10.45,11.23,10.08
1401,10.15,12.56,10.13
1406,10.13,13.97,10.26
1411,9.86,14.69,10.27
1415,9.21,15.51,10.23
1419,8.67,16.33,9.58
1424,8.06,16.46,10.16
1429,7.31,16.34,10.70
1434,6.80,16.20,10.40
1438,6.58,15.83,10.57
1443,6.43,15.65,10.64
1448,6.08,15.80,11.08
1452,5.61,15.67,11.58
1457,5.11,15.15,12.07
1461,4.69,14.98,12.64
1466,4.23,14.71,13.19
1471,4.09,15.06,15.65
1475,4.06,16.59,17.76
1480,3.20,17.54,19.09
1485,3.28,18.84,19.25
1490,3.07,18.92,19.33
1494,3.60,17.63,19.49
1498,3.98,16.94,19.53
1503,6.03,15.60,19.54
1508,7.45,15.04,19.54
1512,7.34,14.61,19.52
1517,6.09,13.77,19.20
1522,4.67,12.98,18.76
1527,3.95,10.97,17.04
1531,3.78,9.92,14.75
1536,4.04,7.75,13.09
1540,4.29,6.03,12.16
1545,4.15,4.59,11.60
1550,3.90,3.15,10.70
1554,3.63,2.21,10.48
1559,3.71,1.58,10.24
1564,3.44,0.87,9.25
1569,3.25,0.22,8.55
1573,2.85,-0.62,8.29
1577,2.63,-1.29,8.27
1582,2.46,-1.82,8.25
1586,2.32,-1.97,8.18
1591,2.16,-2.41,8.52
1596,2.04,-2.46,8.57
1601,1.92,-2.51,9.09
1605,1.81,-2.53,9.31
1610,1.71,-2.51,9.33
1615,1.70,-2.63,9.85
1619,1.66,-2.55,9.84
1623,1.34,-2.48,10.13
1628,1.46,-2.16,10.28
