timestamp,accX,accY,accZ
0,7.88,12.70,19.53
90,7.97,13.19,19.54
94,8.13,13.55,19.54
99,8.21,13.83,19.54
104,8.19,14.27,19.54
109,8.22,14.41,19.54
113,8.39,14.89,19.54
118,8.63,15.17,19.54
123,8.42,15.25,19.54
128,8.48,15.37,19.54
132,8.62,15.24,19.54
136,8.98,15.54,19.54
141,9.18,15.52,19.54
146,9.41,15.38,19.54
151,9.78,14.77,19.54
155,9.94,13.39,19.54
160,10.16,11.54,19.54
165,10.19,9.45,19.54
170,10.46,7.12,19.54
173,10.64,4.88,19.45
178,10.54,3.92,19.16
183,10.51,1.91,18.60
188,10.36,0.51,17.83
192,10.02,-0.28,17.24
197,9.72,-0.46,17.25
202,9.71,-0.26,17.36
207,9.35,0.12,17.52
211,9.36,0.02,17.51
215,9.36,-0.09,16.91
220,9.39,-0.93,16.73
224,8.75,-1.54,16.79
229,9.06,-2.60,16.56
234,8.72,-3.36,16.25
239,8.02,-3.90,15.99
243,8.23,-4.03,15.66
248,7.93,-3.81,15.43
253,7.83,-3.15,14.86
257,7.50,-2.41,14.91
261,7.17,-1.92,15.08
266,7.07,-0.94,14.91
271,7.19,-0.45,14.87
275,7.20,0.26,14.56
280,7.40,0.73,13.77
285,7.75,1.02,13.42
290,7.79,0.69,13.28
294,7.98,0.21,12.39
298,8.15,0.08,11.73
303,8.30,2.09,10.50
308,8.43,-0.99,9.57
312,8.77,-1.38,9.01
317,8.91,-2.77,8.48
322,8.87,-3.98,8.25
327,8.67,-5.74,6.86
331,7.89,-6.74,5.32
336,6.93,-6.90,3.95
340,6.03,-6.78,3.15
345,5.61,-6.58,2.09
349,4.81,-6.80,1.20
354,4.05,-7.46,0.83
359,3.16,-8.23,-0.14
363,2.39,-9.14,-0.65
368,1.36,-9.56,-1.00
373,0.57,-9.99,-1.48
378,0.18,-10.26,-1.64
381,-0.53,-10.51,-1.43
386,-1.10,-10.54,-1.44
391,-1.78,-10.12,-1.43
396,-1.87,-9.83,-1.31
400,-2.30,-9.30,-1.31
405,-2.38,-8.51,-1.35
410,-2.85,-7.40,-1.12
414,-2.79,-6.49,-1.08
419,-2.98,-5.26,-0.92
423,-3.15,-4.50,-1.11
428,-3.43,-4.04,-0.76
432,-3.60,-3.26,-0.15
437,-3.67,-2.50,0.05
442,-3.82,-1.82,0.60
447,-3.88,-1.61,0.74
451,-3.96,-1.75,0.80
456,-3.85,-1.81,0.60
461,-3.92,-1.72,0.29
465,-3.98,-1.10,0.32
469,-3.82,-0.22,0.41
474,-4.20,0.28,0.55
479,-4.29,0.49,0.00
483,-4.44,0.51,-0.16
488,-4.41,0.44,-1.06
493,-4.31,0.34,-1.73
497,-4.29,0.22,-2.46
502,-4.15,0.21,-3.46
506,-4.34,0.07,-3.89
511,-4.31,-0.13,-4.70
515,-4.29,-0.20,-5.59
520,-4.43,-0.18,-6.04
525,-4.35,-0.38,-6.15
530,-4.11,-0.40,-6.95
534,-3.99,-0.49,-7.26
539,-3.66,-0.37,-7.49
544,-3.54,-0.34,-7.99
548,-3.39,-0.26,-8.23
552,-3.20,-0.09,-8.69
557,-3.30,0.07,-9.15
562,-3.01,0.50,-9.40
566,-2.67,0.90,-9.76
571,-2.16,1.17,-9.80
576,-1.82,1.61,-10.11
581,-1.60,1.79,-10.58
585,-1.12,2.09,-10.81
590,-0.90,2.47,-10.75
594,-0.65,2.85,-11.11
598,-0.42,3.27,-10.98
603,-0.01,3.56,-10.67
608,0.48,3.65,-10.11
613,1.09,3.65,-9.81
617,1.61,3.79,-9.43
622,1.96,3.94,-9.06
627,2.44,4.24,-9.02
631,2.94,4.38,-8.82
635,3.70,4.90,-8.77
640,4.03,5.24,-8.61
645,4.48,5.77,-8.29
649,4.91,6.29,-7.13
654,5.48,6.73,-6.62
659,6.25,7.02,-6.40
664,6.68,7.13,-5.70
668,6.86,6.94,-2.33
673,7.13,7.02,0.59
677,7.29,6.99,2.08
682,6.98,6.71,3.29
686,6.80,6.44,3.30
691,6.61,5.77,2.88
696,6.70,5.08,2.90
701,7.11,5.42,2.79
705,7.28,5.17,3.61
710,7.52,4.21,3.76
715,7.85,3.77,4.35
719,6.63,3.07,5.75
723,8.35,2.78,5.91
728,9.06,1.88,5.90
733,9.36,1.03,6.18
737,8.74,0.69,7.21
742,8.54,0.34,8.94
747,8.17,-0.27,10.81
752,7.99,-1.25,12.58
756,6.90,-1.44,14.52
760,6.28,-0.58,15.33
765,5.79,1.28,16.33
770,5.29,2.36,17.41
774,4.59,5.23,18.01
779,4.22,8.21,18.66
784,4.01,10.98,18.95
789,3.76,12.87,19.21
793,3.19,14.00,18.83
798,3.05,14.88,18.74
802,3.15,14.89,18.38
807,3.32,14.92,18.09
812,3.66,14.55,17.40
816,3.47,13.89,16.76
821,3.15,13.17,16.53
826,3.07,12.39,16.61
831,3.13,11.67,17.47
835,3.16,10.67,18.01
840,2.66,10.27,18.63
844,2.38,9.31,18.69
849,2.32,8.98,18.87
853,2.30,8.41,19.02
858,2.32,8.19,19.16
863,2.23,8.03,19.20
868,2.37,7.83,19.34
872,2.60,7.63,19.36
877,2.46,6.75,19.38
881,2.66,6.09,19.44
886,2.80,5.59,19.48
891,2.50,5.41,19.53
895,2.42,4.69,19.49
900,2.52,3.49,19.53
905,2.05,2.70,19.54
909,1.47,1.74,19.54
914,1.23,0.89,19.54
919,0.75,0.79,19.54
923,0.36,1.02,19.54
927,-0.02,1.43,19.54
932,0.19,2.40,19.54
937,-0.07,2.80,19.52
942,-0.33,3.82,19.52
946,-0.27,4.60,19.54
951,-0.19,5.56,19.54
956,-0.49,6.34,19.54
960,-0.39,6.66,19.54
965,-0.70,5.58,19.49
969,-0.94,5.25,19.53
974,-1.30,3.86,19.49
978,-1.49,1.38,19.35
983,-1.00,-1.06,19.46
988,0.25,-2.21,19.50
993,1.52,-2.36,19.53
998,1.80,-2.24,19.54
1002,1.70,-2.08,19.54
1006,0.91,-1.26,19.54
1011,0.31,-0.34,19.54
1015,-0.45,0.07,19.53
1020,-0.67,-0.88,19.50
1025,-0.67,-1.81,19.35
1030,-0.58,-2.29,19.16
1034,-0.51,-3.08,18.82
1039,-0.23,-3.96,18.06
1044,-0.34,-4.44,16.90
1048,-0.25,-4.72,16.26
1052,-0.15,-5.18,15.78
1057,-0.35,-5.59,15.27
1062,-0.10,-5.65,14.74
1066,-0.14,-5.40,14.43
1071,-0.13,-5.43,14.00
1076,-0.19,-5.45,13.98
1081,-0.11,-5.12,13.81
1085,-0.54,-4.76,13.64
1090,-0.70,-4.21,14.11
1094,-0.72,-3.76,14.64
1099,-0.35,-3.23,15.04
1103,-0.34,-2.72,15.61
1108,-0.66,-2.45,15.68
1113,-0.62,-2.22,15.78
1118,-0.22,-2.20,15.65
1122,0.05,-2.21,15.29
1127,0.31,-2.07,14.92
1131,0.72,-2.14,14.07
1136,1.00,-2.53,13.20
1140,1.17,-2.99,12.01
1145,1.40,-3.43,10.66
1150,1.66,-3.89,10.20
1155,1.81,-4.20,9.17
1159,2.02,-4.44,8.47
1164,2.32,-4.73,7.36
1169,2.33,-5.05,6.41
1173,2.38,-5.78,5.08
1177,2.40,-6.54,3.93
1182,2.38,-7.17,3.49
1187,2.46,-7.51,2.35
1191,2.27,-7.93,1.16
1196,2.45,-7.98,0.88
1201,2.53,-7.21,0.32
1206,2.58,-6.10,-0.08
1211,2.84,-5.83,-1.06
1215,2.86,-6.21,-1.83
1219,2.98,-6.62,-3.38
1224,3.07,-6.81,-4.38
1228,2.90,-7.30,-5.21
1233,2.95,-7.81,-6.09
1238,2.81,-8.20,-6.96
1243,2.80,-8.29,-7.24
1247,2.81,-8.20,-7.67
1252,3.08,-7.88,-8.46
1256,3.20,-7.92,-9.03
1261,3.21,-7.84,-9.41
1265,3.53,-7.82,-9.70
1270,3.88,-7.67,-9.73
1275,4.22,-7.65,-9.33
1279,4.93,-7.27,-9.03
1284,5.46,-6.78,-8.19
1289,6.18,-6.84,-7.15
1294,7.18,-6.68,-6.36
1298,7.63,-6.17,-5.24
1302,8.44,-5.90,-3.97
1307,9.52,-5.64,-2.87
1312,10.97,-5.99,-0.77
1316,12.07,-6.22,1.19
1321,13.44,-6.28,2.47
1326,14.25,-6.58,3.20
1331,14.88,-6.48,3.52
1335,16.40,-6.16,3.62
1340,17.86,-5.06,3.71
1344,19.09,-3.33,3.67
1349,19.44,-2.08,3.99
1353,19.52,0.73,4.85
1358,19.54,3.99,5.96
1363,19.54,7.65,7.56
1368,19.54,11.95,9.84
1372,19.54,15.52,10.72
1377,19.36,18.36,12.73
1381,18.44,19.24,14.03
1386,16.99,19.40,15.13
1391,15.38,19.51,16.06
1395,14.43,19.54,17.36
1400,13.92,19.54,17.94
1405,12.65,19.54,18.55
1410,11.39,19.54,18.31
1415,10.81,19.54,18.53
1419,9.51,19.54,18.56
1423,8.72,19.54,18.24
1428,8.08,19.52,18.31
1433,7.94,19.01,17.83
1437,7.88,18.21,17.69
1442,7.27,17.42,17.16
1447,6.70,16.35,16.92
1452,6.78,15.12,16.75
1456,6.62,15.12,16.93
1461,6.71,13.17,17.02
1465,6.66,12.44,17.26
1470,6.40,11.97,17.21
1475,6.23,10.75,17.17
1479,6.00,9.76,17.10
1484,5.77,9.28,17.03
1489,5.29,9.13,16.54
1494,5.06,9.04,16.42
1498,5.06,8.99,15.68
1503,5.00,8.86,14.86
1507,4.93,8.56,14.48
1511,5.04,8.00,14.02
1516,4.83,7.71,13.01
1521,4.64,7.67,12.51
1526,4.58,7.40,11.80
1530,4.50,6.84,10.71
1535,4.33,6.28,9.90
1540,4.27,5.74,9.24
1545,4.01,5.29,9.22
1548,3.96,4.36,8.27
1553,3.76,3.93,7.75
1558,3.54,2.85,6.74
1562,3.40,1.38,6.62
1567,3.41,0.18,6.62
1572,3.31,-1.17,6.57
1577,3.08,-2.15,7.07
1581,2.99,-2.57,7.84
1586,2.93,-2.62,7.91
1590,2.67,-2.38,8.39
1595,2.65,-1.89,9.16
1599,2.57,-1.33,9.72
1604,2.26,-0.37,10.07
1609,2.27,0.40,10.46
1614,2.10,1.39,11.28
1618,1.93,1.65,11.24
1623,1.73,2.33,11.16
1628,1.73,2.68,11.16
