timestamp,accX,accY,accZ
0,9.67,16.96,19.24
91,9.87,16.50,19.04
95,10.13,15.78,18.58
100,10.09,14.88,18.47
105,10.01,13.54,18.16
109,10.28,12.16,17.94
114,10.47,10.55,17.69
118,10.48,9.07,17.41
123,10.45,8.27,17.07
128,10.16,7.14,16.50
133,10.21,6.36,16.45
138,10.09,6.14,16.33
142,9.89,6.37,16.35
147,9.48,6.77,16.38
151,9.19,7.25,16.87
155,8.99,7.66,17.04
160,9.01,8.19,17.41
165,9.04,8.63,17.63
170,8.99,8.89,17.56
175,9.34,8.98,17.80
179,9.45,8.67,17.88
184,9.68,7.96,17.91
189,10.13,6.71,17.75
193,10.71,5.76,16.93
197,10.71,3.62,16.31
202,10.58,1.45,15.60
207,10.72,-0.99,14.48
212,10.53,-3.67,14.04
216,9.84,-5.99,13.26
221,8.97,-7.08,12.25
226,8.38,-7.40,12.12
231,7.47,-7.72,11.80
234,7.03,-7.32,11.62
239,6.21,-6.39,11.40
244,5.30,-2.77,11.92
249,4.58,-3.12,10.78
253,4.65,-1.76,9.90
258,4.34,-1.73,9.95
263,3.89,-0.74,9.85
268,3.55,-0.58,9.08
272,3.11,-0.99,8.84
276,2.88,-1.35,8.84
281,2.65,-1.38,8.41
285,2.27,-1.25,8.31
290,2.10,-0.98,8.04
295,2.06,-0.99,7.63
300,2.11,-1.49,7.12
304,1.97,-2.23,6.55
309,1.89,-2.50,6.18
314,1.83,-3.14,5.50
318,1.66,-3.30,4.96
322,1.42,-3.75,4.18
327,1.05,-4.23,2.91
332,0.79,-4.69,2.29
337,0.42,-4.99,1.27
341,0.12,-5.17,0.60
346,-0.31,-5.10,-0.33
351,-0.56,-5.10,-1.10
356,-0.90,-5.02,-2.06
359,-1.11,-5.12,-2.58
364,-1.39,-5.44,-3.32
369,-1.94,-5.50,-3.24
373,-2.59,-5.41,-3.11
378,-2.99,-5.35,-3.45
383,-2.99,-5.41,-3.59
387,-3.13,-5.68,-3.91
392,-3.17,-5.71,-4.34
397,-3.49,-5.42,-4.67
401,-3.65,-5.19,-4.62
405,-3.90,-4.90,-5.04
410,-4.32,-4.67,-4.92
415,-4.24,-4.51,-5.47
420,-4.25,-4.10,-5.95
424,-4.40,-3.82,-5.79
429,-4.27,-3.59,-5.92
434,-4.20,-3.32,-5.95
439,-4.17,-2.98,-5.65
442,-4.21,-2.88,-5.67
447,-4.04,-2.59,-6.05
452,-3.95,-2.26,-6.09
457,-3.97,-2.00,-5.69
461,-4.01,-1.60,-5.70
466,-3.72,-1.20,-6.07
471,-3.72,-0.83,-6.26
476,-3.57,-0.80,-6.48
480,-3.22,-0.63,-6.82
484,-3.07,-0.63,-7.16
489,-2.88,-0.49,-7.02
493,-2.55,-0.41,-7.27
498,-2.12,-0.15,-7.30
503,-1.93,0.10,-7.46
508,-1.53,0.24,-7.72
512,-1.07,0.50,-7.74
517,-0.93,0.81,-7.63
522,-0.57,0.97,-7.70
525,-0.20,1.34,-7.62
530,0.26,1.75,-7.87
535,0.42,2.17,-7.42
540,0.84,2.72,-6.92
544,1.19,3.58,-6.48
549,1.45,4.60,-4.82
554,1.81,5.64,-3.08
558,1.68,6.76,-2.21
563,1.60,7.85,-0.62
567,1.18,8.29,0.23
572,1.16,8.99,0.80
576,1.16,9.29,0.67
581,1.29,9.31,0.50
586,1.68,9.26,0.60
590,2.21,8.78,-0.10
595,2.50,8.53,-0.89
600,2.65,7.76,-0.98
605,2.89,7.28,-0.76
608,2.73,7.00,-0.71
613,2.56,6.41,-0.28
618,2.74,6.04,-0.08
623,3.06,5.67,0.59
627,3.50,4.71,0.94
632,3.63,4.41,1.47
637,3.87,3.36,1.93
642,3.98,2.47,2.25
646,4.03,1.67,2.94
650,3.90,0.89,3.17
655,4.12,0.22,4.08
660,4.42,0.11,4.97
664,4.36,-0.10,5.60
669,4.46,-0.23,6.70
674,4.47,0.15,7.44
