timestamp,accX,accY,accZ
0,13.11,-0.86,19.49
91,13.03,-3.63,19.31
95,12.22,-5.43,19.24
100,11.76,-6.33,19.23
105,11.49,-6.74,19.25
110,10.53,-6.19,19.47
114,10.27,-5.93,19.53
119,10.21,-4.95,19.54
123,10.33,-4.52,19.54
128,10.02,-4.31,19.54
133,9.95,-4.55,19.54
137,9.92,-4.47,19.54
142,9.90,-4.89,19.44
147,9.82,-5.24,18.98
152,10.05,-5.60,18.04
156,10.24,-5.83,17.15
161,10.31,-6.26,16.16
165,10.38,-6.82,14.72
170,10.20,-5.85,13.27
175,10.61,-4.44,12.91
179,10.67,-3.47,10.94
184,10.92,-4.82,7.18
189,9.56,-8.43,3.82
193,8.76,-11.10,2.42
198,6.71,-11.11,2.45
202,5.03,-8.99,3.71
207,4.49,-7.17,4.10
211,4.27,-6.00,4.14
216,4.12,-5.97,2.96
221,3.63,-6.66,2.00
226,3.07,-7.47,1.13
231,2.84,-8.74,0.33
235,1.64,-9.31,-0.18
240,0.61,-8.43,-0.17
244,0.27,-6.98,0.29
248,0.34,-6.27,0.86
253,0.42,-4.62,0.27
258,0.29,-3.96,-0.65
263,-0.14,-3.87,-1.23
267,-0.69,-3.75,-1.58
272,-0.92,-3.69,-2.17
277,-1.15,-3.34,-2.08
282,-1.48,-3.07,-1.71
286,-1.55,-2.48,-1.53
290,-1.71,-1.95,-1.76
295,-1.95,-1.63,-1.78
299,-2.17,-1.31,-1.73
304,-2.36,-1.18,-1.86
309,-2.39,-1.12,-1.86
313,-2.94,-1.43,-1.98
318,-2.94,-1.86,-1.85
323,-2.95,-2.21,-2.09
327,-3.17,-2.44,-2.06
331,-3.24,-2.57,-1.87
336,-3.63,-2.36,-1.53
341,-3.69,-2.37,-1.46
346,-4.03,-2.29,-1.08
351,-4.04,-2.21,-1.04
355,-3.97,-2.18,-0.68
360,-3.93,-2.22,-0.57
365,-4.05,-2.20,-0.71
369,-3.97,-1.81,-0.66
373,-4.01,-1.49,-0.71
378,-4.20,-1.25,-1.44
383,-4.29,-0.83,-1.39
387,-4.33,-0.17,-1.75
