timestamp,accX,accY,accZ
0,6.50,4.43,16.32
90,6.90,5.50,17.57
94,7.17,6.62,18.56
99,7.17,7.47,19.01
104,7.37,8.31,19.37
109,7.37,8.72,19.41
113,7.63,8.50,19.49
118,7.73,7.87,19.52
123,7.50,7.59,19.54
127,7.79,7.10,19.54
131,7.94,6.46,19.48
136,8.03,5.67,19.51
141,7.85,5.48,19.52
145,7.91,4.74,19.54
150,7.81,4.00,19.54
155,8.02,3.30,19.54
160,7.86,2.82,19.54
164,8.01,2.46,19.54
169,8.03,2.38,19.54
173,7.77,2.36,19.54
178,7.71,2.39,19.54
182,7.63,2.56,19.54
187,7.57,2.44,19.54
192,7.47,2.39,19.54
197,7.41,2.51,19.54
201,7.69,2.70,19.54
206,7.95,2.64,19.54
211,7.82,2.61,19.54
215,7.87,2.43,19.54
219,8.10,2.14,19.54
224,8.15,1.39,19.54
229,8.33,0.81,19.54
234,8.51,-0.13,19.54
238,8.44,-0.83,19.54
243,8.51,-2.23,19.31
248,8.63,-3.56,19.16
253,8.67,-4.47,18.55
256,8.51,-5.35,18.32
261,8.40,-6.04,18.08
266,8.38,-6.41,18.12
271,8.49,-6.46,17.78
275,8.54,-6.72,17.60
280,8.56,-7.05,17.37
285,8.78,-7.14,17.14
290,8.87,-5.02,16.66
294,9.44,-5.99,15.85
298,10.19,-6.30,13.06
303,10.61,-6.51,10.42
308,10.53,-8.59,7.79
312,10.35,-11.44,6.00
317,9.27,-11.61,5.54
322,7.86,-10.32,5.42
327,7.39,-9.37,5.30
331,7.10,-8.82,3.90
336,6.84,-8.87,2.09
340,6.19,-9.55,0.17
345,4.99,-10.81,-1.55
349,4.32,-11.11,-2.54
354,2.85,-10.64,-2.93
359,1.69,-8.46,-2.61
364,1.37,-6.18,-2.17
369,1.24,-5.80,-2.37
373,0.61,-5.75,-2.42
378,0.54,-5.01,-2.64
382,0.56,-4.06,-2.70
386,0.50,-3.14,-2.62
391,0.11,-2.00,-2.75
396,-0.11,-0.83,-2.42
400,-0.42,-0.21,-2.40
405,-0.85,0.56,-2.47
410,-0.94,1.40,-2.44
415,-0.91,2.11,-2.41
419,-1.10,2.81,-2.63
423,-1.57,3.30,-3.08
428,-1.94,3.44,-3.29
433,-2.27,3.42,-3.68
437,-2.51,3.00,-3.91
442,-2.73,2.31,-4.10
447,-2.89,1.61,-3.70
452,-2.99,1.02,-3.45
456,-3.30,0.59,-2.71
461,-3.55,0.27,-2.06
465,-3.82,0.01,-1.40
470,-3.94,-0.36,-1.14
474,-4.08,-0.65,-1.13
479,-4.09,-0.79,-0.57
484,-4.14,-0.96,-0.64
488,-4.07,-0.80,0.12
493,-4.21,-0.85,0.09
498,-4.06,-0.52,0.16
503,-4.20,0.00,0.34
506,-4.19,0.38,0.46
511,-4.09,0.96,0.65
516,-3.90,1.26,0.72
520,-3.95,1.40,0.34
525,-3.98,1.38,0.38
530,-3.93,1.32,0.42
535,-3.78,1.34,0.33
540,-3.51,1.24,0.25
544,-3.43,1.25,-0.27
548,-3.16,1.44,-0.28
553,-2.87,1.91,-0.41
557,-2.80,2.09,-0.49
562,-2.47,2.46,-1.25
567,-2.49,2.86,-1.71
572,-2.34,3.41,-2.15
576,-2.08,3.89,-2.26
581,-2.02,4.33,-2.19
586,-1.51,4.42,-3.12
589,-1.28,4.58,-3.16
594,-1.32,4.67,-3.86
599,-1.26,4.69,-4.34
604,-0.79,4.73,-4.42
608,-0.47,4.81,-4.49
613,-0.42,4.85,-4.77
618,-0.10,4.81,-4.44
622,0.18,4.81,-4.64
627,0.34,4.70,-5.14
631,0.60,4.58,-4.93
635,0.75,4.44,-5.36
640,1.10,4.38,-5.18
645,1.47,4.32,-5.25
650,1.59,4.38,-5.44
654,1.82,4.16,-5.29
659,2.03,3.98,-5.24
664,2.61,3.43,-4.90
668,2.91,2.98,-4.67
672,3.73,2.69,-3.55
677,3.88,2.08,-2.32
682,3.77,1.45,-1.71
686,3.90,1.26,-1.30
691,4.10,0.88,-1.02
696,4.37,0.67,-1.01
701,4.48,0.49,-1.61
705,4.89,0.24,-2.28
710,5.16,0.20,-2.75
714,5.25,-0.06,-3.51
719,5.48,-0.31,-3.25
723,5.81,-0.91,-3.25
728,6.24,-1.30,-3.31
733,7.06,-1.53,-3.58
738,7.68,-1.75,-3.22
742,8.25,-1.98,-3.09
747,8.68,-2.42,-2.77
752,9.37,-3.39,-1.61
755,10.03,-4.74,-0.04
760,10.43,-6.48,0.58
765,11.76,-8.46,1.64
770,12.47,-9.33,2.70
774,13.12,-10.94,4.00
779,13.63,-12.48,5.15
784,14.39,-13.52,6.97
789,15.24,-14.01,8.21
793,15.84,-13.69,10.80
797,16.62,-12.65,13.20
802,16.91,-11.49,15.61
807,16.99,-10.65,17.46
812,16.79,-8.90,19.00
816,16.72,-7.13,19.41
821,16.69,-5.42,19.51
826,16.60,-4.37,19.53
831,16.06,-3.36,19.54
835,15.46,-3.00,19.54
839,14.77,-3.17,19.54
