timestamp,accX,accY,accZ
0,1.44,-2.93,8.89
91,1.51,-2.84,9.17
95,1.44,-2.73,9.08
99,1.52,-2.83,8.84
104,1.48,-2.90,9.22
109,1.60,-2.91,8.71
113,1.56,-2.87,8.57
118,1.48,-2.84,8.69
123,1.47,-2.87,8.30
127,1.47,-2.90,8.25
132,1.60,-2.95,7.64
137,1.59,-2.93,7.53
141,1.91,-3.02,7.56
145,1.85,-3.12,7.49
150,1.94,-3.10,6.94
155,2.08,-2.99,6.71
159,1.94,-2.96,6.69
164,2.07,-2.81,6.93
169,2.26,-2.64,6.78
174,2.19,-2.65,7.18
178,2.01,-2.57,7.27
182,1.94,-2.53,7.65
187,2.17,-2.33,7.62
192,2.24,-2.21,7.61
196,2.21,-2.21,7.68
201,2.41,-2.05,7.89
206,2.51,-2.06,7.52
211,2.63,-1.98,7.71
215,2.66,-1.98,8.02
220,2.77,-1.98,7.86
224,2.80,-2.09,7.76
229,2.89,-2.07,7.58
233,2.85,-2.04,7.61
238,2.96,-2.16,7.61
243,3.06,-2.16,7.98
248,3.15,-2.21,8.11
252,3.30,-2.22,8.09
257,3.46,-2.20,8.32
262,3.78,-2.13,8.16
265,3.96,-2.13,8.45
270,4.27,-2.24,8.61
275,4.63,-2.21,8.38
280,4.86,-2.15,8.65
284,5.04,-2.26,8.81
289,5.36,-2.18,9.22
294,5.80,-1.98,9.78
299,5.89,-1.94,11.16
303,6.51,-1.77,12.06
307,6.86,-1.25,13.49
312,7.00,-0.13,15.24
317,7.38,1.25,17.35
322,7.72,3.10,18.15
326,8.04,5.02,19.10
331,8.00,5.91,19.44
336,7.91,7.52,19.52
341,8.15,9.01,19.54
345,8.26,10.36,19.54
349,8.42,11.42,19.54
354,9.27,12.04,19.54
359,9.49,12.11,19.54
363,9.71,11.63,19.54
368,9.62,11.22,19.54
373,9.64,10.07,19.54
378,9.87,8.65,19.54
382,10.43,7.26,19.54
387,10.57,5.90,19.54
391,11.06,4.46,19.54
396,11.23,3.20,19.54
400,11.21,2.36,19.54
405,11.75,0.94,19.54
410,11.57,-0.66,19.54
415,11.66,-2.05,19.54
420,12.23,-3.45,19.54
424,11.96,-4.55,19.54
428,11.97,-5.55,19.54
433,11.65,-6.30,19.49
438,11.49,-7.35,19.52
442,11.49,-7.97,19.52
447,11.60,-8.28,19.43
452,11.63,-8.28,19.27
457,11.89,-8.28,19.34
461,12.03,-8.31,19.18
466,12.11,-8.02,18.69
470,12.32,-7.89,17.72
475,12.49,-7.84,16.94
479,12.50,-7.73,15.50
484,12.73,-7.37,14.29
489,12.55,-8.22,11.22
494,12.40,-9.80,10.10
499,12.21,-10.16,7.63
503,11.65,-9.15,5.79
508,10.85,-6.64,3.52
512,10.04,-8.58,0.15
517,9.65,-11.31,-1.31
521,8.05,-11.52,-1.01
526,6.66,-8.91,-0.34
531,5.59,-6.60,0.99
535,5.46,-6.11,1.22
540,5.04,-6.29,0.24
545,4.19,-7.09,-1.71
550,3.88,-8.71,-3.12
553,2.71,-9.14,-4.28
558,1.75,-9.65,-4.66
563,0.96,-8.80,-3.91
568,0.17,-8.23,-3.02
572,-0.38,-7.01,-2.71
577,-0.27,-6.08,-2.67
582,-0.49,-5.73,-3.23
586,-0.84,-5.52,-3.28
591,-0.87,-5.43,-4.01
595,-1.24,-5.33,-4.62
600,-1.53,-5.13,-4.76
604,-1.81,-4.49,-4.44
609,-1.77,-3.97,-3.89
614,-1.85,-3.07,-3.83
619,-1.77,-2.48,-3.89
623,-1.90,-1.80,-4.31
628,-2.13,-1.48,-4.55
633,-2.35,-0.83,-4.85
637,-2.33,-0.41,-5.30
641,-2.36,0.00,-6.00
646,-2.37,0.33,-6.48
651,-2.62,0.55,-6.84
655,-2.45,0.78,-7.10
660,-2.77,0.82,-7.39
665,-2.74,1.17,-7.13
670,-2.66,1.18,-7.00
674,-2.27,1.35,-7.06
678,-2.08,1.48,-7.29
683,-1.94,1.69,-7.46
688,-1.83,1.88,-7.54
692,-1.86,1.85,-7.88
697,-1.81,2.01,-7.88
702,-1.65,2.11,-8.10
706,-1.35,2.22,-8.39
711,-1.09,2.67,-8.76
716,-0.90,3.07,-8.96
720,-0.80,3.23,-8.94
724,-0.23,3.76,-8.94
729,-0.06,4.09,-9.23
734,0.46,4.57,-9.29
738,0.94,5.09,-8.97
743,1.34,5.55,-8.70
748,1.63,5.61,-8.42
753,2.31,5.78,-8.31
757,2.79,6.43,-7.91
762,2.85,6.85,-7.80
766,3.30,7.37,-7.03
771,4.03,8.05,-6.70
775,4.42,8.53,-6.08
780,4.89,9.09,-4.84
785,5.30,9.00,-3.60
789,5.72,8.86,-2.20
794,6.04,9.03,-1.01
799,6.43,9.04,-0.28
803,7.00,9.13,-0.12
807,7.06,9.05,0.37
812,7.60,8.96,0.42
817,8.15,8.73,-0.02
821,7.92,8.06,0.14
826,7.14,7.07,0.28
831,8.32,5.98,-0.04
836,9.70,4.62,-0.11
840,10.21,3.03,-0.57
845,10.13,1.82,-0.50
849,9.69,0.17,0.52
854,9.55,-1.53,1.93
858,9.67,-3.08,3.28
863,10.63,-3.97,4.04
868,11.83,-4.69,5.16
873,12.77,-4.80,6.14
877,13.59,-4.83,6.94
882,13.99,-4.47,7.71
887,14.34,-4.03,9.51
891,15.03,-4.13,11.19
895,15.41,-4.12,11.98
900,15.99,-4.22,14.44
905,16.41,-4.90,17.08
910,16.91,-5.17,18.89
914,16.59,-5.58,19.38
919,16.17,-5.53,19.50
924,15.08,-5.46,19.53
928,13.80,-5.07,19.54
932,12.89,-4.54,19.54
937,11.98,-4.18,19.54
942,10.67,-4.01,19.54
947,10.29,-2.85,19.54
951,9.28,-1.99,19.54
956,8.72,-1.17,19.54
961,8.26,-0.43,19.54
966,7.29,-0.11,19.54
970,6.08,0.20,19.54
974,6.39,0.48,19.54
979,6.06,0.49,19.54
984,5.80,0.28,19.54
988,5.64,-0.11,19.54
993,5.65,-0.71,19.54
998,5.29,-1.45,19.54
1003,5.03,-2.13,19.54
1007,4.93,-2.42,19.54
1012,5.12,-3.13,19.51
1016,5.12,-3.80,18.94
1021,5.12,-4.29,17.85
1025,4.85,-4.64,16.64
1030,4.95,-4.90,16.36
1035,4.72,-5.08,15.48
1039,4.66,-5.21,14.28
1044,4.46,-5.43,13.89
1049,4.34,-5.79,13.70
1053,4.07,-5.80,13.48
1058,3.86,-6.03,13.51
1062,3.81,-6.28,13.42
1067,3.89,-6.51,13.39
1072,3.66,-6.50,13.25
1077,3.39,-6.06,13.18
1081,3.38,-5.88,13.32
1086,3.52,-6.05,13.32
1091,3.09,-6.02,13.36
1095,3.08,-5.90,13.60
1099,2.94,-5.31,14.46
1104,2.94,-5.02,14.91
1109,2.70,-4.33,15.57
1114,2.75,-3.72,16.64
1118,2.69,-3.20,17.70
1123,2.37,-2.63,18.54
1128,2.34,-2.23,18.77
1133,2.20,-1.96,19.10
1137,2.16,-1.78,19.27
1141,2.33,-1.53,19.27
1146,2.51,-1.44,19.42
1151,2.61,-1.52,19.42
1155,2.65,-1.63,19.46
1160,2.68,-1.95,19.44
1165,2.65,-2.70,19.34
1170,2.54,-3.01,18.98
1174,2.60,-3.56,18.51
1178,2.62,-4.02,18.19
1183,2.75,-4.74,17.84
1187,2.77,-5.33,17.34
1192,2.93,-6.09,16.95
1197,2.77,-6.92,16.88
1202,2.97,-7.34,16.93
1206,2.83,-8.15,16.70
1211,2.78,-8.91,16.26
1216,2.48,-9.42,16.01
1220,2.05,-9.98,15.97
1224,2.52,-10.41,15.95
1229,2.93,-10.65,15.88
1234,2.89,-10.77,15.52
1239,2.93,-10.75,15.14
1243,2.89,-10.47,14.80
1248,2.82,-10.19,14.52
1253,2.88,-9.94,14.13
1258,2.86,-9.69,13.66
1262,2.51,-9.57,13.02
1266,2.63,-9.45,12.70
1271,2.94,-9.56,12.10
1276,3.01,-9.88,10.70
1280,3.24,-10.30,9.46
1285,3.30,-10.71,8.66
1290,3.61,-10.86,7.86
1295,3.66,-10.69,6.70
1299,3.87,-10.85,5.57
1303,3.79,-10.82,4.01
1308,3.57,-10.26,1.95
1313,3.59,-9.66,0.77
1317,3.40,-9.17,-0.15
1322,3.29,-8.95,-0.70
1327,3.04,-8.42,-1.03
1332,2.98,-8.17,-2.20
1336,2.59,-7.91,-2.91
1341,2.50,-7.68,-3.19
1345,2.59,-7.45,-3.82
1350,2.98,-6.95,-4.44
1354,2.99,-6.56,-4.66
1359,2.82,-6.12,-5.20
1364,2.67,-5.89,-5.71
