timestamp,accX,accY,accZ
0,6.87,6.15,19.54
91,6.91,5.02,19.54
95,7.09,3.65,19.54
100,7.16,2.40,19.54
104,7.33,1.24,19.54
109,7.82,0.87,19.54
113,8.10,0.03,19.54
118,8.46,-0.62,19.54
123,8.54,-1.49,19.54
128,8.76,-2.33,19.54
133,8.81,-3.43,19.54
137,9.22,-4.66,19.54
142,9.48,-5.86,19.54
146,9.54,-6.62,19.31
151,9.46,-7.66,18.43
155,9.65,-8.56,16.77
160,9.45,-9.22,15.61
165,9.45,-9.45,14.04
170,9.11,-9.42,13.03
174,8.86,-9.14,11.89
179,8.78,-8.79,10.75
184,8.53,-5.12,9.58
188,8.45,-6.90,7.45
192,8.48,-6.39,5.30
197,8.00,-6.72,3.96
202,7.47,-6.03,3.32
207,6.73,-6.07,2.76
211,6.05,-6.37,1.53
216,5.10,-6.64,0.72
221,4.48,-5.44,0.90
225,4.23,-4.84,-0.16
229,3.52,-5.14,-1.18
234,3.29,-4.79,-1.65
239,2.62,-4.71,-2.53
243,1.76,-4.77,-3.03
248,1.25,-4.59,-3.34
253,0.96,-4.47,-3.23
258,0.11,-4.21,-3.01
262,0.03,-3.77,-3.12
267,-0.39,-3.26,-3.14
271,-0.64,-2.31,-3.31
276,-0.84,-2.26,-3.53
280,-0.87,-1.45,-3.20
285,-0.84,-0.85,-3.81
290,-1.20,-0.59,-3.88
294,-1.74,-0.16,-3.60
299,-2.22,-0.02,-3.50
304,-2.29,-0.09,-3.52
309,-2.48,-0.62,-3.62
312,-2.54,-1.06,-3.43
317,-2.66,-1.25,-3.49
322,-2.85,-0.97,-3.36
327,-2.91,-0.71,-3.17
331,-3.09,-0.87,-3.18
336,-3.31,-0.95,-3.00
341,-3.48,-1.25,-3.05
346,-3.69,-1.23,-2.93
350,-3.66,-1.24,-2.70
354,-3.50,-1.01,-2.65
359,-3.44,-0.53,-2.74
364,-3.65,-0.20,-3.04
368,-3.76,0.04,-3.27
373,-3.77,0.52,-3.52
378,-3.83,1.09,-3.64
383,-3.64,1.52,-4.01
387,-3.69,2.28,-4.64
392,-3.60,2.82,-4.76
396,-3.61,3.29,-4.83
401,-3.54,3.75,-5.24
405,-3.75,4.42,-5.16
410,-3.58,4.80,-5.45
415,-3.72,4.79,-5.73
419,-3.46,4.52,-6.03
424,-3.33,4.59,-6.27
429,-3.53,4.93,-6.51
434,-3.41,4.87,-6.33
437,-3.27,5.00,-6.10
442,-3.13,5.19,-6.03
447,-3.07,5.37,-5.87
452,-2.86,5.66,-5.43
456,-2.33,5.81,-5.57
461,-2.03,6.16,-5.29
466,-1.80,6.39,-5.39
470,-1.48,6.61,-5.13
475,-1.27,6.84,-5.61
479,-0.77,6.91,-5.70
484,-0.26,7.31,-5.68
488,0.28,7.51,-6.43
493,0.33,7.96,-6.80
498,0.75,7.98,-6.93
503,1.18,8.28,-6.81
507,1.41,8.56,-7.20
512,1.84,8.60,-7.49
517,2.04,8.46,-7.49
521,2.65,8.19,-7.24
525,3.35,8.10,-7.10
530,3.93,7.90,-7.11
535,4.32,7.57,-7.09
539,4.81,7.18,-6.62
544,5.43,6.76,-6.53
549,6.24,6.51,-5.84
553,6.93,6.35,-5.93
558,7.40,5.76,-5.40
562,7.96,4.46,-3.45
567,8.31,2.66,-1.64
571,8.78,1.41,-0.64
576,8.82,0.57,-0.43
581,8.69,0.31,-0.85
585,9.20,0.17,-1.18
590,9.64,0.14,-0.55
595,10.03,-0.39,0.15
600,10.57,-1.36,0.62
603,10.85,-2.46,0.73
608,11.22,-3.61,1.29
613,11.40,-4.31,1.10
618,12.17,-4.72,1.16
622,12.71,-5.52,1.82
627,13.19,-6.45,3.10
632,14.11,-7.38,4.41
637,14.89,-7.74,6.06
641,15.78,-8.12,6.85
645,16.73,-7.62,8.60
650,16.84,-7.40,10.22
655,17.44,-6.64,12.02
659,17.76,-6.48,15.22
664,17.83,-6.77,18.22
669,17.89,-6.81,19.22
674,16.79,-5.80,19.38
678,15.81,-4.27,19.50
683,14.98,-3.79,19.53
687,13.18,-3.17,19.54
692,11.56,-2.31,19.54
696,10.41,-1.33,19.54
701,10.16,-0.60,19.54
706,9.07,0.36,19.54
711,8.77,0.72,19.54
716,8.55,0.83,19.54
720,8.20,0.59,19.54
725,7.22,-0.38,19.54
729,6.97,-1.76,19.54
733,6.72,-3.41,19.54
738,6.24,-5.49,19.54
743,6.32,-7.39,19.54
748,5.52,-9.07,19.54
753,5.45,-9.62,19.54
757,4.97,-10.55,19.54
762,4.80,-10.70,19.54
767,4.51,-10.25,19.54
771,3.98,-9.34,19.54
775,3.93,-9.11,19.54
780,3.87,-9.21,19.54
785,3.76,-9.35,19.54
789,3.61,-9.41,19.54
794,3.62,-9.46,19.54
799,3.42,-9.26,19.54
804,3.25,-9.34,19.54
809,3.30,-9.01,19.54
812,3.33,-8.30,19.54
817,3.15,-8.04,19.54
822,3.23,-7.53,19.54
826,3.32,-7.17,19.49
831,3.12,-7.30,19.39
836,3.13,-7.12,19.44
841,3.10,-6.89,19.35
845,3.16,-6.77,19.22
850,2.83,-6.47,19.30
854,2.81,-6.01,19.42
859,2.77,-5.51,19.36
863,2.63,-5.14,19.35
868,2.65,-5.04,19.23
873,2.56,-5.37,19.26
878,2.23,-5.57,19.11
882,2.26,-5.70,19.14
887,1.94,-6.03,18.99
892,2.00,-6.65,19.23
896,1.95,-7.45,19.19
900,1.62,-7.95,18.82
905,1.76,-8.33,18.94
910,1.99,-8.63,18.75
915,1.98,-8.84,18.57
919,2.39,-9.11,18.23
924,2.39,-9.22,18.19
929,2.67,-9.22,17.42
934,2.89,-9.14,16.82
937,3.10,-8.92,16.65
942,3.51,-8.75,16.25
947,3.70,-8.60,15.41
952,3.74,-8.62,14.61
957,3.93,-8.76,13.74
961,4.06,-9.00,12.86
966,4.18,-9.43,11.84
971,4.29,-9.81,11.41
975,4.31,-10.65,10.20
979,4.14,-11.27,9.30
984,4.09,-11.79,8.18
989,3.90,-12.08,7.15
994,3.78,-12.05,6.44
998,3.69,-11.86,5.24
1003,3.85,-11.48,4.75
1008,3.70,-11.00,4.14
1013,3.64,-10.70,3.55
1017,3.44,-10.36,3.03
1021,3.43,-9.81,2.62
1026,3.53,-9.22,2.17
1031,3.31,-9.13,0.75
1035,2.89,-8.68,0.80
1040,2.47,-8.13,0.11
1045,2.41,-7.79,0.11
1049,2.27,-7.27,-0.32
1054,2.12,-6.97,-0.35
1059,1.94,-6.61,-0.60
