timestamp,accX,accY,accZ
0,10.93,-8.11,19.54
91,10.58,-8.84,19.54
95,10.63,-9.17,19.52
100,10.75,-9.43,19.45
105,11.37,-9.80,19.25
109,10.92,-9.99,18.81
113,11.17,-9.75,17.67
118,11.02,-9.59,16.40
123,10.56,-9.23,14.58
128,10.26,-9.22,13.29
133,9.68,-9.00,12.32
137,8.70,-8.71,11.76
142,8.12,-8.27,10.65
147,7.63,-7.98,9.91
151,7.37,-7.77,9.03
155,7.01,-4.44,7.78
160,6.53,-5.49,6.42
165,6.12,-4.94,5.43
169,5.73,-4.54,4.62
174,5.03,-5.00,3.57
179,4.48,-6.16,2.49
184,3.59,-6.87,1.36
188,2.39,-6.03,1.59
192,1.72,-4.85,2.11
197,1.31,-4.18,2.23
202,1.04,-4.06,2.29
206,1.21,-3.72,2.50
211,1.02,-3.31,3.02
216,0.44,-2.73,2.85
220,-0.09,-2.47,2.58
225,0.01,-2.61,2.47
230,-0.37,-2.76,1.72
234,-0.65,-2.58,1.60
238,-0.93,-2.05,1.31
243,-1.44,-1.88,1.57
248,-1.62,-1.57,1.35
253,-1.76,-1.43,1.19
257,-1.30,-1.38,0.81
262,-1.09,-1.63,0.47
267,-1.61,-1.86,0.37
272,-1.78,-1.89,0.29
275,-2.06,-1.85,0.26
280,-2.30,-1.71,0.16
285,-2.23,-1.48,-0.18
289,-2.13,-1.15,-0.31
294,-2.06,-0.64,-0.52
299,-2.45,-0.42,-0.95
303,-2.64,-0.56,-1.88
308,-2.91,-0.64,-2.46
313,-3.22,-0.75,-3.22
317,-3.44,-1.03,-3.73
322,-3.37,-1.06,-3.76
326,-3.31,-0.80,-4.00
331,-3.32,-0.15,-4.26
336,-3.47,0.25,-4.21
340,-3.51,0.73,-4.51
345,-3.68,1.20,-4.63
350,-3.65,1.67,-5.05
355,-3.54,2.08,-5.14
358,-3.47,2.36,-5.03
363,-3.15,2.62,-5.25
368,-3.06,2.85,-5.24
373,-3.11,3.31,-5.27
377,-3.26,3.60,-4.61
382,-2.99,3.81,-4.75
387,-2.89,4.00,-4.38
391,-2.60,4.23,-4.39
396,-2.56,4.35,-4.34
400,-2.37,4.67,-4.31
405,-2.30,5.00,-4.47
409,-2.15,5.21,-4.90
414,-1.97,5.29,-5.12
419,-1.81,5.52,-5.10
423,-1.50,5.59,-5.36
428,-1.35,5.74,-5.79
433,-1.49,5.81,-6.24
438,-1.25,5.73,-6.71
441,-0.86,5.52,-7.10
446,-0.62,5.41,-7.06
451,-0.40,5.35,-7.52
456,-0.25,5.10,-8.07
460,0.25,4.95,-8.30
465,0.65,4.77,-8.46
470,0.83,4.52,-8.67
475,1.24,4.59,-8.43
479,1.67,4.42,-8.19
483,2.23,4.23,-8.53
488,2.75,4.14,-8.58
492,3.22,4.12,-8.44
497,3.53,4.07,-7.73
502,4.00,3.86,-7.62
506,4.44,3.67,-7.16
511,4.97,3.22,-6.74
516,5.56,2.62,-6.26
521,5.89,2.32,-6.17
524,6.26,1.99,-6.03
529,6.45,1.68,-5.63
534,6.99,1.17,-5.41
539,7.85,0.14,-5.26
543,8.74,-0.62,-5.39
548,9.46,-1.84,-4.52
553,10.28,-2.55,-3.94
558,10.87,-3.86,-3.68
563,11.86,-4.68,-3.04
566,12.32,-5.15,-2.74
571,13.09,-5.07,-2.29
576,14.20,-4.95,-1.88
581,15.17,-4.44,-0.31
585,15.92,-3.97,1.38
590,16.55,-3.56,3.13
595,17.19,-2.83,5.58
599,17.63,-2.80,8.53
604,18.69,-4.38,12.40
608,19.02,-5.55,14.20
613,18.67,-5.85,17.29
618,18.30,-5.82,18.97
622,18.22,-5.24,19.40
627,17.14,-5.35,19.51
632,16.50,-5.21,19.54
637,15.03,-4.97,19.54
641,13.43,-4.44,19.54
