timestamp,accX,accY,accZ
0,9.22,1.85,19.54
91,9.53,1.16,19.54
95,9.59,0.35,19.54
100,9.56,-0.40,19.54
104,9.37,-1.09,19.54
109,9.15,-1.33,19.54
113,8.99,-0.73,19.54
118,9.13,-0.22,19.54
123,9.29,0.50,19.54
128,9.45,0.96,19.54
132,9.59,1.36,19.54
137,9.90,1.69,19.54
142,10.13,1.79,19.54
146,10.29,1.72,19.54
150,10.68,1.46,19.54
155,10.68,0.78,19.53
160,10.90,0.03,19.26
165,11.05,-0.80,18.94
169,11.01,-1.69,18.09
174,11.34,-2.59,17.72
179,10.81,-3.50,17.37
184,10.39,-3.88,17.20
187,10.49,-4.50,16.62
192,10.88,-5.26,15.82
197,10.93,-5.87,15.68
202,10.92,-5.98,15.31
206,11.27,-6.53,14.89
211,11.74,-6.51,14.64
216,11.94,-7.35,13.73
221,11.28,-7.12,13.42
226,11.71,-7.25,12.86
229,11.50,-7.83,11.98
234,10.77,-8.00,11.23
239,11.11,-8.07,10.35
244,11.12,-7.62,10.08
248,11.27,-7.54,9.22
253,11.16,-8.13,8.84
258,10.75,-8.20,7.73
263,10.65,-7.39,7.43
267,10.35,-7.63,6.50
271,10.14,-8.48,6.25
276,9.90,-9.18,5.19
280,9.29,-9.25,4.17
285,8.66,-9.12,3.42
290,8.37,-8.91,2.63
295,8.03,-8.29,1.62
299,7.48,-6.61,0.63
304,7.27,-5.11,-0.03
309,8.14,-3.00,-1.87
312,6.96,-3.33,-4.39
317,6.39,-4.17,-6.73
322,5.72,-4.17,-7.73
327,4.47,-3.30,-9.02
331,2.99,-4.34,-9.67
336,2.03,-7.17,-10.97
341,1.02,-8.54,-11.59
346,-0.03,-8.20,-11.35
350,-0.73,-7.83,-11.00
354,-0.96,-7.14,-10.44
359,-1.27,-6.85,-10.37
364,-1.46,-6.30,-10.15
368,-1.94,-5.71,-10.36
373,-2.50,-5.55,-10.36
378,-2.94,-5.68,-10.74
383,-3.09,-5.54,-10.83
387,-2.96,-5.36,-10.45
392,-2.79,-4.69,-9.69
396,-2.44,-3.84,-9.37
401,-2.27,-2.84,-8.53
405,-2.32,-2.19,-8.09
410,-2.13,-1.82,-7.50
415,-1.69,-0.88,-7.25
420,-1.71,0.25,-6.72
424,-1.43,0.75,-6.45
429,-1.35,1.33,-6.31
434,-1.23,2.08,-5.97
437,-0.97,2.32,-5.76
442,-0.84,3.34,-5.87
447,-0.92,3.91,-5.70
452,-1.05,4.30,-5.73
456,-0.97,4.60,-5.89
461,-0.93,4.60,-6.35
466,-1.00,4.74,-6.03
471,-0.57,4.79,-6.23
475,-0.41,4.90,-6.33
479,-0.54,4.94,-6.22
484,-0.42,4.93,-6.42
488,-0.28,4.89,-6.50
493,-0.11,4.87,-6.35
498,0.23,4.75,-6.70
503,0.20,4.73,-6.72
507,0.59,4.46,-6.65
512,0.71,4.21,-6.81
517,1.04,4.04,-6.69
521,1.46,3.80,-6.26
525,1.90,3.44,-6.13
530,2.16,3.30,-5.79
535,2.49,3.00,-4.32
540,3.06,2.59,-3.42
544,3.21,2.03,-2.31
549,3.41,1.96,-0.82
554,3.45,2.12,-0.59
558,4.00,2.12,-0.34
562,4.36,3.51,0.47
567,4.77,3.96,1.11
572,5.46,4.71,1.13
576,5.59,4.88,1.65
581,6.33,5.29,2.11
586,6.76,5.12,2.84
591,6.82,4.65,3.59
595,6.63,3.61,3.56
600,6.57,3.30,4.21
604,6.51,2.41,4.53
609,6.66,1.64,4.32
613,6.61,1.03,3.76
618,6.97,0.36,3.68
623,7.11,0.17,3.69
628,7.59,0.19,2.96
632,8.02,0.25,3.83
637,9.15,0.27,5.33
642,9.63,0.20,7.85
646,10.88,-0.31,11.25
651,12.24,-1.04,14.34
655,12.89,-1.39,15.00
660,12.72,-1.44,16.06
665,12.42,-1.39,16.07
670,11.99,-0.96,15.19
674,11.46,-0.30,13.89
679,11.16,0.45,12.96
684,11.10,0.94,12.74
688,11.43,1.08,12.63
692,12.09,0.88,12.71
697,12.82,0.66,13.09
702,13.33,0.40,13.29
707,13.69,-0.42,13.63
