timestamp,accX,accY,accZ
0,5.96,-1.25,8.81
91,6.44,-0.96,9.54
95,6.43,-0.94,10.29
100,6.47,-1.21,11.46
105,6.73,-1.69,12.16
110,7.00,-1.75,13.17
113,7.46,-2.01,14.12
118,7.67,-1.87,15.22
123,7.90,-1.42,16.91
128,8.04,-0.60,18.30
132,8.10,0.49,19.19
137,8.31,1.70,19.37
142,8.22,2.96,19.50
146,8.47,3.69,19.53
151,8.55,4.03,19.54
155,8.88,4.38,19.54
160,8.97,4.42,19.54
165,9.19,4.52,19.54
169,9.27,4.55,19.54
174,9.61,4.67,19.54
179,9.77,4.97,19.54
183,9.96,4.89,19.54
188,10.19,4.59,19.54
193,10.32,4.23,19.54
197,10.46,3.30,19.54
202,10.61,2.32,19.54
206,10.67,1.05,19.54
211,11.28,-0.12,19.54
216,11.33,-1.40,19.54
221,11.10,-1.95,19.54
226,11.15,-3.22,19.48
230,11.20,-4.17,18.79
235,10.96,-4.89,18.11
239,10.80,-5.58,18.05
243,10.64,-5.89,17.33
248,10.34,-6.16,16.90
253,9.87,-6.13,16.99
258,9.77,-6.22,16.80
263,9.62,-6.09,16.54
267,9.17,-5.54,17.14
272,9.13,-4.90,17.19
277,9.10,-4.36,17.02
281,8.96,-4.01,17.55
285,8.84,-3.95,17.15
290,8.85,-3.66,17.31
295,8.96,-3.70,16.83
299,9.09,-3.95,16.46
304,9.28,-3.89,16.23
309,9.41,-2.64,15.99
314,9.25,-1.11,14.89
318,9.80,-1.21,12.00
322,10.23,-2.86,8.31
327,10.13,-8.27,6.14
332,9.31,-12.19,5.54
336,7.85,-11.59,6.07
341,6.49,-8.90,7.16
346,5.63,-7.52,7.63
351,5.47,-7.33,6.93
355,5.32,-7.88,5.26
360,5.03,-9.22,3.92
364,4.65,-9.35,3.56
368,4.16,-9.78,1.93
373,3.57,-9.41,1.60
378,2.97,-8.87,2.46
383,2.97,-7.38,3.30
387,2.87,-5.53,3.38
392,2.94,-4.32,2.40
397,3.15,-3.69,1.68
401,3.12,-3.00,0.23
405,2.63,-2.59,-1.26
410,2.03,-2.07,-2.07
415,1.54,-1.43,-2.27
419,1.43,-0.76,-2.58
424,1.14,0.10,-2.99
429,0.66,0.85,-2.91
434,0.30,1.38,-3.29
438,-0.09,1.53,-3.68
443,-0.14,1.48,-3.99
447,-0.52,1.54,-4.23
451,-0.60,1.57,-4.60
456,-0.60,0.95,-5.36
461,-1.10,0.09,-5.86
466,-1.31,-0.32,-6.15
470,-1.50,-0.54,-6.04
475,-1.95,-1.16,-5.63
480,-2.16,-1.50,-5.75
485,-2.50,-1.88,-5.58
488,-2.96,-2.08,-5.03
493,-3.06,-1.89,-4.72
498,-2.98,-1.42,-4.70
502,-3.30,-1.31,-3.99
507,-3.22,-0.80,-4.42
512,-3.32,-0.34,-3.98
517,-3.35,0.16,-3.76
521,-3.13,0.74,-3.43
526,-3.16,1.10,-3.32
530,-3.07,1.50,-2.74
535,-2.94,1.54,-2.88
539,-2.89,1.93,-2.60
544,-2.81,2.17,-2.44
549,-2.62,2.69,-2.37
553,-2.65,3.18,-2.53
558,-2.70,3.53,-2.29
563,-2.63,3.55,-2.30
568,-2.68,3.87,-2.24
