timestamp,accX,accY,accZ
0,8.44,-1.07,19.54
91,8.06,-1.34,19.54
95,8.16,-1.54,19.54
100,8.56,-1.73,19.54
105,9.14,-1.70,19.54
110,9.61,-1.78,19.54
114,10.26,-1.61,19.54
119,10.68,-1.32,19.54
123,10.64,-1.16,19.54
128,10.86,-1.14,19.54
133,10.97,-1.25,19.54
137,11.02,-1.58,19.54
142,10.99,-2.03,19.54
147,10.82,-2.34,19.54
152,10.77,-3.14,19.54
156,10.59,-4.17,19.54
161,10.67,-4.71,19.54
165,10.61,-5.67,19.48
170,10.35,-6.27,19.46
175,10.16,-6.71,19.23
179,10.04,-7.06,18.85
184,9.84,-7.19,18.50
189,9.63,-7.44,18.10
194,9.56,-7.85,17.66
198,9.37,-8.15,17.18
203,9.32,-8.60,16.73
207,9.14,-9.25,16.14
212,9.12,-9.71,16.03
216,8.96,-10.00,15.23
221,8.79,-10.52,14.62
226,8.64,-11.00,13.95
231,8.40,-11.17,12.91
235,8.19,-11.20,12.27
240,8.24,-10.81,11.73
245,8.10,-10.43,11.04
249,8.03,-10.16,9.64
253,7.57,-9.73,8.53
258,7.11,-9.08,7.76
263,7.01,-8.48,6.70
268,6.51,-7.87,6.08
272,6.27,-7.12,5.81
277,6.01,-3.76,5.07
282,5.35,-6.96,3.68
286,5.23,-6.00,2.56
290,5.09,-5.89,1.48
295,4.66,-5.09,0.86
300,4.18,-4.53,0.26
304,3.65,-3.46,0.06
309,3.16,-3.14,-0.84
314,2.86,-3.20,-1.93
319,2.48,-3.09,-2.43
323,2.19,-2.72,-2.58
328,1.43,-2.25,-2.39
332,1.14,-2.01,-2.41
337,0.63,-1.60,-2.29
341,0.17,-1.39,-2.23
346,0.11,-0.96,-2.03
351,-0.30,-0.65,-2.38
356,-0.46,-0.40,-2.14
360,-0.49,0.18,-2.85
365,-0.70,0.13,-3.26
370,-0.82,-0.02,-3.79
373,-1.13,-0.16,-4.43
378,-1.56,-0.46,-4.87
383,-1.79,-0.41,-4.79
388,-2.13,-0.73,-4.57
392,-2.35,-0.84,-4.74
397,-2.61,-1.10,-4.95
402,-2.49,-1.01,-4.97
407,-2.65,-1.04,-5.33
411,-2.88,-1.16,-5.47
415,-2.91,-1.11,-5.02
420,-3.08,-0.80,-4.93
424,-3.10,-0.48,-4.89
429,-3.33,-0.29,-4.46
434,-3.38,-0.05,-4.03
439,-3.30,0.08,-3.62
443,-3.29,0.40,-3.09
448,-3.28,0.87,-2.60
453,-3.07,1.25,-2.16
457,-3.00,1.65,-1.45
462,-2.99,2.02,-1.39
466,-2.76,2.57,-0.88
471,-2.64,2.78,-0.61
476,-2.70,3.36,-0.27
480,-2.64,4.15,-0.40
485,-2.86,4.72,-0.24
490,-2.66,5.17,0.03
494,-2.36,5.41,-0.46
498,-2.30,5.71,-0.80
503,-2.18,5.86,-0.78
508,-2.13,6.11,-1.12
512,-2.21,6.19,-1.94
517,-2.17,6.29,-1.96
522,-2.29,6.18,-2.19
527,-2.24,5.98,-2.65
531,-2.13,6.06,-2.81
536,-1.95,5.85,-2.62
540,-1.85,5.61,-2.93
545,-1.85,5.14,-2.98
549,-1.53,4.59,-3.03
554,-1.35,4.21,-2.93
559,-1.02,3.76,-2.85
