timestamp,accX,accY,accZ
0,2.22,-4.98,7.38
90,2.33,-5.02,7.40
94,2.16,-5.14,7.18
99,2.08,-5.08,7.36
104,2.30,-5.02,7.46
109,2.30,-4.84,7.43
113,2.28,-4.75,7.92
118,2.39,-4.69,7.92
123,2.37,-4.51,7.94
128,2.52,-4.41,7.94
131,2.55,-4.39,7.83
136,2.62,-4.44,7.93
141,2.75,-4.44,8.02
146,2.90,-4.49,7.77
150,3.39,-4.57,7.94
155,3.78,-4.61,8.05
160,4.36,-4.76,8.29
165,4.89,-4.67,8.23
169,5.21,-4.77,8.91
173,5.44,-4.64,10.13
178,5.63,-4.22,11.18
183,5.98,-3.67,12.67
187,6.58,-2.96,13.86
192,6.96,-2.13,15.84
197,7.18,-1.09,17.92
202,7.36,-0.57,19.12
206,7.57,0.30,19.44
211,7.62,1.09,19.52
215,7.58,2.16,19.54
220,7.03,3.00,19.54
224,7.24,3.21,19.54
229,8.26,3.09,19.54
234,9.15,3.06,19.54
239,9.65,2.70,19.54
243,9.87,2.13,19.54
248,10.10,1.75,19.54
253,10.31,1.55,19.54
257,10.59,1.56,19.54
261,10.65,1.50,19.54
266,10.77,1.14,19.54
271,11.03,0.64,19.54
276,11.26,-0.11,19.54
280,11.85,-1.02,19.54
285,12.36,-1.93,19.54
290,12.63,-3.03,19.54
295,12.56,-4.29,19.54
298,12.41,-4.96,19.54
303,12.28,-6.33,19.54
308,12.24,-7.63,19.54
313,12.03,-8.99,19.54
317,11.88,-10.14,19.54
322,11.96,-11.30,19.54
327,11.83,-12.18,19.54
332,11.84,-12.75,19.54
337,11.89,-12.91,19.54
340,12.18,-13.32,19.54
345,12.45,-13.59,19.46
350,12.76,-13.83,19.04
355,13.32,-14.08,17.46
360,13.69,-14.48,16.41
364,13.79,-14.68,13.07
369,12.54,-14.31,9.67
374,12.01,-14.21,7.67
379,11.81,-12.79,7.00
382,11.68,-11.79,4.01
387,10.75,-12.93,1.65
392,9.53,-13.04,1.08
397,8.54,-12.62,0.11
401,7.54,-11.70,-0.59
406,6.77,-11.13,-0.65
411,5.84,-9.35,-1.58
416,5.39,-9.07,-2.41
420,5.14,-8.20,-3.08
424,4.14,-7.46,-3.27
429,3.16,-6.19,-3.20
433,2.53,-5.78,-3.34
438,1.98,-4.89,-3.57
443,1.66,-3.41,-3.80
448,1.44,-2.03,-3.83
452,1.13,-1.09,-4.21
457,1.09,0.42,-4.81
462,1.02,1.25,-5.59
466,1.04,1.76,-6.52
470,0.59,1.74,-6.66
475,0.11,1.34,-7.18
480,-0.19,0.72,-6.76
484,-0.79,0.36,-6.49
489,-0.94,-0.13,-5.57
494,-0.98,-0.34,-5.64
499,-1.13,-0.42,-5.81
503,-1.48,-0.13,-5.66
507,-1.78,-0.06,-5.55
512,-1.75,-0.36,-5.54
517,-1.97,-0.87,-5.97
521,-2.17,-1.53,-5.67
526,-2.41,-1.83,-5.44
531,-2.65,-1.81,-4.26
535,-2.62,-1.84,-3.73
540,-2.56,-1.60,-3.17
545,-2.87,-1.34,-2.56
549,-2.88,-0.93,-2.19
553,-2.48,-0.59,-2.06
558,-2.55,-0.27,-1.67
563,-2.43,0.58,-1.28
