timestamp,accX,accY,accZ
0,4.01,-1.67,8.47
91,1.66,-1.71,8.61
95,1.83,-1.53,8.52
100,2.02,-1.66,8.42
105,2.04,-1.86,8.39
109,2.24,-1.94,8.34
114,2.26,-1.99,8.30
118,2.52,-1.89,8.16
123,2.90,-1.76,8.34
127,2.94,-1.77,8.71
132,3.08,-1.68,8.98
137,3.30,-1.58,8.89
142,3.33,-1.45,9.53
146,3.31,-1.32,9.45
151,3.44,-0.97,10.16
156,3.45,-0.89,10.47
160,3.66,-0.82,11.05
164,3.64,-0.54,11.86
169,3.67,-0.20,12.90
174,3.82,0.32,14.23
178,3.99,0.65,14.81
183,3.62,1.09,15.49
188,3.61,1.59,17.09
193,3.70,2.56,18.32
197,3.67,3.95,19.06
201,3.75,5.77,19.43
206,3.99,7.89,19.51
211,4.45,9.88,19.53
215,4.55,11.55,19.54
220,4.77,13.15,19.54
225,4.65,13.66,19.54
230,4.82,14.49,19.54
234,4.99,14.58,19.54
239,4.83,14.50,19.54
243,5.06,13.96,19.54
248,5.19,13.11,19.54
252,5.27,12.17,19.54
257,5.13,11.65,19.54
262,5.38,10.90,19.54
267,5.53,10.10,19.54
271,5.52,9.30,19.54
276,5.56,8.32,19.54
281,5.53,7.21,19.54
285,5.28,5.89,19.54
289,5.53,5.26,19.54
294,5.37,3.94,19.54
299,5.43,3.17,19.54
304,5.65,2.16,19.54
308,5.48,1.09,19.54
313,5.86,0.12,19.54
318,6.21,-1.18,19.53
323,6.18,-1.79,19.51
326,5.69,-2.61,19.28
331,5.73,-3.56,18.49
336,5.67,-4.73,17.01
341,5.34,-5.70,15.87
346,5.06,-6.65,14.92
350,4.39,-7.42,12.71
355,4.14,-7.56,10.78
360,4.00,-7.48,8.54
365,3.57,-6.20,7.61
368,3.83,-3.06,5.36
373,3.07,-4.53,4.09
378,2.37,-4.56,1.62
382,1.26,-4.35,-0.42
387,0.39,-4.04,-2.02
392,-0.58,-4.22,-2.79
396,-0.93,-3.72,-2.80
401,-1.47,-2.22,-2.43
406,-1.40,-0.27,-2.37
410,-1.50,1.25,-2.62
414,-1.35,2.28,-2.81
419,-1.43,2.23,-2.85
424,-1.99,1.74,-2.86
429,-2.30,1.12,-2.53
433,-2.38,1.19,-1.83
438,-2.30,1.70,-1.48
443,-2.02,2.66,-0.59
448,-2.09,3.11,0.46
451,-1.92,3.94,1.17
456,-1.92,4.24,1.68
461,-1.81,4.00,2.08
465,-1.87,3.76,1.72
470,-1.82,3.28,1.93
475,-1.86,2.84,2.19
480,-1.98,2.78,2.73
484,-1.85,2.88,3.02
489,-1.71,3.39,3.65
493,-1.68,3.92,4.40
498,-1.63,4.45,4.83
502,-1.48,4.96,5.89
507,-1.56,5.08,7.21
512,-1.89,4.97,8.17
517,-1.71,4.79,9.15
521,-1.59,4.36,9.54
526,-1.37,3.87,9.79
531,-1.25,3.37,9.45
534,-1.32,2.94,9.31
539,-1.17,2.87,8.42
544,-1.15,2.71,7.40
549,-1.21,2.86,6.26
553,-1.17,3.05,5.13
558,-1.17,3.24,4.39
563,-1.12,3.84,4.08
568,-0.90,4.23,3.00
572,-0.74,4.44,1.79
576,-0.73,4.78,0.69
581,-0.74,5.14,-0.04
585,-0.75,5.30,-0.96
590,-0.72,5.45,-1.79
595,-0.66,5.30,-2.17
600,-0.53,5.10,-2.78
604,-0.70,4.84,-3.72
609,-0.83,4.15,-4.55
614,-0.93,3.57,-5.40
618,-0.95,3.11,-6.26
622,-1.16,2.81,-6.47
627,-1.34,2.20,-6.78
632,-1.53,1.79,-7.54
636,-1.36,1.67,-8.25
641,-1.24,1.79,-8.96
646,-1.24,1.71,-9.84
651,-1.17,1.84,-10.36
655,-0.99,1.85,-10.70
659,-0.93,1.72,-11.86
664,-0.88,1.89,-12.10
669,-0.47,2.01,-12.32
673,-0.11,2.21,-12.32
678,0.11,2.40,-12.00
683,0.56,2.39,-11.78
687,1.14,2.50,-11.28
692,1.76,2.48,-10.83
697,2.30,2.46,-10.68
701,2.78,2.40,-10.08
705,2.92,2.52,-9.48
710,3.58,2.37,-8.48
715,4.20,2.43,-7.90
720,4.78,2.19,-7.47
724,5.50,1.83,-6.74
729,5.89,1.70,-5.89
734,6.55,0.95,-4.61
739,6.75,-0.46,-1.68
742,7.80,-2.18,-0.09
747,8.08,-3.40,0.13
752,7.99,-3.71,0.79
757,8.40,-4.36,0.30
761,8.94,-4.78,-0.30
766,9.27,-5.68,0.12
771,9.74,-6.39,0.34
776,10.11,-7.16,0.34
780,10.68,-7.94,0.09
784,11.38,-8.24,0.20
789,12.10,-8.22,1.00
794,13.18,-8.58,1.53
798,13.97,-7.82,2.82
803,14.38,-7.57,4.16
808,14.91,-7.02,5.93
813,15.66,-6.25,6.99
817,16.20,-5.55,9.58
822,16.29,-5.03,12.31
826,16.51,-4.66,14.94
831,16.43,-4.22,16.82
835,15.49,-3.53,18.81
840,15.07,-2.37,19.36
845,14.02,-1.65,19.50
850,13.07,-0.01,19.52
854,12.25,1.68,19.54
859,10.85,2.44,19.54
864,10.05,3.77,19.54
868,8.35,4.08,19.54
872,7.92,4.31,19.54
877,7.69,4.41,19.54
882,7.63,5.59,19.54
887,7.79,5.13,19.54
891,7.08,4.90,19.54
896,5.72,3.48,19.54
901,4.52,0.39,19.54
