timestamp,accX,accY,accZ
0,5.27,-2.39,5.44
91,2.50,-2.53,5.62
95,2.60,-2.49,5.44
99,2.67,-2.75,5.66
104,2.66,-2.94,5.47
109,2.57,-3.10,5.77
113,2.88,-3.62,5.81
118,2.90,-4.34,6.10
123,2.94,-5.10,6.50
128,3.24,-5.42,6.81
132,3.35,-5.80,7.17
136,3.75,-6.15,7.81
141,3.72,-6.22,8.18
146,3.98,-6.23,7.91
150,4.04,-5.82,8.31
155,4.27,-5.43,8.77
160,4.43,-5.25,9.16
164,4.67,-4.67,9.71
169,4.97,-4.10,10.49
174,5.07,-3.47,11.39
178,5.20,-3.11,12.11
182,5.35,-2.76,12.89
187,5.68,-2.38,13.88
192,6.12,-2.29,14.72
197,6.32,-1.72,15.40
202,6.89,-0.79,16.94
206,7.01,0.38,17.86
211,7.38,1.71,18.81
216,7.52,3.09,19.05
220,7.95,4.64,19.30
224,8.35,5.47,19.45
229,8.48,6.84,19.51
234,8.87,8.06,19.51
238,8.94,9.35,19.51
243,9.25,10.28,19.49
248,9.45,10.99,19.49
253,9.86,11.46,19.33
258,10.04,11.60,19.18
261,10.00,11.97,19.01
266,10.16,12.17,18.80
271,10.21,11.97,18.16
276,10.37,11.91,18.08
280,10.64,11.88,17.90
285,10.85,11.98,17.82
290,11.08,12.11,17.90
295,11.44,12.17,17.83
299,11.94,12.51,17.92
303,12.08,12.70,18.13
308,12.42,12.86,18.39
313,12.98,12.46,18.70
318,13.27,12.44,19.28
322,13.34,12.62,19.35
327,13.54,12.67,19.49
332,14.05,12.72,19.53
337,14.31,12.32,19.54
342,14.65,11.76,19.54
345,14.70,11.18,19.54
350,14.03,9.74,19.54
355,14.59,7.28,19.54
360,16.20,4.85,19.54
364,17.87,3.23,19.54
369,18.49,-0.32,19.54
374,17.66,-3.19,19.54
379,16.78,-5.48,19.54
383,15.07,-7.43,19.48
387,13.78,-9.01,19.46
392,12.80,-10.05,18.84
397,12.22,-10.12,17.95
401,11.33,-9.97,17.06
406,10.62,-9.18,15.98
411,10.35,-8.21,14.75
416,9.37,-7.46,13.35
420,8.97,-6.27,12.49
425,8.74,-5.27,11.82
429,8.21,-4.07,10.84
434,7.68,-3.37,9.70
438,7.63,-2.48,8.48
443,7.40,-1.94,6.87
448,7.08,-2.34,5.15
453,6.47,-3.98,4.31
457,5.37,-5.18,3.24
462,4.32,-5.38,3.89
467,3.47,-5.26,4.23
470,3.09,-5.12,4.30
475,2.76,-5.17,4.00
480,2.32,-5.41,3.61
485,1.74,-5.19,2.96
489,1.39,-5.18,3.02
494,0.92,-5.19,2.29
499,0.21,-5.64,1.30
504,-0.11,-6.11,0.03
508,-0.51,-6.43,-0.82
512,-1.09,-6.61,-1.32
517,-1.82,-6.42,-1.51
522,-2.02,-6.10,-1.25
526,-2.49,-6.08,-1.15
531,-2.62,-5.80,-1.17
536,-3.07,-5.36,-1.02
541,-3.19,-4.98,-1.05
545,-3.02,-4.71,-1.23
550,-2.92,-4.29,-1.13
554,-3.00,-3.94,-0.92
559,-3.20,-3.76,-0.93
563,-3.18,-3.15,-0.95
568,-3.32,-2.66,-0.87
573,-3.39,-2.33,-0.80
577,-2.98,-1.77,-0.90
582,-3.08,-1.40,-1.03
587,-2.90,-1.07,-1.14
592,-3.02,-0.80,-1.20
595,-3.02,-0.48,-1.32
600,-3.06,-0.22,-1.91
605,-2.95,-0.01,-2.37
610,-2.78,0.18,-2.63
614,-2.63,0.23,-2.84
619,-2.59,0.30,-3.41
624,-2.48,0.62,-3.53
628,-2.46,0.98,-3.89
633,-2.54,1.11,-4.24
637,-2.56,1.40,-4.70
642,-2.40,1.67,-4.77
646,-2.40,1.83,-5.12
651,-2.46,1.91,-5.18
656,-2.50,1.80,-5.71
660,-2.52,1.79,-5.82
665,-2.26,1.73,-6.36
670,-2.05,1.80,-6.54
675,-1.95,1.98,-6.86
678,-1.81,2.25,-6.98
683,-1.54,2.26,-7.63
688,-1.26,2.37,-7.97
693,-1.30,2.49,-8.66
697,-1.09,2.36,-9.24
702,-1.10,2.21,-9.80
707,-0.88,2.41,-9.66
712,-0.73,2.28,-9.95
716,-0.32,2.36,-10.53
720,-0.13,2.23,-10.90
725,0.00,2.13,-10.94
730,0.28,2.08,-11.42
734,0.85,2.10,-11.22
739,1.47,2.07,-11.01
744,2.01,1.93,-10.37
749,2.45,1.84,-9.78
753,3.07,1.68,-8.87
758,3.62,1.57,-8.90
762,4.39,1.54,-8.11
766,5.39,1.59,-7.45
771,6.03,1.29,-6.53
776,6.96,1.21,-6.11
781,7.60,1.09,-6.27
785,7.85,0.53,-5.84
790,9.12,0.20,-5.87
795,9.69,-0.33,-5.61
799,10.61,-0.50,-5.59
803,11.01,-0.76,-4.71
808,11.84,-0.78,-3.84
813,12.86,-0.81,-2.56
817,13.23,-0.93,-1.36
822,13.72,-0.97,0.49
827,14.34,-0.73,1.19
831,14.79,-0.28,2.83
836,15.50,0.07,5.10
841,15.56,0.31,7.17
845,15.73,0.37,9.89
849,15.51,0.82,12.52
854,15.20,0.73,15.09
859,14.91,0.70,16.57
864,14.59,0.09,18.43
868,13.70,0.06,19.26
873,12.67,-0.40,19.47
878,11.72,-0.29,19.53
883,11.35,-0.04,19.54
886,10.45,0.34,19.54
891,9.87,1.23,19.54
896,9.28,2.13,19.54
901,8.68,2.38,19.54
905,7.74,2.39,19.54
910,7.22,2.32,19.54
915,6.98,2.43,19.54
920,6.53,3.15,19.54
924,6.36,3.59,19.54
928,6.22,4.13,19.54
933,5.95,4.37,19.54
938,5.62,4.58,19.54
942,5.50,4.65,19.54
947,5.35,4.43,19.54
952,5.67,3.86,19.54
957,5.91,3.02,19.54
961,6.09,2.34,19.54
966,6.11,1.53,19.21
970,6.21,1.30,18.68
975,6.05,0.79,17.35
980,5.95,0.07,16.43
984,5.77,-0.36,15.29
989,5.64,-0.46,14.85
994,5.73,-0.57,14.62
999,5.45,-0.42,14.07
1003,5.24,-0.25,14.20
1008,5.22,-0.19,14.26
1012,5.12,-0.24,14.27
1016,4.68,-0.16,14.85
1021,4.69,-0.13,15.36
1026,4.42,-0.17,15.73
1031,3.91,0.20,16.90
1036,3.73,0.29,17.84
1040,3.58,-0.01,18.69
1045,3.30,-0.13,19.23
1050,3.30,0.14,19.46
1054,3.58,0.42,19.52
1058,3.40,0.56,19.53
1063,3.57,0.76,19.54
1068,3.67,0.87,19.54
1073,3.52,0.94,19.54
1077,3.85,1.18,19.54
1082,3.88,1.31,19.54
1087,3.82,1.63,19.46
1092,4.03,1.44,19.44
1095,4.72,1.58,19.50
1100,4.49,1.56,19.51
1105,4.88,1.39,19.48
1110,4.63,1.03,19.43
1114,4.62,0.29,19.24
1119,4.48,-0.33,19.15
1124,4.44,-0.93,19.30
1129,4.34,-1.62,19.22
1133,4.70,-2.19,19.06
1137,4.46,-2.54,18.55
1142,4.65,-2.82,18.52
1147,4.24,-3.23,18.39
1152,4.24,-3.71,18.44
1156,4.34,-4.16,18.26
1161,4.35,-4.53,18.20
1166,3.80,-4.83,18.15
1171,3.25,-4.97,18.45
1175,3.04,-5.03,18.71
1179,3.67,-4.93,18.64
1184,3.55,-5.21,18.42
1189,2.97,-4.90,18.50
1193,3.62,-5.20,18.36
1198,3.80,-5.19,17.97
1203,3.69,-5.52,17.22
1208,3.26,-5.88,16.09
1212,3.41,-6.49,15.24
1217,3.02,-7.33,14.21
1221,3.57,-7.72,13.67
1226,3.92,-8.47,13.01
1231,4.11,-9.18,11.62
1235,4.21,-10.08,10.44
1240,4.43,-10.21,8.26
1245,4.08,-10.29,6.89
1249,3.85,-10.17,5.91
1254,3.42,-10.15,4.96
1259,2.98,-9.84,4.39
1263,2.70,-9.69,3.03
1267,2.21,-9.35,1.93
1272,1.64,-9.34,0.93
1277,1.25,-8.99,0.37
1282,1.26,-8.59,-0.08
1286,0.58,-7.95,-0.93
1291,0.11,-7.34,-0.93
1296,-0.23,-6.58,-0.65
1301,-0.24,-6.13,-1.19
1304,-0.65,-5.77,-1.45
1309,-0.98,-5.35,-1.05
1314,-1.04,-4.99,-1.71
1319,-1.05,-4.61,-1.58
1323,-1.41,-4.74,-1.50
1328,-1.36,-4.77,-1.93
1333,-1.44,-4.76,-2.12
1338,-1.46,-4.84,-2.07
1342,-1.50,-4.90,-1.81
1346,-1.33,-5.35,-1.87
1351,-1.50,-5.72,-2.03
1356,-1.32,-6.10,-2.71
1360,-1.00,-6.66,-3.03
1365,-1.13,-7.12,-3.28
1370,-1.09,-7.32,-3.28
1374,-0.83,-7.80,-3.52
1379,-0.57,-8.01,-3.83
1384,-0.63,-8.16,-3.82
1388,-0.34,-8.39,-3.57
1392,0.12,-8.33,-3.56
