timestamp,accX,accY,accZ
0,3.11,0.10,7.13
91,3.23,0.32,7.07
95,3.53,0.43,7.28
100,3.89,0.57,7.16
104,4.08,0.80,7.09
109,4.65,0.87,7.22
113,5.20,1.22,7.55
118,5.38,1.74,7.86
123,5.60,2.05,8.26
127,5.92,2.61,8.60
132,6.28,3.05,8.99
137,6.66,3.57,9.98
142,7.02,3.67,11.02
145,7.31,4.21,11.52
150,7.43,4.74,12.55
155,7.64,5.23,13.47
160,8.09,6.04,13.91
164,8.43,6.60,14.45
169,8.60,6.87,14.94
174,8.78,7.34,15.67
179,8.78,7.75,16.38
183,8.79,7.61,17.24
187,8.80,7.88,18.04
192,9.07,7.75,18.92
197,9.03,7.96,19.06
201,9.07,8.37,19.39
206,8.99,8.69,19.50
211,9.37,9.33,19.53
216,9.54,10.14,19.54
220,9.60,11.04,19.54
225,9.68,11.83,19.54
229,9.76,12.53,19.54
234,9.62,13.16,19.54
238,10.08,13.79,19.54
243,10.07,13.77,19.54
248,10.14,14.00,19.54
253,10.48,13.77,19.54
258,10.54,13.32,19.54
262,10.88,12.38,19.54
267,11.26,11.42,19.54
271,11.47,10.27,19.54
276,11.90,9.17,19.47
281,12.16,8.60,19.46
285,12.40,7.53,18.97
290,12.50,6.63,18.52
295,12.58,5.36,17.80
300,12.68,4.44,17.31
304,13.01,3.76,17.20
309,12.35,2.78,16.71
313,11.81,2.39,16.43
318,11.47,1.69,17.08
323,11.19,1.15,17.47
327,11.04,1.12,17.31
332,10.45,0.54,17.37
337,10.69,0.02,17.08
341,10.57,-0.50,17.58
346,10.80,-0.63,17.91
351,11.04,-0.76,18.17
355,11.12,-0.95,18.06
360,11.01,-1.21,17.95
364,11.08,-1.91,17.32
369,11.17,-2.66,16.84
374,10.77,-3.86,15.87
379,10.41,-5.32,14.66
383,9.98,-6.07,12.74
388,9.69,-7.29,11.00
392,9.44,-8.57,8.73
397,9.11,-9.63,6.87
401,8.43,-10.47,5.66
406,7.52,-10.68,3.98
411,6.71,-10.06,2.78
416,5.80,-9.61,1.55
420,5.14,-8.47,0.46
425,4.96,-7.43,-0.51
430,4.15,-6.65,-0.90
434,3.71,-5.58,-1.47
438,3.16,-4.80,-1.67
443,2.70,-3.98,-2.39
448,2.34,-3.44,-2.45
453,1.82,-2.83,-2.80
457,1.47,-2.51,-3.07
462,1.17,-1.93,-3.69
467,0.80,-1.66,-3.94
472,0.38,-1.28,-3.90
476,0.03,-1.29,-4.22
480,-0.46,-1.36,-4.57
485,-0.72,-1.60,-5.00
490,-1.01,-1.84,-4.66
494,-1.14,-1.95,-4.61
499,-1.30,-2.16,-4.43
504,-1.52,-2.39,-4.44
508,-1.91,-2.26,-4.60
513,-2.20,-2.30,-4.53
517,-2.44,-2.25,-4.31
522,-2.52,-2.19,-4.19
526,-2.84,-2.03,-3.98
531,-2.82,-2.15,-4.01
536,-3.03,-2.10,-4.11
541,-3.15,-2.12,-4.44
545,-3.43,-2.22,-4.08
550,-3.40,-2.21,-3.78
555,-3.28,-2.28,-4.03
559,-3.23,-2.30,-4.11
563,-3.40,-2.46,-4.25
568,-3.37,-2.54,-3.99
573,-3.30,-2.49,-3.76
577,-3.15,-2.36,-3.83
582,-3.20,-2.25,-3.46
587,-3.05,-1.98,-3.15
592,-2.87,-1.62,-2.68
596,-2.80,-1.33,-2.87
601,-2.43,-0.92,-3.02
605,-2.50,-0.70,-3.06
609,-2.43,-0.31,-3.00
614,-2.21,0.07,-3.07
619,-2.34,0.50,-3.49
624,-2.23,0.75,-3.56
628,-2.17,1.38,-3.94
633,-1.78,1.66,-4.11
638,-1.72,1.95,-4.41
642,-1.47,2.30,-4.56
646,-1.42,2.57,-5.08
651,-1.48,2.64,-5.36
656,-1.21,2.71,-5.24
660,-0.73,2.66,-5.72
665,-0.65,2.55,-5.19
670,-0.22,2.61,-5.57
675,-0.06,2.56,-5.58
679,0.28,2.35,-5.63
684,0.75,2.11,-5.78
688,1.12,1.70,-5.63
692,1.47,1.61,-5.85
