timestamp,accX,accY,accZ
0,6.81,-1.10,13.05
91,7.14,-0.89,14.54
95,7.33,-0.46,15.82
100,7.48,0.20,16.73
105,7.97,0.82,18.06
110,8.18,1.48,18.65
113,8.25,2.16,19.21
118,8.40,2.45,19.45
123,8.76,3.24,19.52
127,8.75,3.58,19.54
132,8.82,4.16,19.54
137,9.44,4.60,19.54
142,9.67,5.10,19.54
147,9.85,5.57,19.54
151,9.96,5.81,19.54
155,10.24,6.22,19.54
160,10.53,6.23,19.54
164,10.81,5.96,19.54
169,11.39,5.52,19.54
174,11.65,5.02,19.54
179,11.98,4.19,19.54
184,12.06,3.92,19.54
188,12.22,3.25,19.54
193,12.51,2.85,19.54
197,12.62,2.53,19.44
202,12.50,2.48,19.35
206,12.40,2.09,19.36
211,12.39,1.80,19.24
216,12.47,1.19,19.19
221,12.40,0.70,18.95
225,12.14,0.08,19.03
230,12.04,-0.62,19.01
235,11.79,-1.40,19.04
239,11.57,-2.17,18.89
243,11.50,-2.85,18.90
248,11.33,-3.43,19.05
253,11.30,-3.80,18.69
258,11.01,-4.32,18.22
263,10.85,-4.77,17.85
267,10.72,-5.23,17.08
272,10.52,-5.63,16.31
277,10.05,-5.99,15.99
281,10.08,-6.51,14.98
285,9.33,-6.28,14.08
290,9.46,-3.38,13.07
295,9.58,-2.83,10.42
300,9.68,-3.83,7.61
304,9.08,-8.22,4.85
309,8.61,-10.96,4.58
314,7.27,-9.54,5.68
318,5.86,-8.09,7.35
322,5.26,-6.53,7.89
327,4.94,-6.39,6.73
332,4.85,-7.37,5.14
336,4.35,-9.31,4.09
341,3.88,-10.07,2.69
346,2.75,-9.82,2.42
351,1.61,-9.63,2.62
355,1.25,-8.52,3.72
360,1.18,-6.64,4.89
364,1.25,-4.72,4.77
368,1.24,-3.09,4.69
373,1.09,-2.72,3.23
378,1.01,-2.78,1.35
383,0.66,-2.69,-0.37
387,0.11,-2.06,-0.62
392,-0.02,-1.47,-1.01
397,-0.25,-1.57,-1.14
401,-0.51,-2.07,-1.60
405,-0.58,-1.98,-2.19
410,-0.80,-1.93,-2.13
415,-1.18,-1.63,-2.34
419,-1.33,-1.28,-2.52
424,-1.79,-0.91,-2.68
429,-1.90,-0.89,-2.51
433,-2.15,-0.89,-2.71
438,-2.43,-1.22,-2.98
443,-2.51,-1.74,-2.74
447,-2.90,-2.42,-3.00
451,-2.96,-2.86,-2.52
456,-3.13,-3.50,-2.25
461,-3.23,-3.31,-1.96
466,-3.38,-3.03,-1.60
470,-3.78,-2.69,-1.23
475,-3.79,-2.37,-1.30
480,-3.93,-2.06,-1.25
485,-3.72,-1.63,-0.71
488,-3.81,-1.11,-0.54
493,-3.78,-0.71,-0.40
498,-3.56,-0.24,-0.48
503,-3.58,-0.03,-0.18
507,-3.74,0.32,0.02
512,-3.61,1.02,0.21
517,-3.40,1.58,-0.24
521,-3.42,1.71,-0.16
526,-3.33,1.73,-0.75
530,-3.36,1.39,-1.20
535,-3.14,1.40,-1.24
539,-2.87,1.60,-1.61
544,-3.12,1.80,-1.66
549,-2.98,2.20,-1.94
554,-2.79,2.60,-2.17
558,-2.57,3.30,-2.83
563,-2.39,3.88,-3.14
568,-2.36,4.26,-3.38
572,-2.14,4.98,-4.01
576,-2.14,5.45,-3.93
581,-2.06,5.97,-3.64
586,-2.08,6.00,-3.56
590,-2.19,6.03,-3.42
595,-2.06,6.29,-3.82
600,-1.85,6.45,-3.77
605,-1.84,6.48,-4.20
609,-1.72,6.20,-4.57
613,-1.76,6.04,-4.54
618,-1.49,5.69,-4.91
622,-1.25,5.34,-4.87
627,-0.79,5.03,-4.51
632,-0.34,4.56,-3.92
637,-0.14,3.94,-3.51
641,0.41,3.66,-3.43
646,0.62,3.27,-3.45
651,1.34,3.08,-2.97
655,1.63,3.13,-2.65
659,1.76,3.26,-2.30
664,1.90,3.55,-2.01
669,1.93,3.88,-2.31
673,2.29,4.00,-2.49
678,2.54,4.37,-2.62
683,3.01,5.20,-2.35
688,3.06,5.29,-1.81
692,3.45,5.86,-1.59
696,4.04,6.20,-2.00
701,4.27,6.27,-2.17
706,4.60,6.42,-2.41
710,4.82,6.27,-2.59
715,5.02,5.48,-2.45
720,5.67,5.35,-1.77
724,6.21,4.45,-1.59
729,6.58,3.57,-1.17
734,7.05,2.71,-0.09
738,7.40,1.99,0.44
742,7.39,0.94,1.28
747,7.52,0.20,1.79
752,8.15,-0.26,2.52
757,8.33,-1.67,2.75
761,8.64,-3.15,4.51
766,8.99,-3.55,5.91
771,9.86,-4.13,8.03
776,10.45,-4.16,9.12
779,10.82,-4.04,11.41
784,11.38,-3.74,13.43
789,11.52,-3.94,14.99
794,11.49,-4.00,15.79
