timestamp,accX,accY,accZ
0,6.20,-1.52,9.31
91,6.70,-1.48,9.67
95,6.92,-1.58,10.10
100,7.42,-1.45,10.62
105,7.79,-1.40,11.27
110,8.36,-1.25,11.74
114,8.67,-1.07,12.31
119,8.68,-1.12,12.51
123,9.23,-1.13,12.62
128,9.23,-1.10,13.13
132,9.26,-0.94,13.37
137,9.62,-0.62,14.26
142,9.66,-0.65,14.91
147,9.52,-0.37,15.46
151,9.42,-0.02,15.87
156,9.56,0.51,16.73
161,9.44,1.04,16.70
164,9.49,1.42,17.63
169,9.62,1.77,17.99
174,9.76,1.91,18.61
179,9.85,2.12,19.00
183,9.76,2.21,19.11
188,9.84,2.52,19.30
193,10.08,2.62,19.35
197,10.22,2.98,19.29
202,10.30,3.21,19.31
206,10.50,3.48,19.32
211,10.68,3.58,19.32
216,10.70,3.66,19.38
220,10.55,3.50,19.36
225,10.81,3.32,19.39
230,10.96,3.24,19.35
235,11.15,3.45,19.46
239,11.45,3.66,19.35
244,11.49,4.38,19.29
248,11.59,5.06,18.82
253,11.63,5.61,18.47
257,11.68,6.03,18.12
262,11.78,6.05,17.82
267,11.88,5.96,17.09
272,11.75,6.10,17.02
276,12.05,6.18,16.96
281,12.03,6.29,16.59
286,12.18,6.30,16.28
290,12.21,6.49,16.46
294,12.28,6.55,16.56
299,12.46,6.64,16.68
304,12.46,6.43,16.40
309,12.56,6.24,16.97
314,12.40,5.74,16.84
318,12.38,5.06,17.09
323,12.55,4.21,17.16
328,12.70,3.17,16.79
332,12.44,1.92,16.74
336,12.11,0.56,16.47
341,11.96,-0.19,15.55
346,11.75,-1.66,15.12
351,11.53,-2.77,14.42
355,11.31,-3.52,13.59
360,10.80,-4.00,12.70
365,10.31,-4.33,12.31
369,9.81,-4.08,11.15
373,9.40,-2.18,9.78
378,9.14,-4.53,9.30
383,8.35,-4.15,8.13
388,8.22,-3.75,7.57
392,7.36,-3.07,7.09
397,7.05,-3.05,6.92
402,6.73,-3.77,5.85
407,6.26,-4.27,5.12
411,5.52,-4.61,4.81
415,5.14,-4.70,5.21
420,4.54,-4.30,5.45
424,4.39,-3.77,5.51
429,4.05,-2.66,5.15
434,3.60,-1.70,4.73
439,3.43,-1.77,3.48
443,3.56,-0.92,2.20
448,3.43,0.01,0.57
453,3.84,-1.20,-1.28
456,3.43,-1.09,-1.86
461,2.87,-0.60,-2.86
466,2.19,-0.75,-3.36
471,1.74,-0.83,-3.99
475,1.58,-0.39,-4.06
480,1.16,0.38,-4.25
485,0.80,0.77,-3.96
490,0.36,0.76,-3.85
