timestamp,accX,accY,accZ
0,4.72,-1.45,7.34
90,5.08,-1.28,7.74
94,5.38,-1.14,7.66
99,5.62,-1.04,7.63
104,5.93,-1.02,7.67
109,6.42,-0.80,7.78
113,6.73,-0.43,7.49
118,7.05,-0.13,7.78
123,7.51,0.24,7.71
127,7.83,0.44,8.06
131,7.97,0.47,8.33
136,8.54,0.58,8.62
141,8.93,0.81,9.27
145,9.21,1.10,9.76
150,9.76,1.35,10.47
155,10.05,1.62,11.00
160,10.17,1.85,11.87
164,10.25,1.89,13.13
169,10.53,1.87,14.68
173,10.57,1.78,16.59
178,10.49,1.84,18.18
182,10.57,1.67,19.21
187,10.33,1.89,19.53
192,10.34,2.27,19.50
197,10.23,2.76,19.53
202,10.24,3.11,19.54
206,10.22,3.69,19.54
211,10.29,4.24,19.54
215,10.29,4.54,19.54
220,10.58,4.54,19.54
224,11.20,4.29,19.54
229,11.49,4.23,19.54
234,11.98,4.40,19.54
239,12.53,4.56,19.54
244,13.15,4.87,19.54
248,13.69,4.99,19.54
253,14.28,4.75,19.54
257,14.67,4.26,19.54
261,15.01,3.81,19.54
266,15.27,3.08,19.54
271,15.43,2.85,19.54
276,15.19,1.90,19.54
280,15.26,0.59,19.44
285,15.07,-0.72,19.45
290,15.14,-2.26,19.40
295,15.05,-3.60,19.25
298,15.03,-4.89,18.94
303,15.08,-5.62,18.63
308,14.82,-6.75,18.43
313,14.34,-7.88,18.15
318,14.28,-8.75,18.40
323,13.96,-9.48,18.39
327,13.73,-9.94,18.12
332,13.77,-10.04,18.33
336,13.87,-10.29,18.35
341,13.72,-10.23,18.18
345,13.60,-10.15,17.97
350,13.51,-9.76,16.91
355,13.22,-9.39,15.40
360,12.70,-9.30,13.79
364,12.06,-9.67,13.07
369,11.74,-8.06,11.60
374,11.17,-11.17,8.44
378,10.37,-11.21,5.93
382,9.54,-11.01,4.43
387,9.28,-10.97,2.70
392,8.54,-11.05,0.67
397,7.40,-11.29,-0.31
402,6.34,-11.09,-1.83
406,5.26,-10.57,-2.31
411,4.02,-9.93,-3.13
416,3.16,-8.81,-3.59
420,2.85,-7.40,-4.26
424,2.17,-5.50,-5.35
429,1.52,-4.67,-5.76
434,1.02,-2.41,-6.94
438,0.95,-1.24,-7.91
443,0.94,-0.69,-9.05
448,0.03,-1.51,-9.88
453,-0.69,-2.78,-10.59
457,-1.97,-3.94,-10.13
461,-2.41,-3.93,-9.67
466,-2.44,-3.00,-8.37
471,-2.47,-2.29,-6.78
475,-2.80,-1.41,-5.78
480,-2.83,-0.57,-5.60
485,-3.05,0.00,-5.86
489,-3.07,0.51,-6.27
494,-2.95,0.56,-6.42
499,-3.24,0.45,-6.31
503,-3.38,0.15,-5.95
507,-3.57,-0.09,-5.16
512,-3.70,-0.35,-4.13
517,-3.71,-0.62,-3.47
521,-3.69,-0.51,-3.10
526,-3.56,-0.51,-2.30
531,-3.75,-0.55,-1.93
536,-3.86,-0.41,-1.48
540,-3.74,-0.07,-0.99
545,-3.69,-0.06,-0.91
549,-3.76,-0.02,-0.68
554,-3.79,0.71,-0.51
558,-3.64,0.97,-0.30
563,-3.74,0.89,-0.17
568,-3.74,0.91,-0.12
572,-3.54,0.90,-0.65
577,-3.49,0.93,-0.36
582,-3.43,1.10,-0.43
586,-3.43,1.22,-0.22
590,-2.96,1.30,-0.70
595,-3.09,1.43,-0.99
600,-2.96,1.72,-1.13
604,-2.84,1.80,-1.60
609,-2.58,2.20,-2.23
614,-2.36,2.42,-2.39
619,-2.36,2.71,-3.26
623,-2.15,2.77,-3.81
628,-1.89,2.81,-4.45
632,-1.66,2.77,-5.08
637,-1.77,2.69,-5.48
641,-1.44,2.58,-5.72
646,-1.38,2.39,-6.12
651,-1.24,2.38,-5.97
655,-0.74,2.33,-6.05
660,-0.37,2.39,-6.17
665,0.30,2.47,-5.83
670,0.41,2.29,-5.86
674,0.87,2.15,-5.56
678,1.47,2.01,-5.45
683,1.78,1.66,-5.30
688,2.43,1.50,-5.18
692,3.02,1.03,-4.94
697,3.53,1.06,-4.73
702,4.27,0.76,-4.22
707,4.91,0.63,-4.16
711,5.54,0.33,-3.98
715,6.32,0.12,-3.98
720,6.80,-0.01,-3.58
725,7.51,-0.55,-3.27
729,7.88,-1.25,-2.63
734,8.50,-2.15,-2.12
739,8.95,-2.85,-1.70
743,9.40,-3.05,-0.75
748,9.78,-3.28,0.35
753,10.32,-3.46,1.71
757,10.70,-3.76,2.32
761,10.91,-4.09,3.80
766,11.66,-4.27,5.44
771,11.73,-4.63,6.58
776,11.88,-4.76,8.48
780,11.54,-4.67,10.90
785,11.05,-4.84,12.91
790,10.50,-4.69,15.57
795,10.02,-4.31,17.42
