timestamp,accX,accY,accZ
0,9.06,4.87,17.48
90,9.08,6.43,18.82
94,8.98,8.24,19.14
99,8.91,9.34,19.45
104,8.83,10.08,19.52
109,8.80,10.23,19.54
113,8.75,10.30,19.54
118,8.59,9.79,19.54
123,8.64,8.76,19.54
128,8.64,7.21,19.54
131,8.69,5.64,19.54
136,8.76,4.33,19.54
141,8.92,3.62,19.54
146,9.21,2.81,19.54
150,9.37,2.39,19.54
155,9.45,2.40,19.52
160,9.49,2.38,19.48
165,9.58,2.38,19.29
169,9.94,2.03,19.11
173,10.03,1.71,18.68
178,10.36,1.02,18.48
183,10.56,0.34,18.48
187,10.59,-0.45,18.68
192,10.61,-0.81,18.83
197,10.52,-0.73,18.73
202,10.47,-0.55,18.99
207,10.52,-0.10,19.04
211,10.02,0.09,19.04
215,9.89,0.41,18.89
220,9.56,0.84,18.87
225,9.60,1.10,19.01
229,9.10,1.33,19.06
234,8.99,1.48,19.04
239,8.73,1.72,18.90
244,8.45,1.65,18.88
248,8.35,1.71,18.62
253,8.40,1.63,18.53
257,8.66,1.61,18.47
262,8.78,1.66,18.56
266,9.14,1.57,18.54
271,9.17,1.25,18.20
276,9.58,1.08,18.16
281,9.87,0.57,18.09
285,9.87,-0.16,17.62
290,9.74,-1.16,16.57
295,9.31,-2.37,16.76
298,9.33,-3.66,16.23
303,9.38,-4.69,15.41
308,8.98,-5.26,14.83
313,8.57,-6.19,13.85
317,8.38,-7.25,12.37
322,7.81,-7.76,11.33
327,7.49,-8.03,10.52
332,6.93,-7.91,9.45
336,6.56,-6.26,8.90
340,5.97,-5.98,7.80
345,5.40,-5.93,7.38
350,5.14,-4.75,6.72
354,4.96,-4.33,6.22
359,4.58,-3.83,5.68
364,4.26,-3.80,4.85
369,3.59,-4.16,4.35
373,3.30,-4.22,3.98
378,3.07,-3.98,3.62
382,2.92,-2.89,3.46
386,2.66,-2.43,2.84
391,2.16,-1.73,2.14
396,1.85,-2.80,0.95
401,1.75,-2.61,-0.77
405,1.49,-4.02,-1.85
410,1.16,-4.26,-2.08
415,0.43,-3.84,-2.07
419,-0.19,-4.22,-2.42
423,-0.68,-6.57,-3.43
428,-1.44,-6.71,-3.17
433,-2.25,-5.95,-1.94
437,-2.46,-4.09,-0.17
442,-2.64,-2.80,0.85
447,-2.17,-2.28,0.71
451,-2.25,-2.43,0.46
456,-2.53,-2.43,0.28
461,-3.01,-2.37,0.51
465,-3.42,-2.16,0.62
469,-3.62,-2.28,0.88
474,-3.53,-2.43,1.25
479,-3.37,-2.24,1.38
484,-3.32,-2.02,1.24
488,-3.49,-1.33,1.22
493,-3.52,-0.92,1.51
498,-3.53,0.08,1.38
503,-3.56,0.18,1.03
506,-3.39,0.02,0.56
511,-3.27,0.43,0.43
516,-3.15,1.30,0.22
520,-3.13,2.20,0.08
525,-3.17,2.52,-0.01
530,-3.20,3.01,-0.26
535,-3.25,3.49,-0.24
539,-3.33,3.93,-0.28
544,-3.08,4.08,-0.11
548,-3.03,4.33,-0.34
553,-3.10,4.23,-0.55
557,-2.90,4.00,-0.98
562,-2.95,3.75,-1.34
567,-2.97,3.36,-1.74
571,-2.98,3.33,-2.09
576,-3.26,3.45,-2.46
581,-3.27,3.41,-2.65
586,-3.30,3.43,-3.21
589,-3.20,3.67,-3.62
594,-3.22,3.86,-4.21
599,-3.15,4.05,-4.65
604,-3.28,4.31,-4.49
608,-3.28,4.53,-4.50
613,-3.26,4.73,-5.09
618,-3.30,4.78,-5.30
622,-3.17,4.88,-5.66
627,-2.98,4.84,-5.41
631,-2.68,4.97,-5.88
636,-2.63,5.30,-5.78
640,-2.28,5.62,-5.87
645,-2.05,5.86,-5.83
650,-1.72,6.04,-5.64
654,-1.39,5.92,-6.24
659,-1.22,5.88,-6.26
664,-1.11,5.59,-6.25
669,-0.95,4.96,-6.21
672,-0.73,4.59,-6.62
677,-0.34,4.20,-6.31
682,0.06,3.64,-6.78
686,0.21,3.08,-6.71
