timestamp,accX,accY,accZ
0,5.18,-2.52,3.17
91,2.24,-3.06,3.66
95,2.48,-3.70,4.00
99,2.52,-4.27,4.37
104,2.87,-3.89,4.90
109,3.34,-3.56,5.63
113,4.01,-3.22,6.52
118,4.77,-2.51,7.48
123,5.62,-1.63,9.17
127,5.98,-0.26,11.24
132,6.50,0.93,12.00
137,6.88,2.56,12.26
141,7.05,4.27,12.48
145,7.40,5.46,12.74
150,7.48,7.77,12.93
155,7.23,10.24,13.65
160,7.06,12.73,14.44
165,7.53,13.69,15.59
169,7.39,14.72,16.26
174,6.96,16.80,17.30
179,6.26,17.94,17.73
183,5.66,17.77,17.67
187,5.41,17.31,17.72
192,5.05,16.65,16.73
197,5.89,16.68,16.86
202,7.17,17.15,16.97
206,8.02,16.89,17.25
211,8.08,16.92,18.05
216,8.10,16.62,18.72
221,8.38,16.41,18.13
225,8.77,15.47,18.59
229,8.87,14.28,18.24
234,8.87,13.22,17.48
239,8.24,11.77,16.99
244,8.04,10.13,16.69
248,7.85,8.42,16.18
253,8.18,7.63,15.43
258,8.20,6.02,15.09
263,8.05,4.85,14.68
266,7.98,4.25,14.40
271,7.95,3.26,13.13
276,8.48,0.96,12.12
281,9.02,0.54,11.05
285,8.90,0.60,10.74
290,9.35,1.43,10.53
295,9.29,2.39,10.88
300,9.17,3.32,11.18
304,8.85,3.82,11.41
308,8.17,4.33,11.78
313,8.02,4.89,12.56
317,8.07,5.27,13.30
322,7.66,5.78,14.11
327,7.72,6.54,14.84
332,7.63,7.67,14.99
336,7.44,9.20,15.01
341,7.13,11.00,15.41
346,6.82,13.00,15.78
350,7.17,14.20,16.27
355,7.66,16.50,16.88
359,7.91,18.19,16.49
364,7.73,18.86,16.28
369,8.24,19.38,16.27
373,8.62,19.50,15.60
378,9.06,19.52,15.41
383,8.99,19.54,15.34
388,9.26,19.54,15.39
391,9.43,19.53,15.87
396,9.32,18.63,16.77
401,9.57,17.01,17.61
406,10.06,14.94,18.19
410,10.60,12.91,18.99
415,10.98,11.72,19.38
420,11.54,9.70,19.49
425,11.99,7.59,19.53
430,11.93,5.55,19.54
433,11.72,3.25,19.54
438,11.06,1.15,19.54
443,10.24,-0.46,19.54
448,9.60,-1.08,19.53
452,9.16,-1.71,19.46
457,8.87,-1.65,19.50
462,8.06,-0.60,19.33
