timestamp,accX,accY,accZ
0,6.54,-1.29,5.09
91,4.46,-1.05,5.01
94,4.66,-0.59,5.00
99,5.05,-0.40,4.97
104,5.24,-0.10,5.09
108,5.77,0.24,5.40
113,6.27,0.57,6.03
118,6.71,0.90,6.94
123,7.28,1.36,7.68
127,7.46,1.77,8.73
132,7.89,2.34,9.60
136,8.38,3.04,10.54
141,8.76,3.94,11.81
145,8.90,4.45,13.22
150,9.11,5.51,14.75
155,9.24,6.82,16.19
159,9.34,8.16,17.57
164,9.48,9.66,18.76
169,9.65,11.46,19.15
174,9.54,13.23,19.45
178,9.64,14.12,19.52
182,9.42,15.89,19.54
187,9.45,17.51,19.54
192,9.17,18.79,19.54
197,8.94,19.35,19.54
201,9.01,19.49,19.54
206,9.63,19.53,19.54
211,10.23,19.52,19.54
216,10.46,19.41,19.54
219,10.72,18.72,19.54
224,10.81,17.62,19.54
229,11.17,16.30,19.54
234,11.88,15.09,19.54
238,12.39,13.57,19.54
243,12.72,11.95,19.54
248,13.24,11.01,19.54
253,13.21,8.94,19.49
257,13.12,7.02,19.43
261,13.24,5.28,19.42
266,12.48,3.61,19.46
271,12.50,2.34,19.23
275,12.05,1.23,19.24
280,11.59,0.82,19.29
285,11.49,0.32,19.48
290,11.40,-0.03,19.53
295,11.37,0.03,19.54
299,11.51,0.01,19.54
303,11.78,-0.26,19.54
308,12.18,-0.85,19.53
313,12.39,-1.61,19.54
317,12.52,-2.06,18.91
322,12.35,-3.28,17.71
327,12.10,-4.67,15.99
332,11.51,-5.91,13.90
336,11.51,-6.30,12.78
341,11.65,-3.97,11.12
345,10.16,-5.26,9.15
350,10.26,-5.08,7.51
354,10.46,-4.89,5.51
359,9.54,-8.54,4.02
364,6.33,-8.34,4.28
369,6.67,-8.23,5.24
373,6.28,-8.25,5.46
378,5.25,-8.17,5.08
383,4.55,-7.83,5.18
387,4.13,-7.46,4.67
391,3.63,-7.18,4.24
396,2.92,-6.00,4.26
401,2.72,-4.89,3.49
406,2.22,-5.54,3.09
410,1.52,-5.80,2.51
415,1.18,-5.56,2.39
420,0.84,-4.76,2.39
425,0.75,-3.93,1.74
428,0.46,-3.49,0.71
433,0.13,-3.59,0.30
438,0.07,-3.77,-0.73
442,-0.13,-3.73,-1.68
447,-0.26,-3.17,-2.36
452,-0.60,-2.22,-3.19
457,-0.86,-1.13,-3.13
461,-1.07,-0.07,-3.21
466,-1.21,0.84,-3.07
470,-1.27,1.49,-3.04
475,-1.38,2.00,-2.85
479,-1.86,2.57,-2.75
484,-2.12,3.03,-2.55
489,-2.14,3.22,-2.13
493,-2.26,3.06,-1.98
498,-2.40,2.64,-1.73
503,-2.43,2.23,-2.25
508,-2.66,2.13,-2.25
511,-2.85,1.81,-2.62
