timestamp,accX,accY,accZ
0,8.65,5.19,19.16
90,8.93,6.41,19.45
94,8.51,7.56,19.52
99,8.31,9.00,19.54
104,8.15,10.58,19.54
109,8.57,12.63,19.54
113,8.62,14.59,19.54
118,8.80,16.40,19.54
123,9.06,17.10,19.54
128,8.66,17.59,19.54
131,9.22,17.51,19.54
136,10.38,17.01,19.54
141,11.69,15.99,19.54
146,12.17,14.47,19.54
151,12.95,12.55,19.54
155,13.36,11.38,19.54
160,13.82,9.19,19.54
165,14.14,6.66,19.54
170,14.21,4.61,19.42
174,14.11,2.55,19.30
178,13.99,0.96,19.43
183,13.62,-0.39,19.40
188,13.63,-1.93,19.47
193,13.35,-2.68,19.53
197,13.67,-3.82,19.54
202,13.73,-5.28,19.54
207,13.79,-6.82,19.54
212,13.98,-8.20,19.54
215,13.81,-9.33,19.54
220,13.34,-10.12,19.52
225,13.00,-10.62,19.36
230,12.69,-11.41,18.75
234,12.55,-12.30,17.12
239,12.15,-12.75,14.61
244,11.52,-12.58,13.36
248,11.15,-12.28,11.01
253,10.53,-11.38,8.99
257,9.67,-10.84,6.71
262,9.11,-7.38,4.86
266,8.39,-8.93,2.05
271,6.95,-7.70,0.04
276,5.92,-6.73,-1.23
281,5.26,-5.34,-1.54
285,4.39,-4.92,-2.67
290,3.23,-4.93,-4.20
295,1.96,-5.10,-4.67
299,1.33,-5.05,-4.06
303,0.33,-4.76,-2.50
308,-0.47,-4.37,-1.45
313,-0.81,-3.80,0.29
318,-1.12,-3.20,1.88
322,-1.31,-2.20,2.62
327,-1.38,-1.62,2.80
332,-1.36,-1.24,2.84
336,-1.41,-0.81,2.42
340,-1.32,-0.70,2.09
345,-1.42,-0.86,1.43
350,-1.60,-1.04,1.12
354,-1.80,-0.90,0.85
359,-1.86,-0.89,0.63
364,-2.02,-1.17,0.24
369,-1.97,-1.60,-0.32
373,-1.91,-1.39,-0.61
378,-2.11,-1.04,-0.97
382,-2.39,-1.03,-1.49
386,-2.43,-1.25,-1.88
391,-2.40,-1.33,-2.80
396,-2.53,-1.27,-3.53
400,-2.90,-1.11,-3.74
405,-3.07,-1.19,-3.73
410,-2.95,-1.28,-4.12
414,-2.96,-1.36,-4.36
419,-3.05,-1.46,-4.57
423,-3.29,-1.60,-4.72
428,-3.17,-1.45,-4.95
432,-3.04,-1.16,-5.13
437,-2.98,-0.52,-5.21
442,-3.32,-0.34,-5.38
447,-3.06,0.48,-6.13
451,-3.05,1.31,-6.37
456,-3.03,2.10,-7.03
461,-3.21,2.99,-7.24
464,-3.12,3.71,-7.46
469,-3.24,3.82,-7.54
474,-3.26,4.21,-7.55
479,-2.94,4.57,-7.48
484,-2.85,4.85,-7.19
488,-2.40,5.06,-6.94
493,-2.28,5.12,-7.02
498,-2.16,5.22,-6.95
502,-1.70,5.23,-7.63
506,-1.64,5.17,-7.43
511,-1.41,5.29,-7.17
516,-1.19,5.21,-7.14
520,-0.69,5.33,-7.30
525,-0.24,5.73,-7.59
530,0.15,6.32,-7.69
535,0.70,6.61,-7.99
539,1.25,7.24,-8.55
544,1.38,8.05,-8.40
548,1.59,8.57,-8.61
552,1.59,8.83,-8.57
557,2.13,9.07,-8.55
562,2.59,8.60,-8.49
567,2.96,8.30,-9.06
571,3.33,7.31,-9.18
576,3.60,6.17,-9.53
581,4.53,5.25,-9.62
585,5.43,4.51,-9.63
589,6.40,3.78,-9.37
594,7.67,3.26,-8.84
599,8.60,0.75,-5.64
603,9.30,-2.62,-3.97
608,9.29,-4.52,-3.34
613,9.11,-5.38,-3.71
617,9.08,-5.81,-3.02
622,9.49,-5.72,-2.21
627,9.80,-5.76,-2.37
631,10.42,-5.48,-1.69
635,10.86,-5.32,-1.13
640,11.50,-6.29,-0.51
645,11.57,-6.02,-0.11
650,12.81,-5.84,1.03
654,13.88,-6.04,1.08
659,14.01,-6.15,1.25
664,14.68,-6.23,3.76
668,15.03,-6.94,5.44
672,15.56,-7.59,6.57
677,16.46,-8.23,7.34
682,17.50,-8.67,9.46
687,18.42,-8.38,11.96
691,19.21,-7.49,14.47
696,19.41,-7.31,17.34
701,19.47,-7.17,18.97
706,19.47,-6.22,19.40
710,19.10,-5.34,19.47
714,18.10,-4.27,19.53
719,17.40,-2.77,19.54
724,17.02,-2.07,19.54
728,15.92,-0.28,19.54
733,15.49,1.48,19.54
738,14.17,3.56,19.54
743,13.41,5.79,19.54
747,12.86,7.44,19.54
752,11.97,8.87,19.54
756,10.94,9.17,19.54
761,9.98,9.80,19.54
765,8.95,10.05,19.54
770,8.69,10.22,19.54
775,8.08,10.21,19.54
780,7.48,9.76,19.54
784,7.57,8.99,19.54
789,7.19,8.75,19.54
794,7.45,8.21,19.54
798,8.16,7.50,19.54
802,8.07,6.55,19.54
807,8.22,5.53,19.51
812,8.19,4.56,19.48
817,8.32,3.86,18.89
821,8.35,3.47,17.70
826,8.57,2.87,16.54
831,8.62,2.39,15.29
836,8.62,2.22,14.16
839,8.33,2.13,13.58
844,8.42,1.91,13.18
849,8.30,1.31,12.52
854,7.96,0.77,12.13
858,7.74,-0.91,11.27
863,7.33,-2.14,10.96
868,7.28,-2.21,11.59
873,7.19,-1.49,12.09
877,7.02,-0.23,12.79
881,6.73,1.14,13.96
886,6.49,1.92,15.37
891,6.26,3.20,16.64
895,6.06,4.36,17.89
900,5.77,5.39,18.43
905,5.33,5.80,18.93
909,5.42,5.74,19.05
914,5.35,5.47,19.14
919,5.29,5.12,19.24
923,5.43,4.79,19.03
927,5.28,4.38,19.05
932,5.08,4.07,18.93
937,5.36,3.99,18.98
942,5.44,3.85,18.67
946,5.38,3.76,18.68
951,5.46,3.65,18.74
956,5.35,3.10,18.65
961,5.13,2.57,18.76
964,5.28,2.02,18.35
969,5.25,1.40,18.09
974,5.08,0.84,18.05
979,5.12,0.20,17.87
983,4.94,-0.05,17.65
988,4.42,-0.48,17.86
993,4.89,-1.08,17.83
998,4.74,-1.68,18.11
1002,5.50,-2.29,17.74
1006,5.06,-2.36,17.48
1011,4.97,-2.37,16.79
1016,5.33,-2.33,16.36
1020,5.41,-2.31,16.05
1025,5.51,-2.26,15.71
1030,5.31,-2.39,15.37
1035,5.31,-2.80,14.52
1039,5.00,-3.62,14.07
1044,5.08,-4.50,13.59
1048,5.10,-4.80,12.85
1053,5.03,-5.32,12.14
1057,5.05,-5.56,11.09
1062,4.97,-5.76,10.53
1067,4.89,-5.85,9.57
1071,4.80,-5.77,9.03
1076,4.68,-5.60,7.74
1081,4.42,-5.47,6.61
1086,4.23,-5.53,5.48
1089,4.04,-5.54,4.27
1094,3.80,-5.74,2.89
1099,3.18,-6.03,2.00
1104,2.64,-6.42,1.58
1108,2.09,-6.70,0.39
1113,1.88,-6.54,-0.39
1118,1.47,-6.46,-1.10
1123,1.37,-6.45,-1.48
1127,0.86,-6.35,-2.20
1131,0.27,-6.02,-2.61
1136,-0.40,-6.05,-3.45
1140,-0.95,-5.90,-3.48
1145,-1.46,-5.84,-3.96
1150,-1.73,-5.77,-3.98
1154,-1.86,-5.87,-4.16
1159,-2.10,-5.77,-3.98
1164,-2.61,-5.25,-3.67
1168,-2.87,-6.21,-3.60
1172,-2.83,-5.95,-3.68
1177,-2.70,-5.73,-3.12
1182,-2.90,-5.86,-2.89
1186,-2.71,-5.80,-2.93
1191,-2.81,-5.85,-2.50
1196,-2.56,-5.93,-1.99
1201,-2.56,-5.90,-1.75
1205,-2.37,-5.97,-1.12
1210,-2.17,-5.55,-0.64
1214,-1.93,-5.23,-0.30
1218,-1.77,-5.22,-0.56
1223,-1.44,-5.34,-0.29
1228,-0.96,-5.30,-0.58
1233,-0.49,-5.36,-1.34
1237,0.06,-5.42,-1.41
1242,0.29,-5.47,-1.47
1247,0.93,-5.75,-1.55
1252,2.01,-6.04,-1.75
1255,2.71,-6.20,-2.31
1260,3.65,-6.37,-2.51
1265,4.67,-6.75,-2.80
1270,5.91,-6.72,-3.32
1274,6.48,-6.60,-3.45
1279,7.89,-6.51,-3.31
1284,9.40,-6.58,-3.29
1289,10.91,-6.30,-3.10
1293,12.66,-5.54,-2.45
1297,14.64,-5.22,-1.53
1302,16.44,-4.05,-0.09
1306,17.25,-2.86,1.84
1311,18.40,-1.85,4.22
1316,19.00,-0.86,5.47
1321,19.32,0.12,7.85
1325,19.44,1.13,10.40
1330,19.50,1.64,12.32
1335,19.49,2.55,14.23
1339,19.49,3.57,15.45
1344,19.19,5.02,16.58
1348,18.88,7.07,18.07
1353,18.19,9.48,18.49
1358,17.19,12.40,19.20
1363,15.84,13.63,19.46
1367,14.58,15.89,19.52
1372,13.55,17.87,19.54
1377,13.13,19.08,19.54
1381,12.08,19.43,19.54
1385,10.58,19.42,19.54
1390,9.27,18.66,19.54
1395,8.14,17.98,19.54
1400,7.53,16.00,19.54
1404,7.14,13.88,19.54
1409,6.98,11.82,19.54
1414,6.67,10.14,19.54
1419,6.40,8.58,19.54
1423,5.79,7.35,19.54
1427,5.48,6.11,19.49
1432,5.22,5.46,19.47
1437,5.44,4.45,19.24
1442,5.98,3.70,18.12
1446,6.49,3.06,16.74
1451,7.12,2.83,16.23
1456,7.39,2.53,14.82
1460,7.49,2.24,13.28
1464,7.50,1.79,11.96
1469,7.46,0.98,10.66
1474,7.41,-0.25,9.56
1479,7.10,-1.95,8.34
1483,6.78,-3.89,7.97
1488,6.44,-5.06,7.64
1493,6.06,-6.15,7.48
1497,5.59,-6.58,7.40
1502,5.22,-7.20,7.81
1506,5.13,-7.47,7.99
1511,4.99,-7.37,8.41
1515,4.55,-6.52,8.61
1520,4.27,-5.80,9.33
1525,4.34,-5.28,9.52
1529,4.03,-4.48,10.13
1534,4.21,-3.52,10.63
1539,4.18,-2.52,10.97
1544,4.38,-1.54,11.10
1548,4.21,-0.91,10.98
1552,4.31,-0.46,11.24
1557,4.21,-0.22,10.88
1562,4.04,0.07,10.74
1566,4.00,0.16,10.16
1571,4.04,0.14,9.75
1576,3.66,-0.15,9.80
1581,3.66,-0.58,9.71
1585,3.55,-0.77,9.49
1589,3.49,-0.97,9.30
1594,3.46,-1.25,8.96
1599,3.40,-1.36,8.96
1603,3.29,-1.52,8.77
1608,3.28,-1.60,8.67
1613,3.14,-1.40,8.83
1618,3.04,-1.25,8.77
1622,3.09,-1.26,8.49
1627,2.79,-1.11,8.85
