timestamp,accX,accY,accZ
0,0.56,-1.53,-2.51
91,2.22,-0.97,-2.89
95,2.96,-1.94,0.69
100,9.48,-1.28,2.84
105,8.23,-1.39,5.80
109,3.31,-1.99,5.65
113,0.63,-2.23,5.46
118,-0.10,-3.11,6.81
123,0.23,-3.22,8.24
128,1.44,-3.33,10.82
132,2.29,-3.16,12.06
137,1.93,-3.37,13.26
142,0.63,-3.31,14.15
147,-0.97,-3.41,14.21
150,-1.24,-2.82,14.01
155,-1.13,-1.98,15.41
160,-0.64,-2.92,14.84
164,0.94,-2.28,14.45
169,1.71,-1.25,14.63
174,1.65,-1.09,14.73
179,1.41,-0.73,15.09
183,1.38,0.54,15.42
188,1.48,1.34,15.82
192,1.23,2.52,15.99
197,0.84,3.87,15.59
201,1.01,5.21,15.18
206,1.61,6.23,14.63
211,1.56,7.10,13.84
216,1.80,7.70,13.19
220,1.60,8.69,12.89
225,1.49,9.37,12.96
230,1.15,10.12,13.18
233,1.05,11.60,13.32
238,1.05,12.18,13.71
243,1.56,12.75,14.13
248,1.91,13.27,14.09
252,2.06,13.52,14.23
257,2.15,13.75,13.52
262,2.48,13.53,13.49
267,2.47,12.98,12.96
271,2.51,12.68,11.87
275,2.56,12.18,11.13
280,2.62,11.89,10.14
285,2.85,11.73,9.57
290,3.09,11.71,9.29
294,3.53,11.62,8.94
299,3.65,11.62,9.03
304,3.84,11.64,8.52
309,3.98,11.94,8.12
313,4.38,12.60,7.57
317,4.45,13.63,7.40
322,5.01,15.05,7.42
327,5.44,16.16,7.31
331,5.40,17.50,6.85
336,5.39,18.27,6.83
341,5.25,19.23,7.06
345,5.23,19.46,6.96
350,5.40,19.52,7.66
355,5.48,19.54,8.24
359,5.71,19.54,9.06
364,5.74,19.54,10.04
368,6.22,19.54,10.17
373,6.27,19.54,10.45
378,6.51,19.54,10.98
383,6.56,19.54,11.13
387,6.53,19.54,11.48
392,6.82,19.54,11.50
397,7.04,19.54,11.67
401,7.10,19.54,11.96
406,7.30,19.54,12.61
410,7.71,19.54,13.35
415,7.90,19.54,14.41
420,8.10,19.54,15.50
424,8.31,19.54,15.92
429,8.62,19.54,15.82
434,9.17,19.54,16.39
439,9.63,19.54,16.50
443,9.89,19.54,16.22
447,10.17,19.54,15.87
452,10.75,19.49,15.90
457,10.99,18.85,15.21
462,11.44,17.83,15.07
466,11.35,16.65,15.37
471,11.49,15.75,15.08
476,11.95,15.37,15.25
481,12.23,15.06,15.61
484,12.34,14.31,14.41
489,12.69,13.11,14.07
494,13.53,11.87,13.69
499,14.16,9.88,13.62
504,14.43,7.28,13.85
508,14.73,6.24,13.21
513,14.21,4.52,12.48
518,13.98,2.63,12.56
523,13.59,0.62,12.61
526,13.31,-0.34,12.75
531,13.78,-2.16,12.22
536,14.64,-4.15,11.83
541,14.36,-7.48,11.42
545,13.33,-9.36,11.30
550,11.35,-11.06,11.24
555,11.33,-12.47,10.80
560,11.36,-14.02,10.13
565,10.42,-15.06,8.84
568,9.43,-16.86,8.04
573,7.73,-17.55,6.01
578,6.50,-17.76,4.69
582,5.11,-18.44,2.92
587,5.12,-18.42,0.29
592,3.94,-17.79,-1.73
