timestamp,accX,accY,accZ
0,-0.56,19.54,14.04
91,-0.34,19.54,14.30
95,0.01,19.54,14.68
99,0.09,19.54,15.22
104,0.47,19.54,15.64
109,1.03,19.54,15.78
114,1.65,19.54,16.07
118,2.39,19.54,16.34
123,2.74,19.46,16.25
128,2.94,18.58,16.35
133,3.04,17.20,16.19
137,3.54,15.78,16.39
141,4.09,14.42,16.30
146,4.44,12.97,15.87
151,4.34,11.72,15.92
155,4.48,11.30,15.69
160,4.80,10.37,15.96
165,4.99,9.51,15.73
170,5.23,8.61,15.14
174,5.31,7.72,14.83
179,5.41,6.83,14.13
183,5.03,5.98,13.61
188,5.03,5.61,12.40
192,4.79,5.00,11.14
197,4.55,4.44,10.38
202,4.49,3.95,9.19
207,4.07,3.37,8.13
211,3.75,2.85,7.34
216,3.39,2.47,6.52
221,2.99,2.27,5.31
225,2.31,2.00,4.34
229,1.90,1.77,3.75
234,1.80,1.68,3.04
239,1.28,1.57,2.60
243,0.80,1.32,2.22
248,0.55,1.01,1.56
253,0.04,0.71,1.01
258,-0.25,0.26,0.50
262,-0.19,-0.36,-0.30
266,-0.63,-1.08,-1.19
271,-0.82,-1.66,-1.75
276,-1.14,-2.09,-2.38
280,-1.39,-2.12,-3.03
285,-1.39,-2.26,-4.36
290,-1.43,-2.16,-5.32
294,-1.71,-2.52,-6.49
299,-2.32,-2.33,-6.36
304,-2.77,-1.66,-6.55
308,-2.58,-1.58,-6.43
312,-2.63,-1.64,-5.72
317,-2.73,-1.80,-4.76
322,-3.15,-2.07,-4.33
327,-3.04,-2.01,-2.78
331,-3.00,-0.91,-1.03
336,-3.30,0.13,-0.34
341,-3.35,0.61,0.74
346,-3.22,0.93,0.57
349,-3.33,0.57,0.57
354,-3.53,-0.33,0.12
359,-3.75,-0.86,-0.11
363,-3.97,-1.28,-0.03
368,-3.85,-1.70,-0.18
373,-4.11,-1.96,-0.42
378,-4.19,-1.88,-0.25
382,-4.22,-1.78,0.21
387,-4.11,-1.71,0.60
391,-3.98,-1.74,0.59
396,-4.13,-1.72,0.56
400,-3.98,-1.58,0.44
405,-4.11,-1.44,-0.12
410,-4.18,-1.16,-0.38
415,-4.44,-0.91,-0.80
419,-4.44,-0.54,-1.56
424,-4.86,-0.48,-1.99
429,-5.10,-0.01,-1.95
433,-4.78,0.11,-1.93
437,-5.02,0.36,-1.72
442,-4.79,0.96,-1.73
447,-4.59,1.20,-1.68
451,-4.71,1.25,-2.25
456,-4.65,1.12,-2.85
461,-4.62,1.45,-3.55
466,-4.45,1.57,-4.05
470,-4.22,1.56,-4.98
474,-4.40,1.67,-5.80
479,-4.52,1.83,-6.56
483,-4.49,2.67,-6.82
488,-4.36,2.93,-7.21
493,-4.10,3.03,-7.45
498,-3.83,3.01,-7.71
502,-4.18,2.91,-8.16
507,-3.80,2.80,-8.35
512,-3.52,2.98,-8.34
516,-3.35,2.61,-8.33
520,-2.82,2.30,-8.33
525,-2.26,1.91,-8.86
530,-1.70,1.85,-9.04
535,-1.35,1.60,-9.23
539,-0.80,1.42,-9.66
544,-0.62,1.20,-9.76
549,-0.09,1.43,-9.92
554,0.39,1.62,-9.88
558,0.60,1.53,-9.55
562,1.02,1.31,-9.57
567,1.68,1.14,-8.95
571,2.28,0.88,-8.77
576,2.69,0.61,-8.31
581,3.50,0.51,-7.81
586,4.14,0.52,-7.67
590,4.47,0.78,-6.45
595,5.17,0.82,-5.77
599,6.00,1.11,-5.14
603,6.24,1.55,-4.49
608,6.86,1.86,-3.63
613,7.30,1.90,-3.65
618,7.43,1.94,-3.03
622,7.71,1.66,-2.40
627,8.08,1.35,-1.60
632,8.34,0.69,-0.58
637,8.34,0.04,0.28
641,8.77,-1.07,1.70
645,9.90,-1.41,2.60
650,9.69,-1.92,4.41
655,9.21,-2.13,6.11
659,8.98,-2.76,7.72
664,9.45,-3.24,8.90
669,9.26,-4.00,10.42
673,8.99,-4.48,10.94
678,8.83,-4.44,11.37
683,9.47,-4.32,13.30
687,10.43,-4.21,14.68
691,10.59,-4.00,16.49
696,10.41,-3.85,17.59
701,9.91,-3.27,17.91
706,9.27,-3.02,18.78
711,8.57,-2.43,18.95
715,7.84,-1.95,19.05
720,7.42,-0.83,19.42
724,7.18,-0.34,19.51
729,6.60,0.78,19.54
733,6.37,1.90,19.54
738,5.60,2.66,19.54
743,5.44,3.96,19.54
747,5.32,4.26,19.54
752,5.01,4.06,19.54
757,4.07,4.14,19.54
762,3.05,4.21,19.54
766,3.07,3.84,19.54
770,3.02,3.23,19.54
775,3.08,2.52,19.54
780,2.64,1.68,19.54
784,2.41,0.75,19.54
789,2.01,0.29,19.54
794,1.64,-0.64,19.54
799,1.48,-1.06,19.54
803,1.02,-1.25,19.35
808,0.87,-1.18,19.28
812,0.70,-0.71,19.06
817,0.65,-0.14,18.76
821,0.46,0.24,18.83
826,0.36,0.98,19.01
831,0.14,1.69,19.14
836,-0.23,2.31,19.38
840,-0.15,2.96,19.44
845,-0.11,3.15,18.68
849,-0.90,3.92,18.75
854,-0.20,3.80,18.69
858,0.48,3.18,18.55
863,0.84,1.90,18.80
868,1.52,0.20,19.11
873,0.94,-1.68,19.33
877,0.71,-3.19,19.49
882,0.78,-4.04,19.53
887,1.34,-4.19,19.54
891,1.26,-4.02,19.54
895,1.57,-3.15,19.54
900,2.00,-2.54,19.54
905,1.77,-1.42,19.54
909,2.15,-0.35,19.54
914,2.25,1.32,19.54
919,2.03,1.58,19.54
924,2.05,1.61,19.54
928,2.05,1.41,19.54
933,2.18,1.02,19.54
937,2.21,1.19,19.54
942,2.16,1.93,19.54
946,2.68,2.13,19.54
951,3.21,1.70,19.54
956,3.59,1.20,19.54
961,3.71,0.87,19.46
965,3.83,0.68,18.53
970,4.02,-0.25,18.14
974,4.45,-0.12,17.90
979,4.21,0.26,18.42
983,3.88,0.84,18.43
988,3.98,1.10,18.28
993,4.14,1.19,16.81
998,4.07,1.03,15.72
1002,4.25,0.82,15.59
