timestamp,accX,accY,accZ
0,4.21,16.29,19.54
91,4.25,15.38,19.54
95,4.53,14.92,19.53
99,4.93,14.55,19.54
104,5.42,14.32,19.54
109,5.92,13.69,19.54
113,6.15,13.11,19.54
118,6.43,12.47,19.54
123,7.14,11.73,19.54
128,7.63,11.00,19.54
133,8.36,10.21,19.54
137,8.72,9.88,19.54
141,9.32,8.80,19.54
146,9.97,7.83,19.54
151,10.15,6.96,19.54
155,10.40,6.13,19.53
160,10.98,5.32,19.51
165,11.45,4.48,19.39
170,11.38,3.72,19.05
174,11.58,3.18,18.28
179,11.89,2.46,17.47
183,12.11,1.83,16.71
188,12.42,1.06,15.18
192,12.62,0.27,14.04
197,12.86,-0.70,13.30
202,11.99,-1.53,11.86
207,11.48,-2.07,10.06
211,10.78,-1.92,8.92
216,10.14,-2.76,5.92
221,10.22,-3.66,4.10
225,9.77,-4.75,2.46
229,8.99,-6.14,2.23
234,7.85,-6.90,2.16
239,7.03,-7.28,1.88
244,6.33,-7.87,1.93
248,5.91,-8.16,2.11
253,5.54,-8.15,2.63
258,5.02,-7.86,2.44
263,4.14,-7.46,2.24
266,3.60,-7.49,1.58
271,3.00,-7.56,0.39
276,2.24,-7.58,0.07
280,1.81,-7.50,-0.63
285,1.10,-7.21,-1.42
290,0.59,-6.89,-1.66
295,0.21,-6.74,-2.36
299,-0.56,-6.55,-3.00
304,-0.96,-6.19,-3.23
308,-1.38,-5.98,-3.07
313,-1.57,-5.97,-3.10
317,-1.77,-5.44,-2.69
322,-1.94,-5.26,-2.74
327,-2.51,-4.88,-2.50
331,-2.60,-4.51,-2.72
336,-2.61,-3.78,-2.62
341,-2.62,-3.65,-3.54
346,-2.69,-3.63,-4.32
349,-2.94,-3.38,-4.64
354,-3.18,-3.29,-5.04
359,-3.28,-3.53,-5.61
364,-3.55,-3.51,-5.73
368,-3.80,-3.38,-5.47
373,-3.78,-3.53,-5.53
378,-3.79,-3.43,-5.80
382,-4.00,-3.05,-6.21
387,-4.30,-2.63,-5.69
391,-4.64,-2.68,-6.10
396,-4.53,-2.39,-6.20
400,-4.56,-2.13,-5.96
405,-4.63,-1.91,-6.06
410,-4.49,-1.71,-6.20
415,-4.58,-1.42,-6.14
419,-4.57,-0.99,-5.97
424,-4.59,-0.82,-5.89
429,-4.44,-0.34,-5.80
433,-4.23,0.10,-5.72
437,-4.37,0.32,-5.66
442,-4.40,0.59,-5.42
447,-4.11,0.80,-5.12
451,-4.27,1.14,-4.56
456,-4.21,1.16,-4.69
461,-4.03,1.33,-4.47
466,-3.84,1.48,-4.39
470,-3.89,1.58,-4.48
474,-3.80,1.73,-4.44
479,-3.83,1.51,-4.54
484,-3.38,1.21,-5.09
488,-3.32,1.07,-6.10
493,-3.94,0.40,-6.15
498,-3.99,0.27,-6.68
502,-3.38,0.18,-6.87
507,-3.00,0.19,-7.21
512,-2.62,0.14,-7.49
516,-2.23,0.17,-8.15
