timestamp,accX,accY,accZ
0,2.55,19.54,19.54
91,2.48,19.54,19.54
95,2.38,19.54,19.54
100,2.40,19.54,19.54
104,2.94,19.54,19.54
109,3.44,19.54,19.54
113,4.14,19.54,19.54
118,4.28,19.54,19.54
123,4.55,19.54,19.54
128,4.96,19.54,19.54
133,5.29,19.54,19.54
137,5.94,19.54,19.54
142,6.55,19.46,19.54
146,7.30,19.29,19.54
151,8.01,19.14,19.54
155,8.99,19.21,19.54
160,9.44,19.01,19.54
165,10.76,18.91,19.54
170,12.14,18.45,19.54
174,13.53,17.84,19.54
179,15.17,16.99,19.54
184,16.47,16.28,19.54
188,17.43,15.03,19.54
193,17.81,13.37,19.54
197,18.71,11.65,19.54
202,19.18,9.75,19.54
207,19.46,7.98,19.54
212,19.52,6.22,19.54
216,19.54,5.43,19.54
221,19.54,3.90,19.54
226,19.54,2.57,19.07
230,19.54,0.76,16.57
235,19.54,-0.59,14.15
239,19.54,-0.01,11.93
244,19.42,4.29,8.73
249,19.11,3.20,-0.05
254,18.62,0.42,-7.61
258,16.22,-6.30,-9.65
263,15.12,-8.08,-6.20
268,12.15,-6.64,-3.13
272,10.13,-6.00,-2.59
276,8.93,-9.49,-3.70
281,7.88,-13.24,-4.94
286,6.75,-14.60,-4.31
291,5.17,-14.63,-3.46
295,4.46,-14.14,-3.59
300,3.52,-14.46,-3.04
305,2.39,-13.52,-1.71
309,1.58,-12.71,-1.51
313,0.82,-12.12,-1.49
318,0.06,-11.99,-2.34
323,-0.39,-12.13,-3.23
328,-0.48,-11.99,-3.50
332,-0.93,-11.56,-3.93
337,-1.46,-10.66,-4.55
342,-1.58,-9.88,-4.16
347,-1.88,-8.93,-4.22
351,-2.03,-8.60,-4.22
355,-2.19,-7.85,-4.60
360,-2.12,-7.13,-5.09
364,-2.33,-6.42,-5.35
369,-2.47,-5.59,-5.49
374,-2.60,-4.63,-5.63
379,-2.62,-3.54,-5.48
384,-2.80,-3.27,-5.37
388,-2.57,-2.33,-6.13
393,-2.55,-1.52,-6.50
397,-2.69,-0.64,-6.26
401,-2.87,0.07,-5.94
406,-2.97,0.72,-5.63
411,-3.18,0.86,-5.23
416,-3.07,1.28,-4.64
420,-3.03,1.60,-3.45
425,-3.09,2.08,-3.02
430,-2.97,2.53,-3.20
434,-2.97,2.96,-2.86
438,-3.11,3.15,-2.72
443,-3.03,3.30,-2.42
448,-2.96,3.60,-2.15
452,-3.00,3.88,-2.03
457,-3.18,4.39,-2.17
462,-3.35,4.77,-1.93
467,-3.39,5.20,-2.14
471,-3.47,5.47,-1.81
476,-3.47,6.33,-1.68
480,-3.65,7.10,-1.58
485,-3.49,7.80,-1.19
489,-3.61,8.33,-1.31
494,-3.76,8.83,-1.20
499,-3.80,9.05,-1.25
503,-3.55,8.98,-1.74
508,-3.38,8.99,-2.04
513,-3.21,8.62,-3.00
518,-3.07,7.81,-4.10
521,-2.92,7.17,-4.29
526,-3.13,6.19,-5.40
531,-3.13,5.38,-6.54
535,-3.50,5.16,-7.36
540,-3.32,4.75,-8.33
545,-3.35,4.39,-8.50
550,-3.39,4.13,-9.00
554,-2.94,4.07,-9.12
559,-2.43,3.94,-9.15
563,-2.12,3.68,-9.08
568,-1.57,3.59,-9.13
572,-1.33,3.32,-9.85
577,-1.08,2.46,-9.94
582,-0.40,2.03,-9.54
587,0.02,1.71,-9.41
591,0.46,0.81,-9.45
596,0.57,0.34,-9.22
601,1.03,-0.39,-9.09
604,1.92,-0.93,-8.85
609,2.34,-1.42,-8.90
614,2.95,-1.77,-8.70
619,3.66,-2.05,-8.38
624,4.59,-2.37,-8.33
628,5.28,-2.43,-7.75
633,6.08,-2.40,-7.25
638,6.61,-2.38,-7.28
643,6.89,-2.39,-6.36
646,7.35,-2.10,-6.08
651,7.85,-1.87,-5.73
656,8.47,-1.51,-4.75
660,9.20,-1.35,-3.77
665,9.58,-0.81,-2.51
670,10.01,-0.68,-1.12
675,10.51,-0.66,0.05
679,11.06,-0.79,0.85
684,11.28,-1.12,2.23
688,12.06,-1.51,4.04
693,12.64,-1.64,5.78
697,12.92,-1.86,7.64
702,12.92,-2.09,9.90
707,13.20,-2.27,11.79
712,13.23,-2.38,12.80
716,12.70,-2.38,14.73
721,12.54,-2.39,16.28
726,12.39,-2.46,17.86
730,11.87,-3.17,18.14
735,10.36,-2.20,19.06
739,9.97,-1.07,19.42
744,9.05,0.32,19.48
749,10.19,1.61,19.53
753,10.38,2.97,19.54
758,10.16,3.74,19.54
763,9.46,4.65,19.54
768,8.60,5.66,19.54
771,8.46,6.36,19.54
776,7.42,6.80,19.54
781,6.72,7.15,19.54
786,5.83,6.86,19.54
790,5.24,6.78,19.54
795,4.50,6.23,19.54
800,3.58,5.40,19.54
805,3.08,4.34,19.54
809,2.37,3.24,19.54
813,2.38,2.47,19.54
818,2.05,1.91,19.54
823,2.22,1.47,19.54
828,2.05,1.22,19.54
832,1.70,1.13,19.54
837,1.76,1.07,19.54
842,1.32,0.83,19.54
846,1.09,0.62,19.50
851,1.02,0.18,19.51
855,1.29,0.11,19.46
860,1.59,-0.21,19.44
864,1.60,-1.11,19.35
869,1.54,-1.95,19.28
874,1.63,-2.92,19.34
879,1.47,-3.48,19.41
883,1.20,-3.93,19.49
888,0.90,-4.14,19.53
893,0.80,-4.07,19.54
897,0.47,-3.82,19.54
901,0.54,-3.47,19.54
906,-0.67,-2.81,19.54
911,0.32,-1.82,19.54
916,1.19,-1.30,19.54
920,1.25,-1.16,19.54
925,1.28,-0.91,19.54
930,1.29,-1.14,19.54
934,1.14,-1.50,19.54
938,1.22,-1.87,19.54
943,1.68,-2.17,19.54
948,2.19,-2.69,19.54
953,0.96,-2.65,19.35
957,2.43,-3.09,19.22
962,3.55,-3.27,18.65
967,3.65,-4.18,17.82
972,3.55,-4.33,17.48
976,3.76,-4.69,17.23
980,3.42,-4.67,16.33
985,3.54,-4.89,15.42
990,3.64,-4.68,14.58
995,3.71,-4.66,13.99
999,3.64,-4.48,13.60
1004,3.61,-4.42,13.65
1009,3.67,-4.24,14.02
1014,3.69,-3.97,13.77
1018,3.69,-3.70,14.13
1022,3.73,-3.73,14.23
1027,3.80,-3.78,14.09
1032,3.70,-3.92,13.74
1036,3.77,-3.98,13.54
1041,3.82,-4.19,13.03
1046,3.76,-4.52,12.36
1051,3.91,-4.83,11.63
1055,3.93,-4.78,11.07
1059,4.18,-5.05,10.18
1064,3.94,-5.43,9.97
1068,3.93,-5.83,9.00
1073,3.69,-6.32,8.36
1078,3.37,-6.90,7.63
1083,2.85,-7.19,6.02
1087,1.78,-7.51,5.56
1092,3.03,-7.87,4.64
1097,3.57,-8.42,3.39
1101,3.84,-8.92,3.12
1105,3.90,-9.68,2.07
1110,3.86,-10.43,1.15
1115,3.08,-10.81,-0.17
1120,2.57,-11.26,-1.65
1124,1.70,-11.61,-2.91
1129,1.70,-11.79,-4.19
1134,1.84,-11.89,-5.57
1139,1.87,-11.69,-6.25
1143,1.57,-11.73,-7.16
1147,1.33,-11.62,-7.88
1152,1.27,-11.55,-9.17
1157,1.55,-11.49,-9.76
1161,1.76,-11.39,-10.06
1166,2.07,-10.99,-10.18
1171,2.16,-10.39,-10.26
1176,2.37,-9.83,-10.41
1181,2.86,-9.34,-10.51
1184,3.55,-8.98,-10.10
1189,4.53,-8.45,-10.14
1194,4.83,-7.70,-9.68
1198,5.34,-7.15,-8.83
1203,6.14,-6.56,-8.65
1208,6.73,-5.93,-7.79
1213,7.59,-5.63,-6.77
1217,8.66,-5.61,-5.80
1222,9.63,-5.55,-4.96
1226,9.90,-5.66,-3.93
