timestamp,accX,accY,accZ
0,0.46,2.10,7.85
91,1.76,1.91,7.76
95,1.77,1.82,7.60
100,2.00,1.65,7.42
104,1.99,1.45,6.96
108,2.11,1.23,6.63
113,2.25,0.99,6.19
118,1.93,0.64,5.83
123,2.19,0.73,5.43
127,2.72,0.80,4.97
132,2.84,0.79,4.52
137,2.79,0.79,3.73
142,2.75,0.85,3.39
145,2.84,1.15,3.09
150,2.95,1.66,3.09
155,3.29,1.83,3.21
160,3.60,2.31,3.43
164,3.68,2.70,3.67
169,3.89,3.24,4.11
174,4.06,3.76,4.39
179,4.17,4.51,4.99
183,4.60,5.08,5.83
187,4.87,5.31,6.05
192,4.95,5.82,6.71
197,4.95,6.48,7.47
201,4.82,7.17,8.06
206,4.80,7.86,8.39
211,4.88,8.70,9.26
216,4.91,9.77,10.04
220,4.53,10.13,11.15
225,4.18,11.25,12.52
229,4.29,12.23,13.48
233,4.38,13.50,15.23
238,4.50,14.93,16.32
243,4.52,16.25,16.98
248,3.91,16.24,17.59
253,3.84,17.29,18.15
257,4.15,18.83,18.96
262,4.86,19.37,19.17
267,5.12,19.50,19.34
271,5.21,19.53,19.42
275,5.08,19.54,19.46
280,5.10,19.54,19.44
285,4.58,19.54,19.41
290,4.43,19.54,19.47
295,4.26,19.54,19.34
299,4.03,19.54,19.49
304,4.01,19.54,19.46
309,4.17,19.54,19.50
313,4.58,19.54,19.52
317,5.39,19.54,19.46
322,6.05,19.54,19.52
327,6.36,19.54,19.18
332,6.57,19.54,18.39
336,6.72,19.54,17.60
341,7.10,19.54,17.27
346,7.35,19.54,16.50
351,7.51,19.42,16.02
354,7.78,19.37,16.14
359,7.98,19.29,15.83
364,8.24,19.20,15.62
369,8.43,19.36,15.45
373,8.99,19.46,15.12
378,9.58,19.38,14.92
383,11.16,19.49,14.33
388,12.45,19.52,13.80
393,12.80,19.50,12.96
396,13.42,19.10,12.04
401,13.54,18.09,10.93
406,13.54,16.58,10.24
411,13.72,15.05,9.72
415,13.80,13.52,9.37
420,13.53,12.15,8.75
425,13.25,11.42,8.31
430,13.11,10.36,8.23
434,13.00,9.52,7.92
438,12.93,8.70,7.66
443,13.14,8.06,7.41
448,12.88,7.23,7.01
452,12.81,6.50,6.26
457,12.59,6.65,6.18
462,12.45,5.88,4.13
467,12.31,4.16,3.45
471,12.04,3.04,2.76
476,11.35,2.03,2.23
480,10.26,1.55,1.01
484,7.76,2.11,0.10
489,7.81,-0.34,-1.20
494,8.10,-1.33,-1.78
498,7.79,-2.36,-2.11
503,6.69,-2.81,-2.25
508,5.01,-2.55,-2.08
513,3.53,-2.00,-1.59
517,3.05,-1.49,-0.78
521,3.01,-0.92,-0.56
526,3.11,-0.72,-0.66
531,2.93,-1.15,-1.11
535,2.63,-1.21,-0.98
540,2.38,-0.91,-1.13
545,1.81,-1.40,-1.37
550,2.06,-2.21,-1.50
554,1.69,-3.08,-1.72
559,1.63,-3.92,-1.27
563,0.36,-5.26,-1.42
568,0.34,-6.35,-1.19
572,0.42,-6.50,-0.87
577,-0.21,-6.49,-0.74
582,-0.80,-6.69,-0.11
587,-1.08,-6.63,-0.06
591,-1.43,-7.09,-0.41
596,-1.40,-7.36,-0.46
601,-1.71,-7.62,-0.25
605,-1.99,-8.05,-0.40
609,-2.72,-8.26,-0.98
614,-3.02,-8.36,-0.74
619,-3.19,-8.60,-0.64
623,-3.15,-8.65,-0.50
628,-3.49,-8.41,-0.50
633,-3.73,-8.30,-0.07
638,-3.76,-8.24,0.09
642,-3.83,-8.16,0.21
646,-3.80,-8.15,0.46
651,-3.91,-8.16,0.14
655,-3.77,-7.98,-0.38
660,-3.86,-7.97,-0.37
665,-3.88,-7.85,-0.86
670,-3.91,-7.77,-0.90
