timestamp,accX,accY,accZ
0,6.02,19.49,17.96
91,5.80,19.52,18.11
95,5.40,19.54,18.16
99,5.12,19.54,17.82
104,4.93,19.54,18.03
109,4.10,19.54,17.78
114,3.85,19.54,17.07
118,5.14,19.54,16.99
123,4.63,19.54,16.31
128,4.62,19.54,16.36
133,5.58,19.54,15.77
137,6.10,19.54,14.92
141,6.18,19.54,14.08
146,6.53,19.54,13.74
151,6.30,19.54,13.08
155,5.93,19.54,12.61
160,6.09,19.54,12.33
165,6.09,19.54,12.65
170,6.26,19.54,12.67
175,6.89,19.54,12.65
179,7.32,19.54,12.84
183,7.93,19.54,12.86
188,8.34,19.54,12.52
193,8.64,19.54,12.20
197,9.53,19.54,11.90
202,10.01,19.54,11.45
207,10.13,19.54,11.07
212,10.38,19.05,10.49
217,10.74,18.24,9.97
221,10.76,17.44,10.12
225,10.70,16.88,10.13
230,10.84,16.71,10.42
235,11.26,16.61,10.63
240,11.79,16.78,11.26
244,12.14,16.78,11.05
249,12.74,16.69,11.10
254,13.45,16.50,11.61
259,14.06,15.88,11.42
264,14.58,14.98,11.23
267,15.14,13.96,11.19
272,15.61,13.30,11.44
277,15.71,12.08,10.78
282,15.91,10.39,10.14
286,15.94,8.67,9.67
291,15.70,7.04,9.14
296,15.33,5.61,8.83
301,14.60,4.41,8.30
305,14.88,3.44,8.02
309,14.71,3.75,6.16
314,14.01,0.26,5.46
319,13.54,-1.07,4.66
323,12.51,-2.06,4.44
328,11.33,-2.53,3.90
333,10.76,-2.83,3.02
337,10.15,-4.05,1.43
342,9.67,-4.98,0.20
347,8.71,-5.84,-0.47
351,8.46,-6.43,-0.73
355,7.56,-6.07,-0.17
360,5.68,-6.12,-0.29
365,4.41,-5.81,-0.28
370,3.56,-5.59,-0.19
374,3.34,-5.93,-0.64
379,2.75,-5.98,-1.56
384,2.11,-5.93,-1.82
388,1.53,-5.87,-2.47
392,0.65,-5.74,-2.25
397,0.16,-5.85,-2.61
402,-0.17,-6.16,-2.35
406,-0.38,-6.21,-2.50
411,-0.78,-6.65,-2.53
416,-1.47,-7.15,-2.52
421,-1.83,-7.40,-1.96
425,-2.14,-7.33,-1.06
430,-2.35,-6.95,-0.62
434,-2.36,-6.78,0.02
439,-2.43,-6.55,0.52
443,-2.78,-6.16,1.02
448,-2.96,-6.02,1.24
453,-3.14,-6.08,1.50
458,-3.30,-6.05,1.55
462,-3.39,-5.98,1.83
467,-3.48,-5.98,2.16
472,-3.86,-5.85,1.99
475,-3.76,-5.80,2.16
480,-3.82,-5.64,1.96
485,-4.16,-5.37,2.21
490,-4.41,-5.36,2.24
494,-4.19,-5.05,2.05
499,-4.27,-4.75,1.98
504,-4.19,-4.17,1.61
508,-4.18,-3.64,1.29
513,-4.31,-3.17,0.72
517,-4.13,-3.11,0.29
522,-3.94,-3.01,-0.45
526,-3.86,-2.84,-1.07
531,-3.73,-2.69,-1.92
536,-3.67,-2.59,-2.53
540,-3.89,-2.38,-3.69
545,-3.88,-2.30,-4.39
550,-3.71,-1.97,-5.02
555,-3.67,-1.40,-5.22
558,-3.85,-0.95,-5.88
563,-3.83,-0.51,-6.34
568,-3.54,-0.32,-6.52
573,-3.16,-0.09,-6.98
577,-2.91,0.03,-7.61
582,-2.36,-0.02,-8.31
587,-2.42,-0.34,-9.19
591,-2.08,0.23,-9.30
596,-2.36,0.20,-9.59
600,-1.84,-0.13,-9.82
605,-1.24,-0.57,-10.23
609,-1.18,-0.64,-10.62
614,-0.95,-0.72,-10.88
619,-1.03,-0.91,-11.38
624,-0.53,-1.12,-11.06
628,-0.13,-1.34,-10.86
633,0.44,-1.37,-10.36
638,1.48,-1.80,-10.35
642,2.03,-2.24,-10.46
646,2.67,-2.65,-10.40
651,3.47,-2.89,-10.76
656,4.12,-3.06,-10.46
661,4.76,-3.16,-9.76
665,5.89,-2.87,-9.29
670,6.20,-2.78,-8.55
675,7.16,-2.72,-7.67
680,7.89,-2.37,-6.37
684,8.76,-2.31,-4.64
688,9.03,-2.31,-2.91
693,9.96,-2.06,-2.10
698,11.15,-2.04,-0.57
702,11.66,-1.75,1.52
707,12.18,-1.70,3.89
712,12.49,-1.54,6.07
717,12.58,-1.64,8.36
721,13.12,-1.71,11.23
725,13.26,-1.80,12.51
730,12.86,-1.94,14.85
735,13.08,-1.86,17.50
739,13.28,-1.84,18.88
744,6.60,-3.03,19.29
749,7.60,-3.16,19.46
754,9.30,-2.54,19.52
758,11.04,-1.56,19.53
763,12.88,-0.86,19.54
767,12.36,0.42,19.54
772,11.02,1.03,19.54
776,9.56,2.19,19.54
781,8.31,3.10,19.54
786,7.81,3.53,19.54
791,7.29,3.76,19.54
795,7.41,4.30,19.54
800,7.54,4.82,19.54
805,7.11,4.83,19.54
809,6.37,4.87,19.54
813,4.60,4.10,19.54
818,3.77,3.13,19.54
823,2.39,2.01,19.54
828,1.28,1.15,19.54
832,0.98,0.87,19.54
837,0.46,0.80,19.54
842,0.33,0.71,19.54
847,0.19,0.84,19.54
851,-0.01,0.94,19.54
855,-0.27,1.39,19.54
860,-0.43,1.76,19.54
865,-0.57,2.24,19.09
869,-0.69,2.50,18.00
874,-0.89,2.81,16.95
879,-0.99,3.13,15.35
884,-1.15,3.33,14.03
888,-1.45,3.57,12.48
892,-1.56,3.73,11.73
897,-2.04,3.18,10.08
902,-2.33,2.73,8.66
906,-2.51,0.63,8.04
911,-2.50,-2.51,8.36
916,-2.62,-4.76,10.71
921,-2.41,-5.73,12.45
925,-2.20,-5.62,15.76
930,-1.94,-4.82,18.35
934,-1.47,-4.11,19.24
939,-1.29,-2.62,19.47
943,-1.27,-1.09,19.53
948,-0.59,0.79,19.54
953,-0.13,2.06,19.54
958,0.66,2.20,19.54
962,1.25,2.21,19.54
967,1.42,2.28,19.54
972,1.91,2.19,19.54
976,2.25,1.77,19.54
980,2.34,1.29,19.54
985,2.77,0.17,19.54
990,2.53,-0.66,19.54
995,3.14,-1.11,19.54
999,3.53,-1.28,19.54
1004,4.01,-1.66,19.50
1009,4.30,-2.09,19.40
1014,4.37,-2.60,19.09
1017,4.74,-2.64,18.16
1022,4.81,-2.86,17.84
1027,4.69,-2.93,17.03
1032,5.15,-2.97,15.96
1036,7.58,-2.74,16.14
1041,6.80,-3.36,15.06
1046,5.75,-2.43,15.49
1051,3.68,-0.61,13.38
1055,4.66,0.58,10.21
1059,5.68,-2.00,5.58
1064,6.23,-4.30,2.61
1068,4.95,-8.57,2.60
1073,3.84,-9.95,4.46
1078,2.17,-8.47,5.43
1083,1.76,-7.83,5.96
1087,2.62,-7.63,6.39
1092,3.54,-7.42,6.78
1097,3.70,-3.98,5.24
1101,3.17,-5.42,4.48
1105,3.03,-4.28,3.45
1110,2.76,-4.70,2.76
1115,2.50,-4.90,2.23
1120,2.29,-6.03,1.32
1124,1.57,-6.03,1.63
1129,1.37,-5.70,1.57
