timestamp,accX,accY,accZ
0,3.77,6.97,9.01
91,4.02,7.69,9.08
95,4.20,8.05,9.25
99,3.94,8.77,9.70
104,3.86,9.61,9.45
108,3.45,10.37,9.54
113,3.45,11.32,9.43
118,3.36,12.52,9.73
123,3.33,13.46,10.28
127,3.42,14.91,10.88
132,3.29,16.52,11.24
137,3.21,17.83,12.07
141,3.51,19.01,12.39
145,3.14,19.41,13.01
150,2.97,19.51,13.99
155,3.10,19.53,14.29
160,2.72,19.54,14.34
164,2.59,19.54,14.78
169,2.49,19.54,15.39
174,2.29,19.54,15.40
179,2.38,19.54,15.76
183,2.58,19.54,15.53
187,2.63,19.54,15.67
192,2.05,19.54,14.93
197,2.78,19.54,14.10
202,3.21,19.54,13.83
206,3.45,19.54,14.23
211,2.51,19.54,12.91
216,3.66,19.54,12.23
221,4.17,19.54,11.86
224,4.53,19.54,11.90
229,4.68,19.54,12.20
234,5.05,19.54,12.34
239,5.52,19.54,12.75
243,5.91,19.54,13.03
248,6.43,19.54,13.32
253,7.45,19.54,13.69
258,8.07,19.54,13.39
262,8.59,19.54,13.06
266,9.00,19.54,12.49
271,9.32,19.41,11.67
276,9.61,18.62,11.00
281,9.97,17.91,10.77
285,9.84,16.91,10.62
290,9.85,16.37,10.37
295,10.12,16.17,10.05
300,10.85,15.96,9.90
304,11.27,15.67,10.07
308,11.85,15.25,10.16
313,12.48,14.86,10.21
318,12.86,14.23,10.13
322,13.32,13.11,9.61
327,13.38,12.39,9.51
332,13.30,10.96,9.33
337,13.34,11.61,8.00
341,13.24,7.07,7.09
346,12.33,6.17,6.50
350,12.12,4.37,6.49
355,11.91,2.95,5.39
359,10.65,1.66,4.17
364,9.72,-0.31,3.76
369,9.14,-1.51,3.79
374,8.83,-1.81,3.99
378,8.08,-1.94,4.03
383,7.03,-2.43,4.07
388,6.40,-3.05,3.91
392,6.07,-3.34,3.78
396,5.26,-3.57,3.87
401,4.69,-3.56,4.11
406,4.39,-3.66,3.80
411,3.63,-3.93,3.48
415,3.24,-4.25,3.27
420,2.67,-4.67,2.84
425,2.06,-4.79,2.75
429,1.80,-4.79,2.29
433,1.28,-5.28,1.64
438,0.70,-5.34,1.23
443,0.45,-5.80,1.13
447,0.06,-6.47,0.82
452,-0.65,-6.78,0.73
457,-1.18,-7.17,0.55
462,-1.66,-7.57,0.21
466,-1.98,-8.08,-0.40
471,-2.15,-8.63,-0.51
475,-2.29,-9.07,-0.99
479,-2.65,-9.31,-1.59
484,-3.25,-9.49,-2.09
489,-3.74,-9.45,-1.70
494,-4.08,-9.28,-2.10
498,-4.23,-9.02,-1.95
503,-4.79,-9.16,-1.99
508,-4.76,-8.96,-2.16
513,-4.87,-8.85,-2.35
516,-4.93,-8.70,-2.64
521,-5.24,-8.61,-2.52
526,-5.35,-8.55,-2.68
531,-5.15,-8.17,-2.75
535,-5.49,-7.70,-2.57
540,-5.49,-7.08,-2.66
545,-5.42,-6.44,-2.56
550,-5.40,-5.72,-2.56
554,-5.41,-5.43,-2.30
558,-5.22,-4.98,-2.39
563,-5.10,-4.61,-2.61
568,-5.28,-4.19,-2.44
572,-5.16,-3.76,-2.28
577,-5.10,-3.59,-1.98
582,-4.87,-3.60,-2.44
586,-4.74,-3.36,-2.63
591,-5.06,-3.12,-3.04
596,-4.91,-2.94,-3.44
600,-4.95,-2.74,-3.98
604,-4.83,-2.34,-4.40
609,-4.77,-1.97,-4.51
614,-4.62,-1.89,-4.57
619,-4.40,-1.70,-4.71
623,-4.17,-1.41,-4.86
628,-3.98,-1.03,-4.98
633,-3.82,-0.91,-5.13
638,-3.51,-0.77,-5.35
641,-3.43,-0.70,-5.76
646,-3.30,-0.79,-5.91
651,-2.90,-1.06,-6.56
655,-2.86,-1.44,-7.36
660,-2.69,-1.58,-7.65
665,-2.35,-1.93,-7.93
670,-2.22,-2.31,-8.31
674,-1.63,-2.51,-9.03
679,-1.16,-2.71,-10.81
683,0.29,-2.49,-10.83
688,-0.02,-2.57,-9.69
692,0.10,-1.72,-8.98
697,0.28,-1.94,-9.14
702,1.04,-1.61,-8.13
707,1.62,-1.46,-7.29
711,2.01,-1.62,-7.16
716,2.73,-2.22,-7.00
721,3.35,-2.92,-7.23
724,4.00,-3.23,-7.47
729,4.89,-3.51,-7.17
734,5.40,-3.30,-7.06
739,6.29,-3.01,-6.83
743,6.54,-2.36,-6.27
748,6.61,-1.37,-5.63
753,7.14,-0.27,-4.44
758,7.94,0.86,-3.11
762,8.64,1.86,-2.54
766,9.27,2.81,-0.73
771,9.77,3.32,1.13
775,10.85,3.57,2.58
780,11.37,3.97,4.77
785,12.72,4.04,7.10
790,13.32,4.54,8.62
794,13.66,5.07,10.23
799,12.93,5.66,12.38
804,9.65,5.19,13.01
807,6.79,4.77,13.41
812,7.92,5.20,14.71
817,11.86,6.46,17.06
822,13.70,7.10,17.90
827,11.29,8.45,19.00
831,9.36,9.86,19.41
836,8.29,10.14,19.51
841,8.09,10.81,19.54
846,7.77,10.89,19.54
849,8.19,11.08,19.54
854,8.11,11.24,19.54
859,7.33,11.27,19.54
864,6.09,10.75,19.54
869,5.17,10.43,19.54
873,4.54,9.69,19.54
878,4.36,8.80,19.54
