timestamp,accX,accY,accZ
0,1.95,4.58,8.14
91,1.00,4.58,8.41
94,1.08,4.44,8.33
99,1.15,4.30,8.24
104,1.06,4.18,8.03
109,1.28,4.00,7.95
113,1.44,3.77,7.74
118,1.35,3.64,7.67
123,1.36,3.53,7.59
127,1.42,3.37,7.39
132,1.62,3.28,7.48
136,1.64,3.16,7.25
141,1.67,2.99,6.95
145,1.66,3.13,6.90
150,1.75,3.44,6.78
155,1.51,3.48,6.82
160,1.84,4.01,6.90
164,1.84,4.75,7.09
169,1.76,5.84,7.84
174,1.76,6.82,8.05
178,1.72,8.00,8.71
182,1.72,8.66,9.27
187,1.77,9.83,10.06
192,1.76,11.14,10.58
196,1.59,12.43,10.80
201,1.36,13.73,11.68
206,1.63,14.82,11.81
211,1.54,15.82,12.84
215,1.23,17.09,13.13
219,0.76,17.92,13.76
224,0.69,19.06,14.50
229,0.44,19.43,14.91
234,0.14,19.51,15.40
238,0.09,19.54,15.46
243,0.24,19.54,15.76
248,0.48,19.54,15.96
253,0.73,19.54,15.64
257,1.40,19.54,15.82
261,1.85,19.54,16.02
266,1.68,19.54,15.01
271,3.20,19.54,14.44
275,4.52,19.54,14.59
280,4.47,19.54,14.45
285,4.89,19.54,14.32
290,6.00,19.54,14.13
294,6.65,19.54,13.66
299,6.85,19.54,13.63
303,7.09,19.54,13.56
308,7.77,19.54,13.64
312,8.45,19.54,13.19
317,8.77,19.54,13.19
322,9.34,19.54,13.48
327,9.89,19.54,13.92
332,10.04,19.32,13.96
336,10.46,18.83,13.93
341,10.88,18.05,13.77
345,11.34,17.13,13.81
350,11.49,16.36,14.26
355,12.08,15.85,13.10
359,11.98,14.57,12.14
364,12.59,13.44,11.11
369,12.40,11.67,9.85
374,11.75,9.79,8.73
378,11.75,7.63,8.33
383,11.51,5.14,8.10
387,11.05,3.90,8.94
391,10.67,3.30,9.17
396,9.98,2.29,9.60
401,9.86,0.96,8.35
406,9.53,-1.25,8.16
410,8.54,-2.80,6.94
415,7.88,-4.62,6.09
420,7.07,-5.14,4.97
424,5.90,-6.41,4.76
428,5.67,-7.22,4.52
433,4.79,-7.33,4.51
438,3.76,-7.84,4.39
442,2.75,-8.35,3.49
447,1.73,-9.30,2.57
452,1.22,-9.71,1.51
457,0.74,-10.63,0.85
461,0.24,-11.12,0.65
466,-0.47,-10.85,1.12
470,-1.37,-10.19,1.03
475,-1.89,-9.45,1.23
479,-2.44,-9.45,0.01
484,-2.80,-9.35,-0.93
489,-2.87,-9.09,-1.39
493,-2.85,-8.66,-1.35
498,-3.20,-8.12,-1.62
503,-3.38,-7.65,-1.48
507,-3.46,-6.90,-1.83
511,-3.51,-6.62,-1.52
516,-3.57,-6.06,-1.17
521,-3.54,-5.69,-1.23
525,-3.73,-5.44,-1.40
530,-3.74,-5.24,-1.38
535,-3.78,-5.09,-1.48
540,-3.97,-5.04,-0.94
544,-4.01,-4.73,-0.89
549,-4.02,-4.43,-0.63
553,-4.04,-4.08,-0.57
557,-4.01,-3.61,-0.44
562,-4.10,-3.13,-0.29
567,-4.20,-2.95,-0.09
572,-4.29,-2.73,0.04
576,-4.25,-2.45,-0.09
581,-4.36,-2.13,-0.39
586,-4.21,-1.80,-0.34
591,-4.60,-1.54,-0.24
594,-4.57,-1.33,-0.34
599,-4.59,-1.12,-0.52
604,-4.67,-1.13,-0.15
609,-4.61,-0.93,-0.49
613,-4.74,-0.85,-0.64
618,-4.86,-0.86,-0.67
623,-4.48,-0.95,-1.36
