timestamp,accX,accY,accZ
0,3.37,3.85,11.70
91,3.43,4.16,11.81
95,3.57,4.61,11.56
100,3.92,5.81,11.93
105,3.98,7.40,12.03
110,4.02,9.47,12.12
113,3.75,10.58,12.73
118,3.53,12.43,13.38
123,3.30,14.16,14.21
128,3.31,15.95,14.79
133,3.50,17.48,15.44
137,3.22,18.89,15.34
142,2.86,19.38,15.59
147,2.39,19.50,15.74
152,2.47,19.52,15.68
155,2.49,19.54,15.89
160,2.51,19.54,15.59
165,2.68,19.54,15.96
170,3.09,19.54,15.96
174,3.02,19.54,16.40
179,3.71,19.54,16.69
184,3.66,19.54,16.74
189,4.07,19.54,16.92
193,4.36,19.54,17.44
197,4.77,19.54,18.23
202,5.45,19.54,18.39
207,6.05,19.54,18.54
212,6.77,19.54,19.04
216,7.46,19.54,19.36
221,7.88,19.40,19.49
226,8.37,18.42,19.53
231,8.70,16.62,19.49
235,9.04,15.13,19.53
239,9.28,13.72,19.54
244,9.84,12.44,19.54
249,9.95,11.27,19.54
253,9.81,10.81,19.54
258,10.04,9.96,19.54
263,10.45,9.21,19.54
268,10.83,8.55,19.54
272,10.67,8.25,19.39
277,10.53,7.76,19.48
281,10.71,7.26,19.33
286,10.98,6.95,18.85
290,11.28,6.49,18.03
295,11.06,6.06,16.95
300,10.57,5.61,15.59
305,9.39,4.89,14.49
309,10.29,5.03,13.94
314,12.16,6.21,11.99
319,12.27,5.24,9.20
323,10.68,4.88,6.29
327,8.93,3.76,4.13
332,8.31,0.33,2.64
337,7.91,-1.50,2.65
342,7.63,-1.88,2.58
346,7.17,-2.17,2.48
351,6.70,-2.54,1.94
356,5.77,-3.18,0.72
361,4.89,-4.49,-0.16
364,3.34,-5.63,-0.66
369,1.81,-6.74,-1.02
374,2.16,-7.54,-1.00
378,2.13,-7.59,-0.97
383,1.24,-7.60,-0.62
388,0.45,-7.21,-0.75
393,0.68,-7.33,-1.28
397,0.18,-7.85,-2.16
402,-0.56,-8.74,-2.80
406,-1.64,-9.36,-3.21
411,-2.28,-9.95,-3.75
415,-3.13,-10.01,-4.26
420,-4.19,-9.72,-4.31
425,-4.08,-9.45,-4.59
430,-3.70,-8.94,-4.94
434,-3.35,-8.22,-4.90
439,-3.59,-7.62,-4.98
444,-4.10,-7.09,-4.54
448,-4.73,-6.91,-4.32
452,-4.83,-6.37,-4.21
457,-4.84,-5.50,-3.49
462,-4.88,-4.58,-3.14
466,-4.96,-3.90,-2.88
471,-4.96,-3.19,-2.78
476,-4.88,-2.89,-2.03
481,-4.77,-2.13,-1.76
485,-4.71,-1.42,-1.39
489,-4.87,-0.75,-1.01
494,-4.66,-0.35,-1.24
498,-4.59,-0.05,-0.89
503,-4.67,0.46,-0.87
508,-4.70,0.69,-0.44
513,-4.74,0.98,-0.43
517,-4.73,1.16,-0.59
522,-4.62,1.33,-0.59
527,-4.63,1.41,-0.69
530,-4.66,1.70,-1.31
535,-4.89,1.67,-1.54
540,-5.00,1.69,-1.78
545,-5.14,1.65,-2.05
549,-5.10,1.48,-2.41
554,-5.12,1.21,-2.39
559,-4.95,1.35,-2.48
564,-4.85,1.44,-2.20
568,-4.66,1.47,-2.39
572,-4.55,1.67,-2.25
577,-4.66,1.91,-2.48
581,-4.46,2.15,-2.39
586,-4.20,2.26,-2.50
591,-3.99,2.48,-3.18
596,-4.94,2.71,-3.42
600,-5.07,2.63,-3.59
605,-4.95,2.77,-3.91
610,-4.82,2.88,-4.26
614,-4.27,2.77,-4.53
618,-3.73,2.71,-4.95
623,-3.54,2.83,-5.59
628,-3.63,2.77,-5.88
633,-3.38,2.73,-6.85
637,-3.06,2.56,-7.34
642,-2.87,2.45,-8.31
647,-2.32,2.33,-8.63
652,-1.59,2.28,-9.11
655,-0.44,2.52,-9.62
660,-0.46,2.78,-9.88
665,-0.39,2.56,-10.53
669,-0.44,2.34,-11.13
674,0.00,2.12,-11.53
679,0.57,2.22,-11.71
684,1.09,2.24,-11.65
688,1.51,2.21,-11.92
693,2.14,1.93,-12.49
697,2.88,2.06,-12.49
702,3.85,2.08,-12.49
707,4.59,2.01,-12.90
711,5.38,2.28,-12.77
716,6.51,2.89,-12.63
721,7.54,3.39,-11.71
726,8.74,3.89,-10.61
730,9.95,3.95,-9.45
735,11.32,3.93,-7.84
739,11.87,4.26,-5.96
744,13.02,4.54,-3.71
748,13.96,4.67,-1.54
753,14.36,4.91,-0.63
758,14.43,5.09,1.49
763,14.22,5.12,4.46
767,13.59,5.85,6.78
772,13.39,6.26,9.43
777,14.25,6.42,13.26
781,13.16,7.09,16.26
785,11.36,6.97,17.62
790,10.73,5.69,18.98
795,10.84,5.37,19.41
800,11.07,4.02,19.51
804,10.59,2.24,19.54
809,10.13,0.24,19.54
814,8.74,-2.33,19.54
819,7.47,-4.90,19.54
822,6.25,-7.16,19.54
827,5.18,-8.20,19.54
832,4.29,-9.95,19.54
837,3.86,-11.15,19.54
841,3.56,-11.50,19.54
846,3.42,-10.94,19.54
851,2.90,-9.79,19.54
856,2.34,-8.63,19.54
860,1.74,-7.90,19.54
864,1.22,-6.41,19.54
869,0.86,-4.94,19.54
874,0.65,-3.98,19.54
878,0.27,-3.36,19.54
883,0.00,-2.85,19.54
888,-0.22,-2.92,19.54
893,-0.33,-3.02,19.54
897,-0.54,-3.56,19.54
902,-0.50,-4.48,19.46
906,-0.63,-5.57,19.16
911,-0.59,-6.24,18.02
915,-0.89,-7.05,17.77
920,-0.74,-8.16,16.32
925,-0.84,-8.99,14.86
930,-1.24,-10.55,14.05
934,-1.46,-12.27,13.72
939,-1.36,-13.43,13.72
944,-1.93,-14.25,14.03
948,-2.30,-14.67,14.29
952,-2.51,-14.77,14.88
957,-2.67,-14.86,15.47
962,-2.62,-14.55,16.46
967,-2.85,-14.00,17.58
971,-3.02,-13.19,18.32
976,-2.85,-12.29,18.64
981,-2.73,-11.70,18.84
986,-2.51,-10.96,19.00
989,-2.55,-10.52,19.30
994,-2.21,-10.28,19.40
999,-2.06,-9.99,19.19
