timestamp,accX,accY,accZ
0,5.48,5.96,19.20
91,5.85,7.76,19.46
95,5.85,9.02,19.52
100,6.15,10.24,19.54
105,5.40,11.11,19.54
110,6.11,13.40,19.54
114,5.82,14.60,19.54
118,6.02,15.90,19.54
123,5.53,16.32,19.54
128,5.36,16.61,19.54
133,5.57,17.28,19.54
137,5.59,17.47,19.54
142,5.80,17.64,19.54
147,6.15,17.60,19.54
152,6.12,17.21,19.54
155,6.43,16.79,19.54
160,6.66,16.14,19.54
165,7.04,15.81,19.54
170,7.22,14.96,19.54
175,7.20,14.23,19.54
179,7.52,13.48,19.51
184,7.64,13.07,19.43
189,7.62,12.13,19.30
194,7.97,11.57,19.38
197,8.13,11.38,19.32
202,8.30,11.16,19.32
207,8.51,11.00,19.23
212,9.04,10.74,19.44
217,9.66,10.73,19.49
221,9.80,10.83,19.52
226,11.02,10.87,19.54
231,12.38,10.60,19.54
236,14.59,10.35,19.54
239,14.30,10.11,19.54
244,14.14,9.52,19.54
249,14.81,8.50,19.54
254,16.19,7.31,19.54
258,17.92,6.00,19.54
263,18.62,4.38,19.44
268,18.97,6.53,19.16
273,18.15,2.99,18.24
277,18.54,1.87,16.46
281,19.01,-0.84,17.21
286,19.05,2.94,14.67
291,18.41,0.26,11.68
295,16.72,-1.01,5.58
300,18.14,-3.75,0.89
305,18.52,-6.03,-2.41
310,16.92,-9.78,-3.76
314,15.67,-10.14,-4.96
319,13.51,-11.87,-6.16
323,11.58,-14.89,-5.45
328,10.46,-15.51,-4.36
333,8.65,-15.08,-2.01
337,6.52,-14.97,-1.09
342,5.60,-15.09,-0.89
347,5.05,-16.10,-1.53
352,4.44,-17.15,-1.89
356,3.03,-16.76,-1.76
361,2.24,-16.09,-1.80
365,1.35,-15.66,-2.16
369,0.46,-15.39,-2.46
374,-0.08,-14.60,-2.52
379,-0.15,-13.92,-2.25
384,-0.62,-13.27,-2.22
388,-1.47,-12.21,-2.43
393,-2.19,-11.47,-2.53
398,-2.67,-10.74,-2.78
403,-2.95,-10.25,-3.12
406,-3.03,-9.52,-3.15
411,-3.11,-8.63,-3.30
416,-3.25,-7.36,-3.04
420,-3.49,-6.38,-3.00
425,-3.49,-5.37,-2.28
430,-3.41,-4.88,-2.35
434,-3.33,-3.47,-2.04
439,-3.19,-2.39,-1.97
444,-3.34,-1.35,-2.39
448,-3.50,-0.60,-2.33
452,-3.68,0.33,-2.85
457,-3.60,1.11,-2.39
462,-4.09,1.53,-2.54
467,-4.14,1.70,-2.38
471,-4.16,2.21,-2.78
476,-4.38,2.70,-3.05
481,-4.42,3.12,-3.10
485,-4.35,3.44,-3.11
489,-4.14,3.39,-3.25
494,-3.92,2.35,-4.54
499,-4.59,2.99,-4.70
503,-5.50,3.76,-4.37
508,-5.56,4.04,-4.48
513,-5.19,4.12,-4.45
518,-5.48,4.21,-4.63
522,-5.40,4.21,-4.90
527,-5.22,4.23,-4.98
531,-5.18,4.37,-4.82
536,-4.82,4.34,-5.43
540,-4.65,4.67,-5.61
545,-4.89,4.89,-5.20
550,-4.89,4.96,-5.25
554,-4.86,4.97,-5.26
559,-4.80,5.13,-5.36
564,-4.74,5.15,-5.23
569,-4.69,5.19,-5.07
573,-4.69,4.97,-5.11
577,-4.34,5.18,-5.31
582,-3.86,5.13,-5.57
587,-3.61,5.23,-6.04
591,-3.39,5.28,-6.33
596,-3.32,5.48,-6.91
601,-2.99,5.89,-7.11
605,-2.87,6.21,-7.33
610,-2.11,6.59,-8.12
614,-2.51,6.94,-7.10
619,-2.51,7.20,-7.04
623,-2.39,6.95,-7.58
628,-1.90,6.80,-7.73
633,-1.05,6.61,-7.81
638,-0.52,6.04,-8.19
642,-0.19,5.91,-8.72
647,0.09,5.89,-8.70
652,0.65,5.67,-8.82
655,0.97,5.58,-8.84
660,1.63,5.23,-8.59
665,2.33,5.09,-8.45
670,2.99,4.76,-8.43
674,3.57,4.49,-7.85
679,4.53,3.94,-7.40
684,5.07,3.61,-6.96
688,5.85,3.24,-6.95
693,6.65,2.88,-6.89
697,7.22,2.39,-5.84
702,7.86,1.88,-4.83
706,8.57,1.64,-4.29
711,9.31,0.88,-3.27
716,9.83,-0.12,-2.71
721,10.56,-1.34,-1.71
725,11.16,-2.53,-1.60
730,11.84,-3.62,-0.88
735,12.26,-4.83,0.17
739,12.43,-5.24,1.33
743,12.56,-6.26,2.82
748,12.35,-7.17,4.53
753,11.98,-7.47,6.98
758,11.43,-8.18,9.50
762,11.31,-8.41,11.13
767,11.68,-8.42,14.15
772,12.14,-8.14,17.25
777,12.31,-7.79,18.90
780,11.59,-8.38,19.39
785,11.25,-8.36,19.50
790,11.13,-8.47,19.53
795,11.59,-7.95,19.54
799,10.23,-7.55,19.54
804,10.55,-7.93,19.54
809,8.69,-8.41,19.54
814,7.92,-8.50,19.54
818,7.77,-7.85,19.54
822,7.08,-7.26,19.54
827,6.08,-6.68,19.54
832,5.38,-5.86,19.54
836,4.89,-5.36,19.54
841,4.41,-4.74,19.54
846,3.97,-3.94,19.54
851,3.67,-3.12,19.54
856,3.29,-2.55,19.54
860,3.02,-2.05,19.54
864,2.93,-1.71,19.54
869,2.85,-1.82,19.54
874,2.53,-1.73,19.54
878,2.64,-1.69,19.54
883,2.60,-2.12,19.48
888,2.36,-2.60,19.44
893,2.01,-3.38,19.23
897,1.98,-4.67,18.91
902,1.91,-5.85,18.62
906,1.89,-6.35,18.36
910,1.70,-7.00,18.15
915,1.73,-7.57,17.88
920,1.91,-7.93,17.78
925,1.95,-7.64,17.85
929,1.82,-7.22,17.73
934,1.94,-6.94,17.94
939,1.86,-6.21,17.69
944,2.10,-5.58,17.31
947,2.05,-5.20,16.74
952,2.22,-5.00,16.96
957,2.49,-4.60,17.16
962,2.34,-4.43,17.94
966,2.29,-4.48,18.92
971,2.37,-4.47,19.36
976,2.47,-4.56,19.50
981,2.54,-4.70,19.53
985,2.53,-5.08,19.54
989,2.51,-5.22,19.54
994,2.72,-5.37,19.54
999,2.76,-5.58,19.54
1003,2.79,-5.61,19.54
1008,2.82,-5.88,19.54
1013,2.77,-6.25,19.54
1018,2.86,-6.63,19.54
1022,2.85,-6.43,19.54
1027,3.07,-6.10,19.54
1031,3.24,-5.96,19.54
1036,3.67,-6.18,19.54
1040,3.93,-6.18,19.54
1045,4.13,-6.29,19.54
1050,4.23,-6.43,19.46
1055,4.36,-6.51,19.41
1060,4.31,-6.60,19.09
1064,4.24,-6.58,19.12
1069,4.27,-6.58,18.96
1073,4.30,-6.51,18.55
1078,4.50,-6.40,18.30
1082,4.75,-6.02,17.73
1087,5.12,-5.52,17.22
1092,5.14,-5.03,16.87
1097,5.21,-4.67,16.62
1102,5.24,-4.46,16.25
1106,5.58,-4.25,15.71
1111,5.58,-3.92,15.25
1115,5.51,-3.79,14.61
1120,5.46,-3.75,14.42
1124,5.51,-3.81,13.94
1129,5.45,-4.06,13.74
1134,5.45,-4.25,13.61
1139,5.48,-4.53,13.39
1144,5.70,-4.78,13.26
1148,6.00,-5.24,12.85
1153,6.17,-5.80,12.00
1157,6.47,-6.38,11.14
1162,6.66,-6.65,10.03
1166,6.67,-7.26,9.54
1171,6.49,-7.77,8.75
1176,6.50,-8.08,7.64
1181,6.67,-8.52,6.09
1185,6.46,-8.83,5.05
1190,5.97,-9.20,4.27
1195,5.47,-9.67,3.66
1199,5.17,-10.01,2.85
1203,5.15,-10.28,2.50
1208,4.76,-10.40,1.79
1213,4.74,-10.16,0.85
1217,4.57,-9.96,0.10
1222,4.48,-9.65,-0.57
1227,4.18,-9.46,-0.82
1232,4.28,-8.70,-1.95
1236,4.16,-7.84,-2.52
1240,3.86,-7.69,-3.20
1245,3.75,-7.08,-4.44
1250,3.57,-6.36,-5.13
1254,3.34,-5.81,-5.78
1259,3.38,-5.29,-6.16
1264,3.29,-4.79,-7.59
1269,2.77,-4.52,-8.25
1273,2.24,-4.42,-9.02
1278,1.96,-3.96,-10.00
1282,1.78,-3.75,-10.81
1286,1.75,-3.30,-11.48
1291,1.62,-3.15,-11.95
1296,1.61,-3.20,-12.81
1301,1.62,-3.19,-13.53
1305,1.85,-2.93,-14.17
1310,1.68,-3.03,-15.03
1315,1.93,-2.74,-15.38
1320,2.28,-2.62,-15.38
1324,2.48,-2.60,-15.40
1328,3.40,-2.90,-15.58
1333,4.20,-2.61,-15.86
1338,5.21,-2.48,-15.13
1343,6.39,-2.50,-14.76
1347,7.63,-2.44,-14.07
1352,8.38,-2.40,-13.49
1357,9.67,-2.39,-12.77
1362,10.88,-2.47,-12.15
1365,12.21,-2.51,-11.07
1370,13.56,-2.60,-9.19
1375,14.96,-2.81,-7.15
1380,15.65,-3.14,-5.20
1384,16.90,-3.48,-2.91
1389,18.11,-3.73,-0.30
1394,18.98,-4.05,0.79
1399,19.36,-4.43,2.80
1403,19.50,-4.64,5.06
1407,19.53,-4.90,7.34
1412,19.54,-5.19,9.35
1417,19.54,-5.23,11.72
1421,19.54,-5.36,14.13
1426,19.54,-5.23,15.12
1431,19.53,-4.35,17.67
1436,19.48,-4.18,18.88
1440,19.30,-2.99,19.35
1445,18.57,-1.44,19.49
1449,17.81,0.49,19.53
1454,16.59,2.83,19.54
1459,15.68,5.34,19.54
1463,14.70,8.08,19.54
1468,13.04,10.71,19.54
1473,11.34,11.59,19.54
1478,11.01,12.96,19.54
1482,10.75,14.00,19.54
1487,9.93,14.88,19.54
1491,10.13,15.27,19.54
1496,10.09,15.33,19.54
1500,9.54,15.10,19.54
1505,8.41,15.09,19.54
1510,7.08,14.82,19.54
1515,6.09,14.56,19.54
1519,5.37,13.98,19.54
1524,4.32,13.36,19.54
1529,3.44,12.34,19.54
1533,4.05,10.95,19.54
1538,3.07,12.41,19.54
1542,2.98,13.50,19.54
1547,3.08,10.77,19.54
1552,3.22,6.40,19.54
1556,3.30,4.48,19.54
1561,3.11,2.89,19.54
1566,2.55,2.67,19.54
1570,2.40,1.93,19.45
1574,2.51,1.25,19.16
1579,2.91,0.81,18.41
1584,2.88,0.90,18.38
1589,3.40,1.35,17.67
1593,3.79,1.43,17.52
1598,4.15,1.00,16.07
1603,4.48,0.37,14.95
1608,4.43,-0.01,13.54
1612,4.47,-0.48,13.27
1616,4.44,-0.93,12.04
1621,4.29,-1.42,11.41
1625,4.14,-1.92,10.74
1630,3.86,-2.32,10.24
