timestamp,accX,accY,accZ
0,6.00,10.88,19.54
91,6.19,11.96,19.54
96,6.28,12.83,19.54
100,6.20,13.72,19.54
105,6.48,14.07,19.54
110,6.54,14.64,19.54
115,6.39,15.07,19.54
118,6.58,15.52,19.54
123,6.85,15.69,19.54
128,7.02,15.75,19.54
133,7.38,15.66,19.54
137,7.78,15.49,19.54
142,8.24,15.23,19.54
147,8.45,14.67,19.54
152,8.65,14.18,19.54
157,8.83,13.57,19.49
160,8.77,13.17,19.49
165,9.18,12.78,19.46
170,9.25,12.42,19.45
175,9.45,12.32,19.10
179,9.63,12.19,19.04
184,10.22,12.48,19.36
189,10.51,12.74,19.01
194,10.91,13.04,19.12
199,11.47,12.77,18.78
202,11.86,12.78,18.86
207,12.09,12.79,18.60
212,12.41,12.48,18.77
217,12.85,12.35,18.80
222,13.79,11.95,19.13
226,14.67,11.58,19.29
231,15.15,10.85,19.29
236,15.97,9.85,18.94
240,16.88,8.51,19.13
245,16.84,7.62,18.71
249,17.34,6.71,18.12
254,17.45,5.96,17.95
259,17.72,4.79,17.29
264,17.96,3.75,16.53
268,18.45,2.52,15.49
273,18.56,0.91,14.97
278,18.35,-0.44,13.76
282,18.00,-1.64,12.44
286,17.49,-2.32,10.79
291,16.87,-3.32,9.09
296,16.48,-4.43,7.93
301,15.98,-5.30,6.14
305,14.78,-5.85,4.64
310,13.95,-5.97,3.99
315,12.92,-6.00,2.21
320,11.70,-5.99,0.31
324,11.08,-6.06,-0.85
328,9.81,-6.26,-2.62
333,9.28,-6.44,-3.80
338,7.91,-6.54,-5.15
342,6.57,-6.47,-5.74
347,5.36,-6.54,-6.47
352,4.21,-6.63,-6.80
357,3.33,-6.55,-6.56
361,3.04,-6.59,-6.62
365,2.35,-6.61,-6.49
370,1.23,-6.66,-6.24
374,0.14,-6.95,-6.62
379,-0.48,-7.01,-6.34
384,-0.98,-6.89,-5.62
389,-1.45,-6.69,-4.88
393,-1.69,-6.68,-4.52
398,-2.37,-6.67,-3.61
403,-2.66,-6.56,-3.12
407,-2.84,-6.32,-2.89
412,-3.18,-6.07,-2.18
416,-3.27,-6.10,-1.81
421,-3.45,-6.00,-1.77
426,-3.58,-5.79,-1.75
430,-3.78,-5.56,-1.63
435,-3.99,-5.17,-1.80
440,-4.04,-5.07,-1.93
445,-4.19,-4.74,-2.27
449,-4.10,-4.66,-2.85
453,-4.26,-4.32,-3.36
458,-4.37,-3.93,-3.43
463,-4.53,-3.26,-3.63
467,-4.78,-3.05,-4.21
472,-4.67,-2.63,-4.00
477,-4.74,-2.19,-4.22
482,-4.63,-2.27,-4.34
486,-4.69,-1.79,-4.44
490,-4.81,-1.04,-4.67
495,-4.95,-0.51,-5.24
500,-5.14,0.16,-4.83
504,-5.26,0.91,-4.74
509,-5.22,1.35,-4.56
514,-4.87,1.69,-4.92
519,-4.99,2.08,-5.05
523,-5.17,2.45,-5.32
528,-5.12,2.38,-5.85
532,-5.09,2.58,-5.99
537,-5.08,2.48,-6.15
541,-5.09,2.55,-6.57
546,-4.56,2.59,-7.57
551,-4.71,2.54,-8.40
556,-4.64,2.52,-8.65
560,-4.58,2.45,-9.82
565,-4.44,2.41,-10.37
570,-4.25,2.26,-10.55
574,-4.16,2.07,-11.27
578,-3.88,1.99,-11.82
583,-3.47,2.12,-12.06
588,-3.30,2.05,-12.69
593,-3.23,2.00,-13.15
597,-2.83,2.28,-13.77
602,-2.30,2.46,-13.65
607,-1.68,2.70,-14.23
611,-1.29,2.92,-13.88
615,-0.72,3.30,-13.88
620,-0.37,3.40,-13.17
