timestamp,accX,accY,accZ
0,12.56,-3.93,4.52
91,8.79,-3.98,4.50
95,8.65,-4.16,5.01
100,8.66,-4.14,5.29
105,8.66,-4.13,5.78
110,8.56,-4.04,6.71
114,8.38,-3.90,7.29
118,8.38,-3.40,7.77
123,8.40,-3.05,8.39
128,8.52,-2.71,9.44
132,8.50,-2.57,10.30
137,8.53,-2.12,10.68
142,8.81,-2.20,11.36
147,9.06,-2.18,12.50
151,9.65,-1.80,13.56
155,10.29,-1.32,13.68
160,10.83,-0.74,14.50
164,11.21,-0.52,14.73
169,11.49,0.00,15.44
174,11.54,0.39,16.27
179,11.82,0.51,16.72
183,12.23,0.51,16.97
188,12.28,0.19,17.68
193,12.36,-0.47,17.59
197,12.66,-0.74,18.35
202,13.05,-1.25,18.60
206,13.08,-1.86,18.95
211,13.42,-2.39,19.23
216,13.74,-2.96,19.13
221,13.65,-3.56,19.20
225,13.66,-4.35,18.89
230,13.47,-4.67,18.98
235,13.54,-5.22,19.14
239,13.47,-5.61,19.19
243,13.62,-5.90,19.35
248,13.93,-5.60,19.48
253,14.04,-5.16,19.43
258,14.28,-4.54,19.16
262,14.49,-3.74,19.31
267,15.70,-3.53,19.11
272,16.61,-2.85,18.75
277,17.26,-2.09,18.10
280,18.10,-1.57,17.47
285,18.64,-1.38,16.96
290,18.81,-1.16,15.95
295,19.08,-1.02,14.54
299,19.42,-0.98,13.56
304,19.51,-1.48,12.86
309,19.51,-2.45,12.30
314,19.54,-3.62,11.75
318,19.37,-4.97,12.40
322,19.05,-6.27,12.84
327,18.39,-7.43,13.24
332,17.67,-7.96,14.00
337,17.28,-8.42,14.29
341,16.97,-8.65,13.76
346,16.87,-8.45,13.04
351,17.11,-8.00,11.07
356,16.81,-7.95,9.81
360,16.40,-4.63,8.97
364,14.95,-4.21,5.78
369,13.74,-6.49,2.64
374,12.04,-8.41,-0.45
378,11.57,-9.97,-0.90
383,10.06,-2.63,-0.47
388,8.29,2.40,-0.57
393,7.79,4.12,-1.30
397,9.04,5.15,-3.67
402,6.06,6.24,-5.59
406,4.41,7.85,-6.15
411,3.73,2.49,-9.72
415,2.30,-6.21,-10.76
420,-0.70,-8.84,-10.16
425,-2.89,-8.44,-7.13
430,-3.58,-6.23,-3.71
434,-3.24,-4.88,-0.32
439,-2.57,-1.67,2.50
444,-2.25,1.03,4.33
448,-2.16,2.13,4.83
452,-2.62,1.09,4.88
457,-2.98,0.15,4.24
462,-2.69,0.00,3.67
466,-2.64,0.68,3.57
471,-2.36,2.16,2.64
476,-2.45,2.26,1.00
481,-2.11,1.71,-0.80
485,-2.19,1.48,-1.85
489,-2.27,1.49,-3.28
494,-2.61,1.86,-4.76
498,-2.80,2.20,-5.62
503,-3.12,2.11,-5.96
508,-3.83,1.62,-6.20
513,-4.29,1.33,-6.33
517,-4.82,1.32,-6.24
522,-5.41,1.33,-5.00
527,-5.87,1.21,-4.04
531,-6.18,1.02,-3.30
535,-6.53,0.75,-2.00
540,-6.87,0.43,-0.95
545,-7.04,-0.02,-0.62
550,-6.88,-0.51,-0.01
554,-6.99,-0.97,0.20
559,-7.01,-1.31,0.52
564,-6.99,-1.47,0.23
568,-7.10,-1.70,-0.11
572,-7.27,-1.98,-0.26
577,-7.41,-2.27,-0.95
582,-7.73,-2.64,-1.15
586,-7.73,-2.78,-1.31
591,-7.78,-3.11,-1.79
596,-7.86,-3.52,-1.94
601,-8.15,-3.80,-1.96
605,-8.20,-4.23,-2.16
610,-8.20,-4.76,-2.06
614,-8.22,-5.40,-1.95
619,-8.59,-5.72,-1.70
623,-8.58,-6.45,-1.03
628,-8.33,-7.06,-0.80
633,-8.28,-7.45,-0.52
638,-8.24,-7.85,0.11
642,-7.96,-8.33,0.23
647,-7.71,-8.41,-0.09
652,-7.69,-8.33,0.09
656,-7.49,-8.18,-0.08
660,-7.28,-7.81,-0.49
665,-7.00,-7.32,-0.64
670,-6.82,-6.85,-0.50
675,-6.53,-6.18,-1.12
679,-6.36,-5.68,-1.18
684,-6.04,-5.41,-1.93
689,-5.56,-4.87,-2.80
693,-5.39,-4.12,-3.71
697,-5.03,-3.49,-5.20
702,-4.64,-2.73,-6.20
707,-4.62,-1.39,-7.78
711,-4.57,0.01,-9.51
716,-4.41,1.08,-10.79
721,-4.29,3.10,-11.91
726,-4.29,5.37,-12.98
730,-4.12,7.48,-13.51
735,-4.07,9.22,-13.04
739,-3.74,10.48,-12.86
744,-3.17,10.74,-11.83
748,-2.36,10.75,-9.22
753,-1.49,10.13,-7.25
758,-1.01,8.91,-4.99
763,0.03,7.40,-3.02
767,0.57,5.78,-0.95
772,1.35,4.48,-0.18
777,2.16,3.06,0.62
781,3.58,2.39,0.23
785,4.78,1.35,-1.60
790,5.05,0.78,-3.98
795,5.11,0.23,-6.42
799,5.74,0.53,-7.82
804,7.31,0.61,-9.33
809,8.92,0.72,-10.71
814,10.03,0.29,-11.33
818,12.95,-1.07,-11.80
822,13.69,-4.13,-11.49
827,14.63,-8.32,-10.65
832,15.41,-12.14,-10.14
836,16.52,-15.36,-8.32
841,17.33,-17.68,-6.34
846,18.14,-18.50,-2.47
851,18.45,-19.25,1.51
856,19.07,-19.46,5.82
860,19.18,-19.52,10.12
864,18.84,-19.53,12.59
869,18.55,-19.53,13.96
