timestamp,accX,accY,accZ
0,15.41,-0.60,13.84
91,15.49,-1.38,13.98
95,15.61,-1.90,13.93
100,15.92,-2.68,13.59
105,16.23,-2.63,13.37
109,16.35,1.57,13.77
114,16.04,3.87,11.54
118,17.03,2.04,6.51
123,17.92,-8.89,1.15
128,18.72,-15.22,-1.14
133,16.94,-15.07,-1.62
137,13.38,-11.26,-1.10
142,11.47,-6.37,0.10
147,9.49,-4.94,1.36
151,8.52,-2.45,2.49
155,8.70,-3.97,2.43
160,7.80,-4.14,1.53
165,7.57,-5.04,1.15
169,7.20,-4.29,0.70
174,6.72,-4.43,-0.23
179,6.45,-4.42,-1.34
183,6.26,-3.00,-3.07
188,5.78,-3.73,-4.14
192,5.16,-2.98,-4.89
197,4.13,-2.71,-5.23
201,2.96,-2.06,-5.53
206,2.15,-1.68,-5.80
211,1.38,-1.32,-5.99
216,0.66,-0.55,-5.90
220,0.15,-0.15,-5.65
225,-1.14,-0.23,-4.61
230,-1.94,-0.66,-3.91
234,-2.49,-1.02,-3.09
238,-2.87,-1.06,-1.86
243,-3.13,-0.89,-0.62
248,-3.20,-0.74,0.22
252,-3.48,-0.85,0.90
257,-4.00,-1.10,0.80
262,-4.18,-1.48,0.29
267,-4.40,-1.78,-0.45
271,-4.53,-1.95,-1.20
276,-4.86,-1.87,-2.54
280,-4.94,-1.69,-3.04
285,-5.41,-1.19,-3.56
289,-5.56,-0.86,-3.87
294,-5.68,-0.52,-4.26
299,-5.80,-0.16,-4.86
304,-6.33,-0.12,-4.89
308,-6.63,0.05,-5.00
313,-6.74,0.13,-4.95
317,-6.91,0.11,-4.74
321,-6.99,-0.03,-4.61
326,-7.10,-0.28,-4.00
331,-7.11,-0.46,-3.34
336,-7.40,-0.39,-3.00
340,-7.72,-0.24,-2.30
345,-7.87,-0.03,-1.97
350,-7.88,0.31,-1.82
355,-7.61,0.44,-1.72
359,-7.76,0.67,-1.35
363,-7.68,0.67,-1.49
368,-7.67,0.95,-1.66
372,-7.80,1.18,-0.92
377,-7.63,1.37,-1.03
382,-7.46,1.41,-0.82
387,-7.58,1.42,-0.34
391,-7.38,1.42,-0.46
