timestamp,accX,accY,accZ
0,10.52,-0.75,14.11
91,10.13,-1.00,14.54
95,9.91,-1.22,15.26
100,9.44,-1.28,15.79
105,9.13,-1.17,15.66
110,8.70,-0.47,15.45
114,9.72,-0.08,15.50
118,10.72,0.15,15.98
123,11.72,0.66,15.63
128,12.08,0.76,15.15
132,12.73,1.10,13.82
137,13.45,1.13,13.38
142,13.97,0.97,12.74
147,13.88,0.53,12.37
151,13.39,-0.07,11.66
156,13.15,-0.61,11.16
160,13.27,-0.66,10.02
165,13.58,0.50,9.53
169,14.03,1.91,9.22
174,14.89,1.25,7.84
179,15.59,1.05,5.38
183,15.93,-3.30,3.08
188,14.54,-2.62,3.51
193,14.00,6.01,2.59
198,13.13,4.03,1.90
201,13.25,3.65,0.52
206,12.59,3.07,-0.71
211,10.49,1.51,-2.23
216,8.72,-3.33,-2.88
220,7.15,-6.33,-2.81
225,6.51,-6.55,-1.21
230,6.12,-4.77,0.62
235,6.05,-3.71,1.39
239,5.31,-4.01,2.28
243,4.61,-4.02,2.44
248,4.05,-4.02,2.86
253,4.20,-3.48,2.09
257,4.09,-2.78,1.24
262,4.37,-2.34,-0.36
267,4.17,-1.97,-1.07
272,3.51,-2.10,-3.62
276,2.52,-2.17,-5.80
281,1.36,-2.50,-7.46
285,0.22,-2.98,-9.18
290,-0.34,-2.54,-10.31
294,-1.36,-2.47,-10.82
299,-2.12,-1.98,-11.03
304,-3.09,-1.51,-10.92
308,-3.82,-1.05,-10.25
313,-4.46,-0.34,-9.46
318,-5.33,0.33,-8.53
323,-5.45,0.92,-7.27
326,-5.45,1.46,-5.88
331,-5.66,1.64,-5.32
336,-5.55,1.77,-4.26
341,-5.80,1.72,-3.22
345,-6.09,1.43,-2.72
350,-6.19,1.05,-2.69
355,-6.21,0.60,-2.17
360,-6.30,0.19,-1.92
364,-6.30,-0.21,-1.69
368,-6.29,-0.65,-1.57
373,-6.12,-0.87,-1.28
377,-6.09,-1.31,-1.74
382,-6.10,-1.47,-1.87
387,-6.04,-1.78,-2.06
392,-6.13,-2.07,-2.10
396,-6.20,-1.99,-2.16
401,-6.13,-2.08,-2.30
406,-6.20,-2.41,-2.56
409,-6.23,-2.64,-3.44
414,-6.33,-2.71,-3.48
419,-6.49,-2.90,-3.61
424,-6.39,-3.26,-3.94
428,-6.63,-3.46,-4.19
433,-6.76,-3.68,-3.80
438,-6.48,-3.71,-3.97
443,-6.23,-3.56,-4.11
447,-6.18,-3.74,-4.44
451,-5.97,-3.58,-4.36
456,-6.19,-3.42,-4.36
460,-5.89,-3.41,-4.65
465,-5.81,-3.07,-4.77
470,-5.59,-2.92,-5.25
474,-5.66,-2.91,-5.58
479,-5.51,-2.86,-5.37
484,-5.17,-2.76,-5.59
489,-5.13,-2.62,-5.76
492,-4.76,-2.70,-5.74
497,-4.30,-2.57,-6.25
502,-4.18,-2.60,-6.39
507,-3.86,-2.59,-6.12
511,-3.50,-2.43,-6.18
