timestamp,accX,accY,accZ
0,10.01,0.75,10.69
91,10.18,0.72,10.41
95,10.49,0.44,11.27
100,11.40,0.70,11.77
105,12.54,1.03,11.77
109,13.94,1.46,11.34
113,15.21,1.71,10.85
118,15.50,0.80,10.11
123,15.44,2.69,8.48
128,14.82,3.16,7.31
133,14.83,7.93,6.21
137,14.18,10.48,3.98
142,14.55,6.44,2.56
147,14.21,-0.51,-1.31
150,14.31,-5.40,-4.01
155,11.83,-5.39,-4.73
160,10.05,-3.47,-5.27
165,9.54,-2.41,-6.00
169,9.48,-3.12,-7.78
174,7.17,-6.01,-8.48
179,5.32,-7.79,-9.13
184,3.24,-7.44,-8.00
188,2.05,-5.79,-6.40
192,1.73,-5.50,-4.40
197,1.45,-5.48,-2.25
201,1.55,-4.64,-0.65
206,1.55,-3.12,0.29
211,1.74,-1.42,1.46
216,2.00,-1.23,1.59
220,2.23,-1.53,0.69
225,1.96,-2.46,-1.07
230,1.70,-3.51,-3.05
234,1.07,-4.19,-4.16
238,0.31,-4.38,-5.49
243,-0.57,-4.19,-6.01
248,-1.31,-3.98,-6.73
252,-2.20,-3.50,-7.37
257,-2.62,-2.93,-7.11
262,-3.53,-2.14,-6.47
267,-4.38,-1.71,-6.32
271,-5.19,-1.25,-5.33
275,-5.51,-1.05,-4.61
280,-5.96,-0.81,-3.20
285,-5.96,-0.81,-2.16
289,-6.10,-0.84,-1.02
294,-6.02,-0.91,-0.97
299,-6.11,-0.80,-0.27
303,-6.30,-0.66,-0.51
308,-6.60,-0.48,-0.63
313,-6.60,0.04,-0.94
317,-6.66,0.35,-1.21
321,-6.69,0.88,-1.82
326,-6.90,1.29,-2.28
331,-6.86,1.60,-2.96
335,-7.04,1.64,-3.39
340,-6.98,1.56,-4.32
345,-6.88,1.31,-4.71
350,-7.02,0.92,-4.93
354,-6.74,0.38,-5.58
358,-6.91,0.11,-5.58
363,-7.00,-0.12,-5.29
368,-6.95,-0.48,-5.24
372,-7.16,-0.93,-4.90
377,-7.28,-1.40,-4.71
382,-6.99,-1.71,-4.72
387,-7.08,-1.75,-4.83
391,-6.81,-1.69,-4.38
396,-6.54,-1.77,-4.37
400,-6.59,-1.86,-4.26
404,-6.55,-1.72,-4.47
409,-6.54,-1.60,-4.54
414,-6.30,-1.66,-4.79
419,-6.17,-1.72,-5.05
423,-5.91,-1.76,-5.41
428,-5.88,-1.88,-5.21
433,-5.87,-2.03,-5.07
437,-5.53,-2.14,-5.12
441,-5.30,-2.18,-5.49
446,-4.95,-2.46,-6.00
451,-4.59,-2.75,-6.15
456,-4.48,-3.27,-6.81
460,-4.01,-3.46,-7.51
465,-3.45,-3.70,-7.90
470,-2.95,-3.84,-8.87
474,-2.71,-4.14,-8.92
479,-2.30,-4.59,-9.35
483,-1.68,-4.90,-9.72
488,-1.32,-5.02,-10.17
492,-0.47,-4.98,-10.12
497,0.61,-4.91,-9.97
502,1.11,-4.86,-9.60
507,2.01,-4.88,-9.12
511,2.59,-5.21,-8.77
516,3.14,-5.32,-8.04
521,3.98,-5.39,-7.31
525,4.74,-5.41,-6.49
529,6.04,-5.70,-5.54
534,6.43,-5.88,-5.23
539,7.35,-6.21,-4.54
544,8.26,-6.30,-3.95
548,9.15,-6.42,-1.91
553,9.92,-7.34,0.07
558,10.71,-8.01,3.12
563,11.09,-9.76,5.84
566,11.10,-12.27,9.00
571,11.18,-14.64,12.89
576,11.06,-17.33,15.13
580,11.08,-18.83,17.94
585,10.45,-19.33,19.14
590,10.85,-19.45,19.45
595,12.03,-19.51,19.52
599,12.71,-19.53,19.54
604,13.03,-19.53,19.54
608,12.93,-19.53,19.54
613,12.90,-19.53,19.54
618,12.88,-19.26,19.54
622,12.80,-18.64,19.54
627,12.68,-17.11,19.54
632,12.21,-15.22,19.54
637,12.11,-13.25,19.54
642,11.81,-11.45,19.54
646,11.64,-9.68,19.54
650,10.81,-7.65,19.54
655,10.11,-4.76,19.54
660,9.93,-3.29,19.54
664,9.37,-0.39,19.54
669,8.21,1.71,19.54
674,7.67,2.68,19.54
679,5.93,2.47,19.54
683,4.31,1.63,19.54
688,3.35,0.46,19.54
692,3.08,-0.09,19.54
697,2.76,-1.27,19.50
701,2.57,-2.61,19.52
706,2.38,-4.21,19.51
711,1.90,-5.25,19.37
716,1.84,-6.30,19.26
720,1.86,-7.30,18.66
725,1.98,-7.82,17.84
730,2.08,-8.79,16.65
734,2.31,-9.33,15.71
738,2.23,-8.96,14.71
743,2.39,-8.49,13.61
748,2.30,-7.82,13.41
753,2.33,-6.92,12.42
757,2.10,-5.93,11.72
762,2.14,-5.70,10.30
767,2.01,-5.73,9.10
772,2.07,-6.70,8.23
775,1.83,-7.15,8.09
780,1.73,-6.32,7.84
785,1.54,-5.33,8.08
789,1.68,-4.97,7.59
794,1.48,-4.54,7.17
799,1.47,-4.33,7.09
804,1.36,-4.12,7.31
808,1.12,-3.60,7.18
813,0.89,-2.75,7.20
817,0.60,-2.35,7.42
822,0.45,-2.48,7.51
826,0.43,-2.35,7.85
831,0.26,-2.27,8.08
836,0.22,-2.93,8.30
840,0.34,-3.14,8.48
845,0.12,-3.47,8.76
850,0.11,-3.67,9.10
855,0.15,-3.97,8.88
858,0.21,-4.25,8.24
863,0.19,-4.25,8.04
868,0.16,-4.21,7.76
873,0.18,-4.24,7.58
877,0.18,-4.26,7.23
882,0.28,-4.26,6.92
887,0.33,-4.27,6.26
892,0.45,-4.08,5.75
896,0.34,-3.99,5.24
900,0.17,-3.94,5.03
905,-0.08,-3.74,5.09
909,-0.06,-3.65,4.89
914,0.03,-3.52,4.88
919,-0.02,-3.38,4.86
923,-0.26,-3.35,4.57
928,-0.49,-3.21,5.05
933,-0.46,-2.94,5.12
938,-0.52,-2.83,5.91
941,-0.43,-2.83,6.17
946,-0.21,-2.90,6.26
951,-0.13,-2.80,6.45
955,-0.07,-2.80,6.10
960,-0.21,-2.74,6.39
965,-0.07,-2.85,6.45
970,0.01,-2.80,6.31
974,0.02,-2.84,6.19
979,0.14,-2.52,6.09
983,0.15,-2.49,6.30
988,0.34,-2.26,6.46
992,0.34,-1.93,6.35
997,0.67,-1.61,6.39
1002,0.83,-1.48,5.96
1006,1.01,-1.16,5.79
1011,1.08,-0.99,5.50
1016,1.29,-0.80,5.55
1021,1.65,-0.69,5.35
1024,2.02,-0.39,5.32
1029,2.33,-0.16,5.41
1034,2.65,-0.08,5.57
1038,2.90,-0.09,5.87
1043,3.26,-0.56,6.01
1048,3.45,-1.00,6.26
1053,3.76,-1.67,6.26
1057,4.10,-2.22,6.33
1062,4.54,-2.64,6.68
1066,4.90,-3.14,6.88
1071,5.23,-3.42,6.82
1075,5.27,-3.50,7.10
1080,5.34,-3.47,7.31
1085,5.76,-3.33,7.29
1089,5.85,-3.09,7.31
1094,6.09,-3.05,7.41
1099,6.24,-3.07,7.33
1103,6.24,-3.17,7.55
