timestamp,accX,accY,accZ
0,10.53,-0.44,5.84
91,10.90,-0.27,6.56
95,11.16,-0.18,6.98
100,11.05,-0.05,7.47
105,11.53,-0.04,7.89
110,11.73,0.14,8.01
114,11.98,0.41,8.77
118,12.25,0.58,9.05
123,12.58,0.84,9.53
128,13.20,1.11,10.01
132,13.41,1.35,10.84
137,13.92,1.54,11.27
142,14.27,1.87,11.49
147,14.72,2.04,12.08
151,15.10,2.04,12.86
156,15.48,2.07,13.35
160,15.93,2.05,13.76
165,16.10,2.04,13.80
170,16.25,1.90,14.45
174,16.39,1.69,15.32
179,16.69,1.52,15.82
184,16.96,1.49,16.44
189,17.02,1.32,17.48
193,17.47,0.92,18.49
198,17.66,0.36,19.23
202,17.90,0.01,19.44
207,18.35,-0.25,19.52
211,19.16,0.03,19.53
216,19.45,0.33,19.54
221,19.52,0.89,19.54
226,19.54,0.86,19.54
230,19.54,1.58,18.81
235,19.54,1.73,16.97
240,19.54,1.21,14.65
244,19.54,0.60,13.15
248,19.54,0.03,10.55
253,19.54,-0.61,8.23
258,19.54,-0.71,6.11
263,19.54,-0.80,4.79
267,19.54,-0.93,4.54
272,19.54,-1.02,4.77
277,19.28,-1.04,4.59
282,18.25,-1.06,5.24
285,17.56,-0.80,6.42
290,16.73,-0.84,7.51
295,16.15,-0.52,8.44
300,15.87,-0.39,9.07
304,15.36,-0.61,9.18
309,14.86,-0.62,9.38
314,14.20,-0.68,9.52
319,14.01,-0.54,9.84
323,14.06,-0.48,9.69
327,14.04,-0.09,9.99
332,13.97,0.20,10.01
337,13.85,0.63,9.22
341,14.07,1.08,8.88
346,14.02,1.25,8.41
351,12.96,0.83,7.30
356,11.98,0.82,6.64
360,11.01,0.79,6.29
365,10.37,1.99,5.90
369,9.23,2.87,6.46
373,9.19,3.30,6.67
378,8.80,2.11,6.69
383,8.54,1.21,6.98
387,8.05,5.49,8.44
392,7.66,9.03,8.14
397,9.67,8.24,4.79
402,10.60,4.16,3.04
406,10.42,2.09,2.21
410,9.82,-1.69,0.35
415,10.21,-3.51,-1.07
420,9.82,-5.19,-1.93
424,9.21,-6.18,-1.74
429,7.85,-5.66,-0.76
434,7.25,-4.10,-0.33
438,7.20,-2.66,1.02
443,7.39,-2.78,1.46
448,7.19,-4.44,1.10
452,6.49,-5.73,0.77
456,6.25,-6.11,0.78
461,6.02,-5.77,0.01
466,5.87,-5.71,-0.51
471,5.16,-6.90,-2.73
475,4.27,-7.57,-5.87
480,2.76,-9.27,-8.51
485,2.03,-9.28,-10.69
489,0.57,-9.22,-12.29
493,-0.71,-7.25,-12.62
498,-2.29,-6.39,-13.15
503,-2.63,-4.89,-13.27
507,-3.66,-3.87,-11.52
512,-4.44,-2.42,-10.64
517,-4.79,-0.68,-8.90
522,-5.51,0.72,-6.78
526,-5.81,1.95,-6.17
531,-6.00,3.07,-4.69
535,-5.93,3.47,-2.82
540,-5.87,4.00,-1.47
544,-5.87,3.88,-0.53
549,-6.02,3.56,-0.01
554,-6.29,3.06,0.34
558,-6.22,2.60,0.31
563,-6.13,2.28,0.44
568,-6.00,1.90,0.07
572,-6.00,1.22,-0.57
576,-6.02,0.61,-0.98
581,-5.97,0.01,-1.86
586,-5.79,-0.46,-2.23
590,-5.76,-0.98,-3.54
595,-5.73,-1.48,-4.13
600,-5.87,-1.71,-5.01
605,-6.18,-2.16,-5.30
609,-6.14,-2.66,-5.88
614,-6.23,-3.01,-6.18
618,-6.02,-3.27,-6.46
