timestamp,accX,accY,accZ
0,16.18,-3.58,16.07
91,16.23,-3.58,16.97
95,16.52,-3.63,17.18
100,16.68,-3.84,17.41
104,16.89,-4.41,17.38
109,16.95,-4.78,17.26
113,16.67,-5.10,16.55
118,16.44,-5.20,16.32
123,16.02,-5.05,16.10
128,16.01,-4.70,15.53
132,15.68,-4.46,15.14
137,15.76,-3.98,15.01
141,15.89,-3.59,14.76
146,16.05,-3.31,14.15
151,15.91,-3.14,13.90
155,15.75,-2.78,13.16
160,15.59,-2.28,12.58
165,15.55,-2.04,12.31
169,15.25,-1.93,11.81
174,14.81,-1.90,11.31
179,14.63,-1.93,11.00
183,14.19,-1.73,10.76
188,13.69,-1.73,10.15
192,13.48,-1.78,9.76
197,13.00,-1.81,9.80
202,12.85,-1.74,10.25
207,12.43,-1.35,10.36
211,11.73,-1.16,10.12
216,10.96,-0.98,10.44
221,10.15,-0.76,10.87
225,9.27,-0.25,10.63
229,8.94,0.25,11.05
234,8.38,0.57,11.27
239,8.14,0.57,11.24
244,8.86,0.72,11.31
248,9.77,1.05,11.28
253,10.55,2.26,11.19
258,11.56,3.58,10.55
263,11.92,5.35,10.26
266,13.15,6.16,10.61
271,14.64,4.84,11.44
276,15.79,4.32,11.35
281,16.66,3.60,11.36
285,16.59,3.85,10.79
290,16.78,9.44,9.12
295,17.42,9.06,3.80
300,18.78,1.86,-1.48
304,18.16,-4.89,-4.08
308,15.51,-6.80,-7.85
313,11.86,-6.40,-9.86
318,9.28,-5.57,-10.41
322,7.53,-5.88,-10.06
327,7.69,-7.87,-10.09
332,5.59,-10.06,-9.19
337,3.51,-10.25,-8.27
341,2.45,-10.07,-6.32
346,1.97,-10.09,-4.19
350,1.68,-9.77,-2.02
355,1.39,-9.14,-0.58
359,1.25,-7.85,1.24
364,1.08,-6.43,2.10
369,0.75,-5.45,2.11
374,0.36,-5.45,1.63
378,-0.16,-5.74,0.70
383,-0.54,-6.04,-0.70
388,-0.91,-6.40,-2.04
391,-1.05,-6.10,-3.02
396,-1.24,-5.34,-3.60
401,-1.46,-4.33,-3.78
406,-1.67,-3.28,-3.86
410,-2.30,-2.87,-4.14
415,-2.88,-2.06,-4.46
420,-3.28,-1.20,-4.28
425,-3.28,-0.34,-4.50
429,-3.69,0.34,-4.62
433,-4.24,0.88,-4.43
438,-4.59,0.96,-4.35
443,-5.03,0.92,-4.23
447,-5.28,0.56,-4.23
452,-5.48,0.27,-4.66
457,-5.52,0.11,-4.56
462,-5.80,0.13,-5.21
466,-6.01,0.24,-5.11
471,-6.29,0.37,-5.41
475,-6.37,0.35,-5.62
479,-6.43,0.50,-5.98
484,-6.62,0.81,-6.42
489,-6.64,1.02,-7.10
493,-6.86,1.55,-7.35
498,-6.94,1.78,-7.57
503,-7.09,1.81,-7.58
508,-6.94,1.57,-7.57
512,-6.97,1.47,-7.79
516,-7.05,1.42,-7.61
521,-7.01,1.02,-7.76
526,-6.97,0.89,-7.51
530,-6.88,0.69,-6.88
535,-6.84,0.45,-6.68
540,-6.76,0.23,-6.64
545,-6.56,-0.11,-6.36
549,-6.40,-0.47,-6.20
554,-6.41,-0.86,-5.98
558,-6.14,-1.30,-6.02
562,-6.24,-1.57,-5.71
567,-6.01,-1.93,-5.53
572,-5.37,-2.25,-5.39
577,-5.28,-2.62,-4.72
581,-4.90,-2.85,-4.51
586,-4.53,-2.92,-4.13
591,-3.98,-3.14,-4.08
596,-3.75,-3.10,-3.76
600,-3.38,-3.10,-3.36
604,-3.40,-3.07,-4.02
609,-2.97,-3.06,-4.11
613,-2.57,-2.80,-4.03
618,-2.18,-2.89,-4.67
623,-2.00,-2.73,-5.09
628,-1.42,-2.61,-5.27
632,-1.02,-2.70,-5.48
637,-0.81,-2.65,-6.14
641,-0.22,-2.49,-5.94
645,0.08,-2.45,-5.69
650,0.81,-2.58,-5.43
655,1.32,-2.71,-4.89
660,1.57,-2.98,-4.01
664,2.00,-3.69,-2.45
669,2.24,-3.86,0.17
674,2.57,-3.60,3.12
679,2.67,-3.09,3.97
683,3.23,-2.95,5.18
687,4.32,-3.20,6.13
692,4.89,-3.62,6.34
697,4.93,-4.14,6.71
701,5.01,-4.73,7.17
706,4.98,-5.20,7.20
711,5.22,-5.68,7.40
716,5.47,-5.84,7.76
720,6.03,-6.18,8.10
725,5.87,-7.22,8.83
729,5.65,-8.50,8.22
733,6.45,-9.93,9.18
738,6.94,-12.10,9.80
743,7.49,-14.18,12.08
747,7.58,-14.99,14.65
752,7.92,-16.27,17.50
757,8.53,-16.99,19.03
762,8.73,-16.75,19.42
766,9.41,-16.35,19.51
770,9.67,-15.99,19.53
775,9.58,-15.44,19.54
780,9.10,-14.48,19.54
785,10.35,-13.72,19.54
789,11.22,-12.15,19.54
794,11.64,-10.17,19.54
799,11.67,-8.19,19.54
804,11.37,-6.12,19.54
808,10.82,-4.21,19.54
812,10.02,-2.74,19.54
817,9.05,-2.01,19.54
822,8.78,-1.70,19.54
827,7.83,-1.35,19.54
831,7.52,-1.33,19.54
836,6.96,-1.21,19.54
841,6.53,-1.19,19.54
846,6.01,-1.09,19.54
850,5.64,-0.85,19.54
854,5.15,-0.67,19.54
859,4.73,-0.62,19.54
863,4.46,-0.61,19.49
868,3.98,-0.73,19.08
873,3.68,-0.45,18.93
878,3.37,0.17,18.45
882,3.18,-0.21,17.00
887,2.74,-0.64,16.01
891,2.59,-2.26,14.77
896,2.41,-4.03,13.99
900,2.29,-4.84,13.01
905,2.27,-4.64,12.63
910,2.41,-4.70,12.17
915,2.25,-4.68,11.56
919,2.22,-4.72,10.93
924,2.03,-4.95,10.24
929,1.85,-5.68,9.30
933,2.16,-6.24,8.77
937,1.90,-6.35,8.64
942,1.84,-5.76,8.20
947,2.07,-5.27,7.86
952,2.09,-4.67,7.64
956,1.82,-4.52,7.10
961,1.97,-4.48,6.79
966,2.11,-4.47,6.45
971,1.87,-4.18,6.54
975,1.68,-3.85,6.17
979,1.60,-3.78,5.83
984,1.59,-2.00,5.89
989,1.35,-3.78,5.60
993,1.50,-3.96,5.38
998,1.43,-3.54,5.56
1003,1.47,-3.85,5.67
1007,1.27,-4.18,5.82
1012,0.67,-3.98,6.44
1016,0.86,-3.82,6.48
1021,0.94,-3.92,6.49
1025,0.95,-3.71,6.75
1030,0.76,-3.78,7.08
1035,0.71,-4.31,7.07
1039,0.69,-4.90,6.99
1044,0.57,-5.03,7.46
1049,0.70,-5.15,7.17
1054,0.63,-5.03,7.16
1058,0.51,-4.64,7.51
1062,0.63,-4.18,7.21
1067,0.67,-3.82,7.59
1071,0.74,-3.49,7.59
1076,0.81,-3.00,7.46
1081,0.87,-2.71,7.63
1086,0.74,-2.45,7.52
1090,0.95,-2.17,7.51
1095,1.04,-1.81,7.43
1100,0.88,-1.67,7.71
1104,0.89,-1.75,7.87
1108,1.16,-1.72,7.92
1113,1.22,-2.06,7.78
1118,1.14,-2.17,8.04
1122,1.28,-2.27,8.03
1127,1.52,-2.28,8.34
1132,1.94,-2.14,7.93
1136,1.99,-1.93,7.75
1141,2.07,-1.59,7.95
1145,2.09,-1.28,7.77
1150,2.22,-0.98,7.73
1154,2.16,-0.65,7.67
1159,2.34,-0.20,7.48
1164,2.44,0.03,7.65
1169,2.42,0.70,7.81
1173,2.61,1.45,7.85
1178,2.63,2.32,8.27
1183,2.80,3.13,8.58
1186,3.10,3.69,9.04
1191,3.35,3.91,9.44
1196,3.92,4.25,9.80
1200,4.17,4.13,10.62
1205,4.66,3.85,10.79
1210,5.06,3.34,11.33
1215,5.51,2.71,11.60
1219,5.95,2.00,12.41
1224,6.55,1.66,12.58
1228,6.82,1.23,13.08
1233,6.97,0.94,13.30
1237,7.48,0.65,14.08
1242,7.63,0.57,14.02
1247,7.85,0.69,14.44
1252,8.57,1.18,15.04
1256,8.86,1.14,15.23
1261,9.37,1.22,15.50
1266,9.57,1.17,16.15
1270,10.10,0.86,16.26
1274,10.82,0.71,16.30
1279,11.48,0.80,16.57
1284,11.57,1.02,16.07
1289,11.73,1.21,16.18
1293,11.47,1.46,16.31
1298,11.62,1.70,16.42
1303,11.64,1.96,16.07
1308,11.91,2.27,16.03
1311,12.53,2.83,15.75
1316,12.73,3.11,15.85
1321,12.86,3.15,16.16
1326,13.09,3.32,16.21
1330,13.43,3.62,16.92
1335,13.64,3.56,17.18
1340,14.13,3.38,17.35
1345,14.49,2.65,17.72
1350,14.76,1.88,18.17
1353,14.84,1.16,18.20
1358,14.77,-0.18,18.08
1363,14.70,-1.58,18.43
1368,14.59,-3.10,18.37
1372,14.38,-4.41,18.10
1377,13.81,-5.55,17.86
1382,13.47,-6.58,17.25
1387,13.05,-7.45,16.30
1391,12.68,-7.87,15.66
1395,12.21,-8.53,14.99
1400,11.63,-9.34,14.16
1405,11.13,-10.04,12.60
1409,10.48,-11.36,10.69
1414,9.22,-12.51,9.90
1419,7.86,-12.46,9.32
1424,7.74,-12.23,8.99
1428,7.70,-11.85,8.97
1433,7.20,-11.22,8.62
1437,6.93,-11.04,8.55
1442,6.42,-10.82,8.87
1446,6.06,-10.41,8.58
1451,5.96,-10.31,8.93
1456,5.80,-10.23,9.15
1461,5.29,-10.19,8.91
1465,4.65,-9.90,9.17
1470,4.35,-9.76,8.93
1475,3.74,-9.62,9.02
1479,3.40,-9.45,9.01
1483,2.97,-9.57,9.23
1488,2.70,-9.52,9.48
1493,2.60,-9.52,9.43
1497,2.36,-9.37,9.29
1502,1.82,-9.27,8.83
1507,1.68,-9.06,8.66
1512,1.40,-8.72,8.62
1516,0.89,-8.61,8.18
1520,0.64,-8.39,8.08
1525,0.34,-8.09,8.15
1530,0.26,-7.72,7.70
1534,0.27,-7.27,7.72
1539,0.00,-7.02,7.75
1544,-0.25,-6.69,7.94
1548,-0.36,-6.55,8.31
1553,-0.42,-6.32,8.72
1558,-0.51,-5.97,8.87
1562,-0.49,-5.74,9.01
1566,-0.78,-5.68,9.51
1571,-0.88,-5.55,9.80
1576,-1.01,-5.49,9.74
1581,-0.85,-5.35,9.69
1585,-0.87,-5.05,9.67
1590,-0.96,-5.10,9.78
1595,-0.96,-4.95,9.76
1599,-0.84,-4.84,9.39
1603,-0.84,-4.52,9.19
1608,-0.98,-4.12,8.84
1613,-1.11,-4.00,8.78
1617,-1.19,-3.90,8.52
1622,-1.18,-3.45,8.20
1627,-1.17,-2.94,8.20
