timestamp,accX,accY,accZ
0,-1.36,-3.29,13.48
91,16.00,-3.36,13.83
95,16.37,-3.46,14.12
100,16.42,-3.79,14.31
104,16.51,-4.19,14.80
109,16.61,-4.53,14.85
113,16.75,-4.83,14.66
118,17.06,-5.37,15.12
123,17.19,-5.42,15.53
128,16.95,-5.33,15.68
132,17.17,-5.24,15.73
137,17.59,-4.59,15.94
142,17.63,-3.61,15.76
146,17.30,-2.86,15.65
151,17.31,-2.43,15.06
155,17.35,-2.16,14.76
160,17.29,-1.72,14.90
165,17.02,-1.54,14.43
169,17.14,-1.41,13.91
174,17.20,-1.27,12.98
179,17.40,-1.22,12.42
184,17.39,-1.31,11.57
188,17.16,-1.40,10.56
192,16.96,-1.73,9.84
197,16.79,-2.11,9.55
202,16.52,-2.58,9.33
207,16.19,-2.97,9.53
211,15.68,-3.62,9.28
216,15.10,-4.11,9.42
221,14.82,-4.33,9.32
226,14.46,-4.49,9.20
229,13.84,-4.64,9.01
234,13.44,-4.46,9.14
239,12.87,-4.13,9.50
244,12.02,-3.76,9.62
248,11.03,-3.21,9.67
253,10.26,-2.78,9.80
258,9.51,-2.75,9.65
262,9.03,-2.75,9.35
267,8.80,-3.61,8.54
271,8.93,-3.87,7.27
276,8.89,-3.57,7.11
280,8.65,-2.96,7.52
285,8.45,-2.68,7.61
290,8.00,-2.14,7.71
295,8.97,-2.47,8.66
299,10.23,-0.15,9.46
304,10.54,0.27,10.15
309,11.76,0.18,9.83
313,12.59,5.50,11.28
317,12.43,9.42,10.16
322,12.88,8.24,8.13
327,13.64,6.87,5.35
332,13.55,5.88,2.53
336,12.40,3.56,-1.00
341,11.15,0.73,-2.38
346,10.22,0.05,-3.58
351,9.26,-0.07,-4.26
354,8.29,0.00,-4.44
359,7.29,0.20,-4.20
364,6.94,-0.49,-3.63
369,6.15,-1.32,-3.22
373,5.48,-1.88,-2.84
378,4.92,-1.58,-2.17
383,4.36,-1.40,-1.63
388,3.73,-1.16,-1.29
392,3.10,-1.41,-1.31
396,2.71,-2.64,-2.24
401,2.27,-4.35,-3.19
405,1.88,-5.51,-3.90
410,1.34,-6.04,-5.34
415,0.69,-6.40,-6.32
419,0.22,-6.45,-6.81
424,-0.22,-6.26,-7.63
429,-0.65,-5.77,-8.04
434,-1.32,-5.26,-8.22
437,-1.88,-4.82,-8.93
442,-2.55,-4.48,-9.52
447,-3.24,-4.35,-9.85
452,-3.90,-4.44,-9.95
456,-4.07,-4.24,-10.23
461,-4.78,-4.21,-9.75
466,-5.10,-4.32,-9.38
471,-5.56,-4.37,-9.44
475,-5.77,-4.37,-8.66
479,-5.95,-4.25,-8.02
484,-6.06,-3.93,-7.42
489,-6.23,-3.32,-6.47
493,-6.40,-3.00,-5.99
498,-6.80,-2.47,-5.83
503,-6.91,-2.12,-4.69
507,-6.77,-2.19,-4.58
512,-6.82,-1.71,-4.20
517,-6.78,-1.48,-3.46
521,-6.87,-1.41,-3.37
525,-6.98,-1.24,-2.89
530,-6.89,-1.00,-2.88
535,-6.75,-0.81,-2.16
540,-6.61,-0.82,-1.93
544,-6.61,-0.79,-1.71
549,-6.56,-0.65,-1.30
554,-6.58,-0.47,-1.38
559,-6.95,-0.24,-0.78
562,-7.04,-0.20,-0.73
567,-6.94,0.17,-0.54
572,-6.95,0.29,0.11
577,-6.78,0.57,0.51
581,-6.94,0.97,0.33
586,-6.94,1.25,0.90
591,-6.94,1.70,0.88
595,-6.73,2.14,1.25
600,-6.63,2.31,1.18
604,-6.62,2.57,0.91
608,-6.48,2.84,0.95
613,-6.35,3.18,0.04
618,-6.45,3.39,0.08
623,-6.49,3.81,-0.17
627,-6.55,3.97,-0.26
632,-6.33,3.93,-0.74
637,-6.19,3.90,-1.43
642,-6.12,3.75,-1.99
645,-6.03,3.47,-2.13
650,-6.07,3.19,-2.45
655,-6.14,2.56,-2.58
