timestamp,accX,accY,accZ
0,16.65,-3.85,11.53
91,15.48,-3.35,12.63
95,14.55,-2.39,14.07
100,13.40,-1.95,15.14
105,12.54,-0.52,16.78
109,11.67,0.87,17.65
114,11.55,2.45,18.40
118,11.28,3.73,18.39
123,11.26,4.59,18.61
128,11.15,4.97,17.89
132,11.04,4.92,17.07
137,11.28,5.12,16.67
142,11.67,5.00,15.18
147,11.91,4.71,13.78
151,11.74,4.67,12.97
155,11.22,4.69,12.49
160,10.33,4.55,12.19
165,10.38,4.56,11.64
170,10.81,4.55,11.65
174,11.35,4.70,11.53
179,11.52,5.05,11.04
184,12.40,7.73,11.25
189,11.77,9.05,10.81
192,12.61,5.89,8.52
197,13.57,1.47,6.32
202,13.32,-0.83,3.42
207,12.12,-2.92,2.20
211,11.43,0.95,3.88
216,10.68,9.44,3.37
221,10.93,6.47,2.80
226,14.10,2.18,-0.31
230,10.70,-0.63,-2.93
234,7.95,-5.17,-5.37
239,7.43,-9.16,-7.12
243,6.48,-10.20,-7.72
248,5.91,-8.07,-7.40
253,4.84,-6.74,-7.16
258,3.47,-6.82,-7.20
262,2.13,-6.77,-7.23
267,0.68,-6.69,-6.40
272,-0.53,-6.83,-5.57
276,-1.25,-6.60,-5.01
280,-1.93,-5.58,-4.46
285,-2.20,-3.84,-4.18
290,-2.29,-2.68,-3.77
295,-2.56,-2.32,-3.75
299,-3.02,-1.91,-3.43
304,-3.24,-1.41,-2.62
309,-3.56,-0.60,-1.93
313,-3.81,0.34,-1.71
317,-4.05,1.37,-1.23
322,-4.22,2.44,-0.75
327,-4.21,2.80,-0.57
331,-4.58,3.56,-0.58
336,-4.77,3.65,-0.47
341,-5.04,3.89,-0.70
346,-5.21,3.52,-0.70
350,-5.29,2.95,-1.48
355,-5.36,2.62,-2.38
359,-5.41,1.93,-3.08
363,-5.54,1.28,-3.68
368,-5.54,0.66,-3.89
373,-5.45,0.10,-4.52
378,-5.55,-0.48,-4.66
382,-5.53,-0.92,-5.43
387,-5.74,-1.09,-5.73
392,-6.18,-1.29,-5.53
396,-6.29,-1.36,-5.47
400,-6.09,-1.38,-5.22
405,-5.78,-1.07,-4.79
410,-5.85,-0.57,-4.86
414,-6.06,-0.11,-4.47
419,-6.10,-0.04,-4.17
424,-6.12,0.31,-3.80
428,-6.27,0.39,-3.69
