timestamp,accX,accY,accZ
0,17.52,-2.00,13.44
91,17.62,-2.33,12.60
95,17.77,-2.57,11.64
100,17.72,-2.85,11.24
105,17.98,-3.21,11.12
110,17.60,-3.52,11.20
113,17.63,-3.86,10.74
118,17.13,-4.05,11.18
123,16.82,-4.19,10.48
128,16.36,-4.19,10.12
132,15.88,-3.97,10.59
137,15.72,-3.57,10.62
142,15.05,-3.24,10.86
147,14.43,-2.79,11.46
152,13.77,-2.33,11.73
155,12.73,-1.84,12.22
160,11.76,-1.51,12.86
165,11.10,-1.01,13.76
170,10.30,-0.74,13.88
174,9.98,-0.59,14.01
179,9.80,-0.30,13.86
184,9.40,-0.28,13.35
189,9.01,-0.18,13.03
193,8.89,0.00,12.22
197,8.85,0.43,10.98
202,8.67,0.64,9.82
206,8.54,0.56,8.55
211,8.47,0.28,7.54
216,8.30,0.09,7.38
221,8.12,-0.11,6.94
226,7.58,-0.01,6.65
230,7.33,0.42,6.63
235,7.34,0.92,6.09
239,7.13,0.94,5.12
243,7.19,2.37,5.37
248,6.71,2.73,4.79
253,6.19,4.42,5.28
258,5.44,6.09,6.06
262,5.80,7.71,5.08
267,5.66,6.29,3.70
272,5.49,3.52,2.98
276,5.80,1.85,2.55
280,6.14,0.55,1.63
285,5.75,-0.01,1.54
290,5.50,-1.00,1.71
294,5.01,-1.98,1.73
299,4.82,-2.90,1.65
304,4.48,-3.63,0.51
308,4.72,-4.37,0.32
313,4.82,-4.86,-0.41
318,4.66,-4.73,-1.02
322,4.45,-3.89,-0.86
326,4.27,-3.10,-0.97
331,3.88,-3.14,-1.60
336,3.85,-4.04,-3.06
341,3.20,-6.26,-3.61
345,2.91,-8.05,-5.02
350,2.86,-8.53,-6.32
355,1.99,-10.00,-7.31
359,1.63,-10.13,-7.37
363,0.66,-10.21,-7.69
368,0.08,-10.09,-7.98
373,-0.99,-9.55,-7.82
377,-1.73,-9.42,-7.88
382,-2.23,-8.56,-8.09
387,-2.51,-7.48,-7.85
391,-3.08,-6.57,-7.93
396,-3.28,-5.30,-7.99
401,-3.43,-4.18,-7.94
405,-3.82,-3.24,-7.66
409,-4.07,-2.97,-7.71
414,-4.34,-2.40,-7.76
419,-4.34,-1.84,-7.49
424,-4.67,-1.24,-6.63
428,-5.19,-0.68,-6.18
433,-5.35,-0.14,-5.39
438,-5.73,0.37,-4.44
443,-5.76,0.59,-3.67
447,-5.70,1.18,-3.09
451,-5.85,1.64,-2.60
456,-6.03,2.16,-1.63
461,-6.22,2.69,-1.45
