timestamp,accX,accY,accZ
0,9.80,-3.34,7.40
91,10.05,-3.44,8.23
95,10.36,-3.22,8.98
100,10.42,-3.20,9.52
105,10.80,-3.02,10.05
109,11.13,-2.88,10.72
113,11.53,-2.78,11.23
118,11.93,-2.42,11.71
123,12.00,-2.24,12.15
128,12.29,-2.16,12.62
132,12.49,-2.19,12.90
137,12.75,-2.20,13.59
142,13.27,-2.29,14.23
147,13.54,-2.34,14.79
151,14.05,-2.42,14.75
155,14.07,-2.54,15.11
160,14.39,-2.61,15.53
165,14.73,-2.95,15.02
169,14.96,-3.02,15.36
174,15.30,-3.15,15.09
179,15.34,-3.26,15.25
184,15.71,-3.27,15.06
188,16.01,-3.31,15.13
193,16.05,-3.37,15.05
197,15.93,-3.44,14.80
202,15.96,-3.75,14.72
206,15.90,-3.74,14.72
211,16.16,-3.88,14.95
216,16.25,-3.95,15.13
221,16.35,-3.96,14.69
225,16.31,-3.85,14.21
230,16.42,-3.68,13.91
235,16.36,-3.64,13.81
239,16.17,-3.71,13.14
244,15.53,-3.68,13.09
248,15.00,-3.72,12.61
253,14.57,-3.55,12.48
258,14.40,-3.43,12.59
263,14.17,-3.49,12.64
267,14.01,-3.46,12.59
272,13.94,-3.28,12.47
277,13.79,-2.89,11.72
281,13.30,-2.69,11.17
285,13.22,-2.47,10.07
290,13.09,-2.30,9.25
295,12.88,-2.08,8.47
300,12.49,-2.19,8.38
304,11.91,-2.35,8.61
309,11.18,-2.30,8.36
314,10.27,-2.29,8.84
319,9.80,-2.14,9.37
322,9.51,-1.45,10.22
327,8.96,-0.87,11.02
332,8.73,0.23,11.41
337,8.50,1.97,11.94
341,7.47,5.43,12.60
346,7.55,5.69,12.02
351,7.90,2.80,10.33
356,8.47,-0.46,9.99
360,8.93,-2.12,10.75
364,8.93,-0.17,12.11
369,8.87,2.43,12.71
374,9.04,3.14,13.63
378,9.94,4.68,13.89
383,10.07,5.10,12.67
388,11.21,3.99,11.43
393,11.96,2.51,9.43
397,12.13,0.33,7.42
402,12.39,-2.67,6.04
406,13.17,-7.02,2.60
411,13.03,-7.60,-1.51
415,11.41,-7.04,-4.89
420,10.30,-6.69,-7.40
425,8.51,-6.42,-9.33
429,6.73,-6.44,-10.81
434,4.70,-6.67,-11.30
439,2.91,-6.29,-11.71
444,1.48,-6.16,-11.80
447,0.40,-5.20,-10.97
452,-0.37,-4.21,-10.07
457,-0.68,-2.82,-9.45
462,-1.77,-2.27,-8.62
466,-2.49,-2.25,-8.67
