timestamp,accX,accY,accZ
0,12.47,-1.21,11.64
91,13.23,-0.68,11.95
95,13.46,-0.11,12.41
100,13.88,0.27,12.23
105,14.39,0.56,12.36
110,14.59,0.48,12.39
113,14.94,0.04,12.55
118,15.39,-0.07,12.98
123,15.60,-0.48,13.23
128,15.91,-0.80,13.59
132,16.32,-0.97,14.42
137,16.68,-1.10,14.86
142,16.73,-1.17,15.21
147,17.07,-1.32,15.85
152,17.05,-1.42,16.65
155,17.41,-1.71,17.45
160,17.87,-1.97,17.74
165,18.08,-2.16,18.05
169,18.34,-2.60,18.25
174,18.62,-3.08,18.59
179,18.83,-3.27,18.60
184,19.23,-3.41,18.04
188,19.42,-3.52,17.64
193,19.61,-3.56,17.01
197,19.48,-3.62,16.66
202,19.53,-3.57,15.68
207,19.54,-3.48,15.27
211,19.54,-3.16,14.69
216,19.54,-2.71,14.49
221,19.54,-2.67,14.12
226,19.54,-2.42,13.68
230,19.54,-2.27,12.97
235,19.54,-2.17,11.91
239,19.54,-2.39,11.14
244,19.54,-2.54,10.81
248,19.48,-2.63,10.20
253,19.47,-2.70,9.98
258,19.15,-2.90,10.12
263,18.84,-2.86,11.00
267,18.49,-2.94,11.45
272,17.98,-2.90,12.32
277,17.05,-2.70,12.53
281,16.23,-1.06,13.49
285,14.82,-0.11,14.23
290,15.79,1.28,13.60
295,15.80,-1.31,12.07
300,16.24,-3.89,10.58
304,16.62,-5.37,8.92
309,16.29,-5.12,8.66
314,15.17,2.21,10.39
319,14.04,12.80,10.44
323,14.17,8.70,7.45
327,17.04,7.08,3.09
332,15.70,1.13,0.22
337,13.58,-2.34,-2.96
341,11.63,-8.32,-4.02
346,10.95,-10.24,-4.82
351,9.82,-8.81,-4.78
356,9.10,-7.52,-4.24
361,8.58,-5.37,-3.20
364,8.36,-3.33,-3.37
369,7.99,-3.61,-4.13
374,7.27,-5.35,-4.76
378,6.03,-6.51,-6.55
383,4.95,-6.64,-7.72
388,3.63,-5.50,-7.97
393,2.88,-3.45,-8.39
397,2.48,-3.13,-9.66
402,1.57,-4.00,-10.25
406,0.41,-5.03,-11.88
411,-0.86,-5.16,-12.87
415,-1.77,-5.03,-12.48
420,-2.36,-4.25,-11.69
425,-2.77,-3.05,-10.72
430,-3.19,-2.04,-9.45
434,-3.58,-1.04,-8.74
439,-4.19,-0.10,-7.97
444,-4.78,0.72,-6.96
447,-5.24,1.02,-5.88
452,-5.29,1.88,-5.12
457,-5.57,2.41,-4.16
462,-5.80,2.64,-3.98
466,-6.14,2.64,-3.98
471,-6.38,2.38,-3.53
476,-6.55,2.36,-3.39
480,-6.71,2.43,-3.44
485,-6.78,2.80,-3.55
489,-6.82,2.96,-3.61
494,-6.96,3.02,-3.64
498,-6.94,3.31,-3.94
503,-7.11,3.55,-3.86
508,-7.23,3.50,-4.27
512,-6.97,3.34,-4.53
517,-7.00,3.34,-4.85
522,-6.86,3.20,-4.73
527,-6.85,3.22,-4.88
530,-6.75,3.00,-4.79
535,-6.58,3.15,-4.86
540,-6.63,3.07,-5.00
545,-6.63,3.05,-4.97
549,-6.51,2.98,-4.89
554,-6.48,2.72,-4.74
559,-6.09,2.59,-4.84
564,-5.99,2.64,-4.23
568,-6.00,2.61,-4.34
572,-5.72,2.64,-4.65
577,-5.61,2.55,-4.68
582,-5.63,2.62,-5.12
586,-5.56,2.51,-5.22
591,-5.36,2.48,-5.55
596,-5.36,2.39,-5.45
600,-4.98,2.06,-5.38
605,-5.15,1.91,-5.48
610,-5.01,1.48,-5.58
614,-4.82,1.17,-5.97
618,-4.43,0.77,-5.89
623,-4.39,0.42,-6.22
628,-4.06,0.11,-6.07
633,-3.94,-0.16,-5.77
637,-3.72,-0.73,-5.65
642,-3.54,-1.30,-5.31
647,-3.30,-1.93,-5.24
651,-3.18,-2.38,-4.99
655,-2.82,-2.82,-4.21
660,-2.34,-3.31,-3.42
665,-2.02,-3.53,-2.70
669,-1.86,-3.95,-2.08
674,-1.82,-4.28,-1.27
679,-1.71,-4.64,-0.05
684,-1.23,-5.12,0.42
688,-1.14,-5.44,1.08
693,-0.99,-5.84,1.71
697,-0.80,-6.15,2.49
701,-0.75,-6.71,3.07
706,-0.55,-7.10,4.14
711,-0.19,-7.41,5.27
716,-0.16,-7.98,5.57
720,0.18,-8.52,6.42
725,0.56,-8.84,6.68
730,0.77,-9.40,7.27
735,0.89,-10.35,7.60
738,0.96,-11.30,8.12
743,1.53,-11.89,8.31
