timestamp,accX,accY,accZ
0,-1.78,-3.30,14.23
91,16.97,-3.30,14.00
95,17.20,-3.65,13.82
100,17.16,-3.93,13.85
105,17.02,-4.18,13.87
109,17.07,-4.28,14.03
114,17.35,-4.32,13.40
118,17.57,-4.32,13.21
123,17.37,-4.44,12.73
128,17.28,-4.58,12.42
133,17.18,-4.58,12.16
137,17.49,-4.38,11.78
142,17.72,-4.26,11.35
147,17.74,-4.14,11.06
151,17.63,-4.36,10.53
155,17.42,-4.40,9.93
160,17.09,-4.72,9.00
165,16.66,-5.12,8.53
170,16.27,-5.65,8.17
175,15.30,-5.78,7.73
179,14.73,-5.65,7.62
184,14.32,-1.32,7.67
189,12.31,3.56,7.82
192,12.23,6.58,5.75
197,12.13,1.76,2.17
202,13.62,-5.53,-0.58
207,14.86,-7.76,-1.28
211,13.54,-9.19,-1.22
216,11.09,-10.64,-0.73
221,9.22,-10.50,0.70
226,8.18,-8.88,2.12
230,7.10,-7.73,3.95
234,6.89,-7.02,5.61
239,6.06,-5.03,8.02
244,5.72,-2.02,8.11
249,5.06,-0.52,8.33
253,5.33,0.43,7.28
258,5.42,0.70,5.34
263,5.33,1.86,3.27
267,5.01,0.67,0.58
272,4.92,0.34,-1.45
276,4.47,0.90,-2.44
281,3.53,1.34,-3.32
286,2.58,0.57,-4.69
290,1.43,0.31,-5.60
295,0.38,0.71,-5.40
300,-0.15,0.90,-4.39
304,-1.01,0.67,-2.97
309,-1.81,-0.18,-2.39
314,-2.40,0.23,-0.55
318,-2.78,0.75,1.84
322,-2.97,1.76,2.51
327,-3.30,1.84,2.73
332,-3.63,0.82,2.43
337,-4.34,-0.96,1.54
341,-4.71,-2.21,1.16
346,-4.97,-2.43,0.76
351,-5.05,-2.40,0.85
355,-5.10,-1.96,1.14
359,-5.05,-1.72,1.21
364,-5.22,-2.01,1.16
369,-5.23,-2.62,1.20
373,-5.28,-2.92,1.05
378,-5.13,-2.77,0.67
383,-5.03,-2.74,0.53
387,-5.12,-2.76,-0.22
392,-5.30,-2.64,-0.99
397,-5.58,-2.57,-1.48
401,-5.62,-2.37,-2.10
405,-5.87,-2.13,-3.29
410,-5.84,-1.83,-4.58
415,-6.14,-1.21,-5.57
420,-6.22,-0.50,-6.00
424,-6.43,0.17,-7.06
429,-6.62,0.91,-7.14
434,-6.71,1.80,-7.45
438,-6.89,2.16,-7.14
442,-7.00,2.65,-6.27
447,-7.16,3.21,-5.31
451,-7.33,3.62,-4.10
456,-7.09,3.87,-3.07
461,-7.26,3.83,-2.51
466,-6.94,3.73,-2.17
470,-7.02,3.50,-1.64
475,-7.19,3.20,-1.14
480,-7.09,3.09,-1.03
484,-6.99,3.07,-1.03
488,-7.14,3.09,-0.79
493,-6.95,3.28,-0.68
498,-7.07,3.34,-0.37
503,-6.82,3.44,-0.30
507,-6.66,3.50,-0.53
512,-6.58,3.49,-0.36
517,-6.53,3.42,-0.76
521,-6.31,3.20,-1.22
525,-6.24,3.02,-1.36
530,-6.22,2.75,-1.97
535,-6.03,2.42,-2.58
539,-6.04,2.22,-2.90
544,-5.86,1.78,-3.60
549,-6.05,1.44,-4.25
553,-5.86,1.07,-4.57
558,-5.68,0.57,-4.82
563,-5.82,0.24,-4.89
567,-5.65,-0.26,-4.88
572,-5.51,-0.80,-4.74
576,-5.36,-1.32,-4.41
581,-5.24,-1.91,-4.19
586,-5.22,-2.36,-4.49
590,-5.15,-2.62,-4.27
595,-4.92,-2.62,-4.47
600,-4.95,-2.58,-4.46
605,-4.90,-2.83,-4.94
608,-4.59,-2.89,-5.10
613,-4.58,-2.90,-5.03
618,-4.36,-3.14,-4.71
623,-4.23,-3.46,-4.52
627,-3.81,-3.45,-4.22
632,-3.64,-3.66,-3.78
637,-3.32,-3.97,-3.45
642,-2.93,-4.19,-3.14
646,-2.95,-4.43,-2.16
650,-2.54,-4.70,-2.00
655,-2.11,-5.13,-1.52
660,-1.78,-5.18,-0.40
664,-1.56,-5.54,0.37
669,-1.49,-5.63,1.39
674,-0.97,-5.85,2.34
678,-0.77,-6.38,2.69
683,-0.43,-6.78,3.59
688,0.12,-6.97,4.11
692,0.30,-7.54,4.49
696,0.62,-8.08,4.94
701,0.93,-8.86,5.56
706,1.25,-9.62,6.05
710,1.72,-10.29,6.73
715,1.95,-11.20,8.23
720,1.98,-11.52,9.56
725,2.41,-11.98,11.27
729,2.62,-12.60,12.33
733,3.02,-13.10,13.53
738,3.70,-13.64,14.24
743,3.99,-13.99,14.43
748,4.67,-14.11,14.88
752,5.42,-14.28,14.94
757,5.88,-14.41,14.81
762,6.71,-14.12,15.20
767,7.19,-13.89,15.43
771,8.17,-13.42,16.33
775,9.19,-13.13,16.73
780,9.90,-12.82,17.81
785,10.88,-12.63,18.89
789,11.48,-12.43,19.38
794,11.23,-12.39,19.50
799,10.85,-12.29,19.53
804,11.32,-12.08,19.54
808,11.69,-11.77,19.54
813,12.03,-11.23,19.54
817,12.53,-10.47,19.54
822,12.74,-9.88,19.54
827,12.36,-9.30,19.54
831,11.67,-8.15,19.54
