timestamp,accX,accY,accZ
0,15.07,-1.29,12.43
91,14.73,-0.80,12.23
95,14.23,-0.57,11.92
100,14.17,-0.45,11.83
105,13.83,-0.29,12.15
109,14.07,-0.46,12.03
113,14.23,-0.80,11.81
118,14.82,-0.80,11.36
123,15.17,-0.53,11.04
128,15.26,-0.11,10.76
132,15.21,0.73,11.13
137,14.77,7.89,9.64
142,13.09,8.45,8.80
147,12.84,4.89,6.49
150,14.60,0.98,4.69
155,15.80,-4.08,4.34
160,15.21,-6.11,5.18
165,14.26,-4.88,6.62
169,12.37,-2.33,7.63
174,10.79,-1.32,8.10
179,9.86,-2.24,8.24
184,9.63,-1.65,9.52
188,9.66,4.10,8.40
192,9.21,0.60,7.12
197,9.60,0.49,4.89
202,9.45,-2.16,3.62
206,9.51,-3.87,1.22
211,9.60,-6.35,-1.42
216,9.15,-6.92,-3.60
221,7.94,-6.46,-5.24
225,6.30,-6.02,-6.34
230,5.63,-6.34,-6.06
234,4.03,-5.65,-5.46
238,2.80,-4.12,-5.04
243,1.31,-3.64,-3.90
248,0.29,-3.52,-2.81
252,-0.24,-3.65,-1.77
257,-0.74,-3.14,-1.08
262,-1.39,-2.30,-0.68
267,-1.99,-2.13,-0.61
271,-2.64,-3.29,-0.59
275,-3.38,-4.89,-1.12
280,-3.76,-5.31,-1.09
285,-4.09,-5.14,-1.20
289,-4.37,-4.64,-0.89
294,-4.67,-4.45,-0.72
299,-4.52,-4.28,-0.65
304,-4.54,-4.23,-1.36
308,-4.76,-4.36,-1.69
313,-4.89,-4.32,-2.16
317,-4.87,-4.04,-2.63
322,-4.92,-3.58,-3.10
326,-4.89,-2.92,-3.78
331,-4.94,-2.39,-4.33
336,-4.92,-1.88,-4.89
341,-5.22,-1.68,-5.88
345,-5.38,-1.46,-6.40
350,-5.74,-1.24,-6.68
355,-5.83,-1.25,-7.06
359,-6.04,-1.17,-7.28
363,-6.32,-0.91,-7.52
368,-6.32,-0.92,-7.42
373,-6.66,-0.91,-7.67
377,-6.76,-0.79,-7.54
382,-6.80,-0.70,-7.28
387,-6.78,-0.47,-6.64
392,-6.66,-0.30,-6.04
396,-6.52,-0.32,-5.92
400,-6.49,-0.23,-5.54
405,-6.31,-0.13,-5.27
410,-6.39,-0.06,-4.73
414,-6.30,-0.10,-4.13
419,-6.24,0.01,-3.99
424,-6.15,0.07,-3.97
428,-5.97,0.09,-3.79
433,-5.66,0.31,-3.39
438,-5.48,0.52,-3.49
442,-5.33,0.71,-3.69
446,-5.33,1.02,-3.41
451,-5.12,1.47,-3.59
456,-5.03,1.86,-3.91
461,-4.81,2.46,-4.26
465,-4.97,3.29,-4.42
470,-5.05,3.70,-4.81
475,-4.89,4.74,-5.11
480,-4.79,5.77,-5.82
484,-4.44,6.45,-6.16
488,-4.20,6.95,-6.31
493,-4.19,7.09,-6.26
498,-3.89,7.04,-6.42
502,-3.67,6.65,-6.14
507,-3.29,5.89,-6.20
512,-3.01,5.31,-6.02
516,-2.54,4.36,-5.84
521,-2.20,3.32,-5.38
525,-1.66,1.96,-5.14
529,-1.00,1.47,-5.13
534,-0.83,0.11,-5.41
539,-0.64,-1.07,-4.98
544,-0.28,-2.25,-5.05
548,0.22,-3.23,-4.79
553,0.91,-4.32,-5.21
558,1.60,-4.58,-5.31
563,2.10,-5.30,-5.25
567,2.66,-6.00,-4.99
571,3.12,-6.73,-4.89
576,3.71,-7.73,-4.73
580,4.55,-8.52,-4.33
585,5.36,-9.14,-3.90
590,6.13,-9.56,-3.23
595,6.95,-10.29,-2.37
599,7.28,-10.74,-1.61
604,8.17,-11.41,-0.85
609,9.08,-11.92,0.32
613,10.21,-12.50,0.75
617,11.08,-13.01,2.13
622,12.14,-13.45,3.78
627,12.76,-14.29,5.73
632,13.64,-15.35,7.89
637,13.77,-16.55,10.26
641,14.16,-17.68,12.40
646,14.21,-18.52,13.25
650,13.71,-19.15,15.25
655,13.88,-19.32,17.56
659,14.23,-19.47,19.04
664,14.87,-19.52,19.42
669,15.38,-19.53,19.51
674,15.95,-19.48,19.54
678,16.24,-18.78,19.54
683,16.32,-17.93,19.54
688,16.56,-16.92,19.54
692,16.83,-15.31,19.54
697,16.91,-14.38,19.54
701,16.55,-12.88,19.54
706,16.16,-11.31,19.54
711,15.82,-9.70,19.54
716,15.75,-8.38,19.54
721,15.05,-6.90,19.54
725,14.52,-5.29,19.54
730,13.26,-4.28,19.54
734,12.18,-1.63,19.54
738,11.45,1.58,19.54
743,10.44,4.22,19.54
748,9.28,5.75,19.54
753,8.29,6.57,19.54
757,7.12,6.04,19.54
762,6.12,5.71,19.54
767,5.17,5.11,19.34
771,5.05,4.38,18.84
775,5.12,3.23,18.40
780,4.75,2.01,18.29
785,4.72,0.61,17.20
789,4.43,-0.23,16.75
794,4.35,-1.95,16.21
799,4.54,-5.01,15.40
804,4.77,-8.62,15.02
808,4.91,-9.67,15.10
813,5.12,-9.51,14.95
817,5.04,-9.80,14.77
822,5.03,-10.55,13.54
826,5.29,-12.08,12.50
831,5.45,-12.47,11.47
836,5.61,-11.74,11.26
841,5.57,-10.76,10.80
845,5.46,-10.24,10.63
850,5.20,-10.15,9.51
855,4.95,-10.14,8.92
859,5.16,-9.87,8.47
863,5.09,-9.10,8.02
868,4.98,-8.43,7.77
873,5.05,-8.33,7.36
877,5.21,-8.20,7.03
882,5.18,-7.43,6.46
887,5.33,-6.85,6.36
892,4.67,-4.55,6.26
896,4.43,-5.72,6.15
900,4.58,-3.19,6.21
905,4.44,-2.44,6.70
910,4.12,-0.21,7.13
914,3.58,2.56,7.99
919,2.72,3.23,8.15
924,1.68,2.70,7.89
929,1.48,1.22,7.81
933,1.52,0.15,8.18
938,1.89,-0.28,8.41
942,1.88,-0.61,8.11
946,1.71,-1.07,7.91
951,1.51,-1.33,7.21
956,1.69,-1.72,6.96
961,1.68,-2.10,6.85
965,2.01,-2.23,6.28
970,2.11,-2.17,5.90
975,1.97,-1.81,5.39
980,1.91,-1.27,4.82
984,1.78,-1.04,4.83
988,1.96,-0.68,4.21
993,2.13,-0.22,3.59
998,2.22,0.12,3.37
1002,2.01,0.59,3.33
1007,1.90,1.10,3.34
1012,2.08,1.45,3.53
1017,2.28,1.85,3.96
1021,2.44,2.03,4.54
1025,2.47,1.84,4.94
1030,2.66,1.49,5.35
1034,2.87,1.03,5.25
1039,3.11,0.77,5.61
1044,3.33,0.61,6.15
1049,3.80,0.23,6.48
1053,4.44,-0.06,7.06
1058,4.62,-0.32,7.46
1063,4.75,-0.63,8.22
1067,5.10,-0.72,8.07
1071,5.43,-0.73,8.16
1076,5.82,-0.74,8.51
1081,6.36,-0.60,8.93
1086,6.58,-0.49,8.63
1090,7.00,-0.51,8.47
1095,7.26,-0.27,8.15
1100,7.44,0.12,8.26
1104,7.91,0.80,8.69
1109,8.13,1.21,8.91
1113,8.80,2.05,8.92
1118,9.00,3.18,9.35
1122,9.42,4.38,10.09
1127,9.79,5.83,10.87
1132,10.16,7.11,12.47
1137,10.44,7.84,13.69
1142,11.15,8.28,15.97
1146,12.16,8.77,17.66
1150,12.86,8.74,18.84
1155,13.99,8.14,19.37
1160,14.99,7.14,19.50
1164,16.29,6.05,19.52
1169,17.46,5.19,19.54
1174,18.55,4.03,19.54
1179,19.23,3.41,19.54
1184,19.46,1.88,19.54
1188,19.50,0.49,19.54
1192,19.53,-0.93,19.54
1197,19.54,-2.05,19.54
1202,19.54,-2.99,19.54
1206,19.54,-3.56,19.54
1211,19.54,-3.90,19.54
1216,19.54,-4.04,19.54
1221,19.54,-4.30,19.16
1226,19.54,-4.52,18.27
1230,19.54,-5.31,16.16
1234,19.54,-6.34,14.72
1239,19.54,-6.94,13.22
1244,19.54,-7.28,13.30
1248,19.54,-7.40,13.35
1253,19.54,-7.89,13.45
1258,19.54,-8.60,13.02
1263,19.34,-9.45,12.18
1267,19.23,-10.47,11.43
1272,19.02,-11.38,11.17
1276,18.40,-12.53,10.58
1281,17.40,-12.97,9.51
1285,16.38,-13.69,8.72
1290,15.42,-14.47,7.68
1295,14.94,-15.36,6.58
1300,13.84,-16.50,5.09
1304,13.00,-16.85,4.75
1309,11.83,-16.99,3.32
1314,10.33,-17.01,2.67
1318,9.15,-16.94,2.23
1322,8.51,-16.34,1.77
1327,7.51,-15.37,1.93
1332,6.51,-14.41,2.22
1337,5.61,-13.52,2.86
1341,4.77,-12.58,3.07
1346,3.90,-11.54,3.90
1351,3.47,-11.31,4.58
1356,2.77,-10.58,5.80
1360,2.67,-9.72,6.29
1364,2.18,-9.11,7.28
1369,1.70,-8.80,7.62
1374,1.58,-8.64,8.43
1378,1.09,-8.21,8.75
1383,0.58,-8.18,9.02
1388,0.39,-8.53,9.33
1393,0.24,-8.62,9.26
1397,-0.19,-8.68,9.15
1401,-0.25,-8.30,9.02
1406,-0.53,-7.91,9.09
1411,-0.54,-7.64,8.38
1415,-0.61,-7.10,8.35
1420,-0.54,-6.63,7.65
1425,-0.60,-6.06,7.03
1430,-0.75,-5.41,6.94
1434,-0.83,-4.93,7.00
1439,-0.84,-4.64,6.83
1443,-1.09,-4.43,6.36
1448,-0.99,-4.10,6.46
1452,-0.89,-3.74,6.06
1457,-0.97,-3.31,5.80
1462,-1.10,-2.93,5.85
1467,-1.25,-2.51,6.00
1471,-1.32,-2.18,6.50
1476,-1.20,-2.01,6.56
1480,-1.36,-1.69,7.09
1484,-1.23,-1.40,7.47
1489,-1.47,-1.17,7.95
1494,-1.59,-1.16,8.02
1498,-1.67,-1.09,8.47
1503,-1.63,-1.03,8.79
1508,-1.66,-1.10,8.98
1513,-1.69,-1.58,9.30
1517,-1.91,-1.71,9.84
1522,-1.89,-1.46,9.67
1526,-1.97,-0.71,9.66
1530,-1.90,-0.08,9.70
1535,-1.62,-0.01,9.67
1540,-1.37,0.20,10.03
1544,-1.25,0.60,10.24
1549,-1.18,1.05,10.23
1554,-1.01,1.33,10.12
1559,-1.41,1.53,10.08
1563,-1.46,1.66,10.25
1567,-1.68,1.71,10.29
1572,-1.74,1.58,10.22
1576,-1.64,1.62,10.19
1581,-1.72,1.54,10.12
1586,-1.88,1.47,10.36
1591,-1.68,1.21,10.42
1595,-1.89,1.12,10.36
1600,-1.73,0.87,10.17
1605,-1.74,0.45,9.75
1609,-1.90,-0.01,9.49
1613,-1.75,-0.15,9.47
1618,-1.61,-0.45,9.39
1623,-1.78,-0.47,9.40
1628,-1.72,-0.50,9.18
