timestamp,accX,accY,accZ
0,12.25,-0.24,11.61
91,12.46,-0.26,11.33
94,12.55,-0.63,11.16
99,12.81,-1.10,11.08
104,13.18,-1.49,11.24
109,13.64,-1.91,11.27
114,13.86,-2.17,11.52
118,14.17,-2.41,11.91
123,14.27,-2.59,12.63
128,14.57,-2.75,13.49
133,14.82,-2.74,14.09
136,14.89,-2.81,14.78
141,14.91,-2.82,15.50
146,14.92,-2.74,16.20
151,15.62,-2.72,16.73
155,16.09,-2.71,16.99
160,16.86,-2.19,17.04
165,17.68,-2.03,16.80
170,17.83,-2.10,16.66
174,17.63,-2.26,15.64
178,17.54,-2.39,15.07
183,17.66,-2.27,14.48
188,17.74,-2.09,13.97
192,17.69,-1.90,13.89
197,16.95,-1.84,13.68
202,16.95,-1.59,13.76
207,17.02,-1.39,14.04
211,17.01,-1.15,14.50
216,17.02,-1.03,14.89
220,16.83,-0.97,15.14
225,16.68,-1.15,15.13
230,16.39,-1.37,15.14
234,16.37,-1.69,15.00
239,16.38,-2.21,14.79
244,16.34,-2.89,15.15
249,16.49,-3.12,14.92
253,16.46,-3.45,14.64
258,16.16,-3.85,13.95
262,15.82,-4.15,13.13
267,15.55,-4.18,12.66
271,15.38,-4.18,12.21
276,14.68,-4.30,11.65
281,14.67,-4.26,10.87
286,14.55,-3.65,10.85
290,14.24,-3.53,10.36
295,14.21,-2.89,9.92
300,13.05,-2.02,10.00
304,12.02,-1.02,9.80
308,11.50,0.93,9.89
313,10.27,2.32,10.04
318,10.12,0.80,9.30
323,10.12,-1.77,8.80
327,10.32,-3.81,9.44
332,9.97,0.47,10.95
337,8.35,12.15,12.98
342,6.87,16.48,11.29
345,7.95,14.09,7.71
350,8.93,7.68,5.17
355,9.04,2.72,3.77
359,8.98,-1.21,3.56
364,9.45,-4.44,3.62
369,9.61,-7.49,4.21
374,9.27,-8.91,5.29
378,9.12,-8.60,6.67
383,8.40,-7.07,8.06
387,8.28,-4.02,8.27
392,8.55,-4.09,6.97
396,8.95,-7.49,5.82
401,9.26,-9.53,2.91
406,8.94,-9.75,0.27
410,7.09,-7.17,-1.70
415,6.89,-5.67,-3.96
420,6.80,-7.27,-6.31
425,5.78,-9.85,-9.38
428,3.88,-10.56,-10.60
433,2.25,-9.60,-11.59
438,1.37,-7.44,-11.33
443,0.29,-6.53,-10.41
448,-0.40,-4.93,-9.62
452,-1.02,-3.12,-8.17
457,-1.99,-0.47,-6.48
462,-2.74,2.69,-5.74
467,-3.76,4.74,-3.98
