timestamp,accX,accY,accZ
0,8.66,-3.05,4.05
90,8.72,-3.00,3.68
94,8.60,-2.81,3.57
99,8.58,-2.82,3.39
104,8.53,-2.72,3.05
109,8.74,-2.66,2.93
113,8.62,-2.66,2.58
118,8.62,-2.71,2.48
123,8.79,-2.88,2.06
127,9.02,-2.97,2.00
131,8.75,-3.00,2.26
136,8.63,-3.01,2.11
141,8.48,-2.86,2.00
145,8.89,-2.85,2.14
150,8.94,-2.75,2.39
155,8.97,-2.58,2.60
159,8.99,-2.61,3.05
164,9.17,-2.83,2.96
169,9.17,-2.84,3.17
173,9.15,-3.00,3.04
177,9.33,-2.89,3.07
182,9.40,-3.07,3.19
187,9.44,-3.12,2.87
191,9.32,-3.24,3.16
196,9.26,-3.17,3.39
201,9.43,-3.25,3.29
205,9.52,-3.12,3.70
210,9.53,-3.07,4.47
214,9.41,-3.12,5.28
219,9.49,-3.10,6.54
223,9.76,-3.11,7.49
228,9.85,-3.23,7.72
233,9.84,-3.15,8.30
238,9.68,-3.20,8.80
242,9.95,-3.11,9.13
247,10.30,-2.88,9.54
252,10.64,-2.52,10.28
256,11.23,-2.08,10.63
260,11.72,-1.48,11.01
265,11.93,-0.98,11.27
270,11.91,-0.72,11.12
275,11.97,-0.82,11.18
280,12.01,-0.82,11.19
284,12.25,-1.17,11.60
289,12.19,-1.56,12.20
294,11.94,-1.84,12.86
297,12.11,-2.00,13.44
302,12.34,-2.09,13.85
307,12.74,-2.09,14.72
312,13.03,-2.27,15.43
317,13.46,-2.73,15.66
321,13.55,-2.89,16.53
326,13.71,-3.07,16.46
331,13.94,-3.12,16.36
336,14.32,-2.77,16.51
339,14.39,-2.66,16.37
344,14.14,-2.54,16.34
349,13.95,-2.20,16.18
354,13.96,-2.07,16.33
358,13.99,-1.69,15.87
363,13.64,-1.53,15.94
368,13.46,-1.47,16.20
373,13.56,-1.01,16.76
377,13.95,-1.08,17.18
381,14.30,-1.16,17.15
386,14.50,-0.91,17.28
391,15.07,-0.91,17.33
395,15.34,-0.83,17.16
400,15.50,-0.81,16.85
405,15.36,-1.06,16.33
410,15.27,-1.31,16.02
414,15.07,-1.67,15.59
419,14.78,-2.22,15.30
423,14.67,-2.58,14.75
428,14.24,-3.04,14.64
432,13.93,-3.12,14.41
437,13.53,-3.22,14.28
442,13.75,-3.34,14.40
447,14.49,-4.14,13.71
452,15.96,-3.79,13.86
456,16.92,-3.31,13.74
461,18.38,-2.62,12.92
465,19.11,0.96,13.53
470,18.34,5.38,11.40
474,17.15,4.75,7.79
479,15.48,2.10,2.30
484,14.34,-6.44,-0.41
489,14.08,-10.14,-1.18
493,12.17,-9.82,0.54
498,10.03,-5.80,1.68
503,8.54,0.08,5.35
507,7.81,9.65,8.97
511,7.75,7.28,8.35
516,8.15,4.48,7.13
521,7.54,1.96,6.95
525,7.25,0.38,4.23
530,5.86,-6.69,2.77
535,6.46,-9.45,0.81
540,6.30,-8.57,1.06
544,5.19,-6.00,0.83
548,4.68,-3.78,0.86
553,3.69,-2.73,0.62
558,3.15,-2.57,0.54
562,2.61,-1.83,1.12
567,2.38,-0.51,1.29
572,2.29,0.12,2.16
576,2.26,0.96,2.15
581,2.04,1.38,2.08
586,2.10,1.50,1.32
589,1.87,1.82,1.02
594,1.50,1.66,0.16
599,0.87,1.16,-1.47
604,-0.07,-0.61,-2.29
608,-0.40,-2.11,-3.08
613,-0.87,-2.89,-3.80
618,-1.46,-3.02,-3.81
623,-1.93,-3.06,-4.14
627,-2.00,-3.28,-4.71
631,-2.35,-3.44,-5.66
636,-3.00,-3.36,-5.94
641,-3.15,-3.52,-6.63
645,-3.41,-3.42,-7.05
650,-3.72,-3.27,-7.15
655,-4.15,-3.19,-7.34
659,-4.31,-3.12,-7.58
664,-4.74,-2.89,-7.90
669,-4.95,-2.55,-8.21
673,-4.90,-2.47,-8.27
677,-5.01,-2.20,-8.31
682,-5.34,-2.07,-8.11
687,-5.88,-1.99,-7.34
691,-5.85,-1.98,-7.15
696,-6.03,-1.57,-7.01
701,-5.99,-1.23,-6.28
705,-5.80,-0.97,-5.99
710,-5.79,-0.61,-5.63
714,-5.67,-0.38,-5.54
719,-5.86,-0.19,-4.89
723,-5.69,-0.40,-4.74
728,-5.54,-0.63,-5.00
733,-5.50,-0.92,-4.97
738,-5.17,-1.18,-5.86
742,-5.12,-1.17,-6.10
747,-5.22,-1.33,-5.85
752,-4.90,-1.50,-6.02
755,-4.67,-1.71,-6.49
760,-4.62,-1.99,-6.92
765,-4.50,-2.24,-7.16
770,-4.00,-2.50,-7.58
774,-3.75,-2.68,-7.97
779,-3.49,-2.85,-8.37
784,-3.07,-2.95,-8.33
789,-2.66,-2.94,-8.23
793,-2.42,-2.93,-8.14
797,-1.86,-2.49,-8.12
802,-1.34,-1.99,-8.22
807,-1.06,-1.76,-7.63
811,-0.58,-1.72,-7.45
816,-0.03,-1.69,-6.60
821,0.46,-1.96,-5.90
825,0.91,-2.37,-5.28
830,1.39,-3.12,-4.97
835,2.20,-4.10,-4.53
839,3.10,-4.90,-3.52
843,3.86,-5.35,-2.78
848,4.37,-6.63,-1.91
853,5.05,-7.31,-0.83
858,5.40,-7.91,0.50
862,6.01,-8.28,1.71
867,6.67,-8.54,2.25
872,7.47,-8.80,3.30
877,8.03,-8.96,4.61
880,8.60,-9.23,5.74
885,9.40,-9.58,6.90
890,9.66,-9.90,7.73
894,10.41,-10.25,8.98
899,10.84,-10.70,9.50
904,11.37,-11.25,11.23
909,11.83,-11.50,12.64
913,11.59,-12.47,14.19
918,11.96,-13.34,15.70
922,12.29,-14.31,17.82
927,12.26,-15.24,19.07
931,12.57,-16.18,19.31
936,13.13,-16.86,19.48
941,14.43,-17.12,19.53
946,15.52,-16.99,19.54
951,16.51,-16.41,19.54
955,16.68,-15.51,19.54
960,17.24,-14.20,19.54
964,17.45,-12.66,19.54
969,17.59,-10.96,19.54
974,17.55,-9.58,19.54
978,17.76,-8.89,19.54
983,17.32,-7.40,19.54
988,16.71,-6.05,19.54
993,16.64,-4.59,19.54
997,16.67,-3.36,19.54
1002,15.89,-2.04,19.54
1006,15.17,-0.35,19.54
1011,14.12,1.37,19.54
1015,12.86,2.38,19.54
1020,11.48,3.96,19.54
1025,10.80,5.09,19.54
1030,9.56,5.40,19.54
1034,8.39,5.23,19.33
1039,7.17,4.41,19.22
1044,6.10,3.86,18.45
1048,4.81,3.43,17.18
1053,4.02,2.58,16.76
1057,3.68,1.88,16.03
1062,3.18,1.59,15.18
1067,2.82,1.42,14.71
1071,2.53,0.69,13.99
1076,2.54,-0.46,13.00
1081,2.56,-1.04,12.19
1086,2.89,-1.89,11.79
1089,2.98,-1.68,11.43
1094,3.10,-0.39,10.59
1099,2.97,0.49,10.03
1104,2.85,-1.56,9.22
1108,3.39,-4.74,8.79
1113,3.81,-5.80,9.00
1118,3.91,-5.58,9.60
1123,3.69,-4.67,9.72
1127,3.12,-4.38,9.46
1131,2.71,-4.25,9.38
1136,3.06,-4.13,9.77
1140,3.26,-3.75,9.87
1145,3.10,-3.34,10.86
1150,2.93,-2.37,10.91
1155,2.77,-1.37,10.61
1160,2.39,-0.72,10.56
1164,2.20,-0.67,10.19
1169,2.44,-0.84,9.81
1173,2.39,-1.08,9.59
1177,2.31,-1.29,9.23
1182,2.45,-3.12,9.15
1187,2.47,-3.03,9.22
1192,2.46,-2.45,9.58
1196,2.63,-1.07,9.41
1201,2.51,-1.07,9.27
1206,2.41,-1.27,9.09
1211,2.48,-1.67,8.47
1214,2.86,-1.88,8.62
1219,2.84,-1.84,8.35
1224,2.57,-1.66,8.50
1228,2.32,-1.65,8.44
1233,2.45,-1.54,8.76
1238,2.75,-1.38,8.33
1243,2.67,-1.38,8.38
1247,2.77,-1.12,8.23
1252,2.85,-0.94,8.58
1256,2.90,-0.67,8.83
1260,3.09,-0.51,8.75
1265,3.13,-0.51,8.38
1270,3.15,-0.41,8.84
1275,3.34,-0.33,9.00
1279,3.31,-0.02,8.99
1284,3.71,0.33,9.35
1289,3.98,0.41,9.32
1294,4.30,0.57,9.93
1297,4.53,0.47,9.74
1302,5.05,0.29,9.81
1307,5.21,0.08,9.75
1311,5.64,-0.18,9.91
1316,5.98,-0.36,10.09
1321,6.30,-0.30,9.96
1326,7.05,-0.20,9.96
1330,7.13,-0.24,10.11
1335,7.39,-0.01,9.70
1339,7.53,0.34,9.67
1344,7.66,0.69,10.38
1348,7.80,1.15,10.52
1353,7.97,1.61,10.86
1358,8.09,1.86,11.71
1363,8.46,1.97,11.85
1367,8.63,2.09,12.59
1372,8.93,2.32,13.68
1377,9.41,2.27,13.65
1381,9.81,2.29,14.35
1385,10.44,2.23,14.73
1390,11.14,2.17,14.90
1395,11.33,1.90,15.05
1400,11.81,1.46,15.27
1404,12.19,0.99,15.46
1409,12.55,0.43,15.18
1414,12.94,0.14,15.23
1419,13.03,-0.09,15.41
