timestamp,accX,accY,accZ
0,11.23,-0.77,8.55
91,11.37,-0.43,9.15
95,12.06,0.21,9.41
100,12.17,0.65,9.80
105,12.61,1.38,10.18
110,12.73,1.81,10.21
114,13.12,2.09,10.68
118,13.50,2.17,11.04
123,13.68,2.18,11.56
128,14.05,2.24,11.98
133,14.35,2.10,13.12
137,14.49,1.98,13.88
142,14.83,1.65,14.78
147,15.12,1.48,15.35
152,15.31,1.25,16.05
156,15.65,1.35,16.79
160,16.16,1.18,17.41
165,16.63,1.12,18.05
170,16.84,1.38,18.73
174,17.46,1.25,18.72
179,18.15,1.19,18.91
184,18.50,1.24,19.08
189,18.99,1.19,18.91
193,19.17,0.96,18.55
198,19.29,0.88,17.97
202,19.25,0.62,17.48
207,19.37,0.34,17.47
211,19.46,0.03,17.41
216,19.44,-0.42,17.15
221,19.37,-0.63,17.04
226,19.31,-0.84,16.70
231,19.28,-0.94,16.51
235,19.35,-0.71,16.20
240,19.34,-0.66,15.40
244,19.27,-0.88,14.91
249,19.09,-0.94,14.67
253,18.78,-1.02,13.65
258,18.25,-1.06,12.51
263,17.83,-1.19,11.68
268,17.36,-1.55,11.28
272,17.14,-1.46,10.82
277,16.62,-1.10,10.36
282,15.99,-0.42,10.36
286,15.71,0.17,9.75
290,15.18,1.16,9.44
295,14.47,1.68,9.62
300,14.75,2.21,9.85
305,14.52,2.86,9.68
309,14.17,4.23,9.80
314,12.72,5.29,9.79
319,12.73,5.59,10.12
324,13.79,2.57,8.18
327,15.04,1.65,7.14
332,15.25,-0.82,6.33
337,14.94,0.06,7.78
342,13.51,9.72,8.08
346,13.16,10.44,6.63
351,15.06,7.55,4.76
356,16.70,1.36,2.79
361,15.67,-0.31,0.37
365,13.53,-4.09,-2.11
369,12.86,-7.46,-4.47
374,11.24,-7.68,-5.51
379,8.99,-6.01,-5.95
383,7.54,-6.59,-6.14
388,5.87,-8.07,-6.26
393,4.53,-8.51,-6.23
398,3.44,-9.15,-5.12
402,3.14,-8.95,-4.53
407,3.08,-8.16,-3.90
411,2.98,-7.41,-3.74
416,2.16,-7.11,-3.85
420,1.36,-7.52,-4.73
425,0.54,-7.60,-5.79
430,-0.11,-7.45,-6.30
434,-0.55,-7.19,-6.14
439,-1.04,-6.65,-6.02
444,-1.63,-5.57,-5.78
449,-2.32,-4.40,-4.91
452,-2.84,-3.30,-3.59
457,-3.07,-2.84,-2.59
462,-3.15,-1.70,-1.99
467,-3.30,-0.83,-1.39
471,-3.63,-0.09,-0.98
476,-3.73,0.34,-0.98
481,-4.29,0.53,-0.90
485,-4.35,0.34,-1.35
490,-4.72,0.11,-1.65
494,-4.86,-0.12,-1.57
499,-5.25,-0.17,-1.54
503,-5.46,-0.17,-1.25
508,-5.71,-0.14,-1.22
513,-5.89,0.02,-1.32
518,-5.98,0.08,-1.04
522,-6.18,0.11,-0.87
527,-6.23,0.00,-0.71
532,-6.07,0.06,-1.27
535,-5.88,0.22,-1.61
540,-5.87,0.47,-2.13
545,-6.18,0.56,-2.71
549,-6.31,0.66,-3.37
554,-6.17,0.72,-3.98
559,-6.26,0.80,-4.15
564,-6.41,0.75,-4.22
568,-6.20,0.72,-5.04
573,-6.24,0.79,-5.61
577,-6.14,0.92,-5.80
581,-6.27,0.84,-6.07
586,-5.93,1.11,-6.35
591,-6.11,1.32,-6.05
596,-6.01,1.55,-6.21
600,-5.91,1.90,-6.37
605,-5.90,2.19,-6.93
610,-6.12,2.50,-6.88
614,-5.96,2.68,-6.91
618,-5.95,2.76,-7.11
623,-6.00,2.80,-7.06
628,-5.90,2.63,-6.93
632,-5.81,2.50,-6.90
637,-5.31,2.13,-6.37
642,-5.36,1.90,-6.42
646,-5.07,1.80,-6.23
651,-4.88,1.72,-6.34
656,-4.83,1.67,-5.95
660,-4.73,1.28,-5.69
664,-4.62,1.14,-5.66
669,-4.41,0.81,-5.77
674,-4.36,0.40,-5.64
679,-4.07,-0.10,-5.42
683,-3.37,-0.67,-5.45
688,-2.95,-1.07,-5.45
693,-2.64,-1.95,-5.54
697,-2.23,-2.30,-5.13
702,-1.83,-3.00,-5.19
706,-1.47,-3.78,-4.62
711,-1.17,-4.54,-4.06
715,-0.80,-5.32,-3.50
720,-0.23,-6.02,-2.99
725,0.37,-6.69,-2.09
730,0.85,-6.92,-1.40
734,1.41,-7.12,-0.26
739,1.82,-7.22,0.42
743,2.74,-7.11,0.86
748,3.45,-7.28,0.86
752,4.22,-7.44,0.98
757,4.86,-7.70,0.97
762,5.49,-8.10,1.25
767,6.59,-8.82,2.32
771,7.16,-9.95,3.07
776,8.26,-11.39,3.76
781,9.13,-13.31,5.36
785,10.13,-15.54,7.51
789,10.89,-16.54,10.26
794,11.72,-18.25,13.21
799,12.86,-19.22,16.61
803,13.03,-19.46,18.72
808,13.45,-19.51,19.34
813,12.89,-19.53,19.45
818,13.09,-19.53,19.52
822,14.13,-19.53,19.54
827,15.62,-19.53,19.54
831,16.75,-19.53,19.54
836,17.68,-19.37,19.54
841,18.45,-17.66,19.54
845,18.34,-14.48,19.54
850,18.18,-10.85,19.54
855,18.20,-7.29,19.54
860,17.95,-5.54,19.54
864,17.13,-2.60,19.54
868,15.70,-0.33,19.54
873,14.86,1.02,19.54
878,13.04,1.64,19.54
882,11.29,2.29,19.54
887,10.06,3.08,19.54
892,9.12,3.88,19.54
897,7.79,3.95,19.54
902,6.54,3.90,19.54
906,5.94,3.65,19.54
910,5.09,3.27,19.54
915,4.37,3.24,19.54
920,3.56,3.27,19.46
924,2.68,3.27,18.71
929,2.15,3.36,17.50
934,2.08,3.13,16.62
938,1.83,2.44,15.06
943,1.52,1.71,14.30
948,1.94,0.99,14.18
952,2.16,0.33,13.43
957,2.14,0.09,12.93
961,2.12,0.21,12.41
966,2.26,0.43,11.80
971,2.23,-1.06,10.72
976,2.13,-4.23,10.72
980,2.46,-5.88,10.85
985,2.34,-6.21,10.71
990,2.06,-5.42,11.15
994,2.06,-5.01,11.08
998,1.79,-4.48,10.78
1003,1.82,-4.84,10.34
1008,1.73,-5.65,9.90
1012,1.69,-5.93,10.25
