timestamp,accX,accY,accZ
0,9.03,-3.25,3.34
90,8.74,-3.03,3.30
94,8.54,-2.81,3.05
99,8.43,-2.62,2.91
104,8.37,-2.57,2.85
109,8.02,-2.00,2.78
113,8.61,-1.86,2.67
118,8.75,-1.77,2.54
123,8.68,-1.75,2.38
128,8.76,-1.50,1.98
131,8.74,-1.70,2.11
136,8.51,-1.66,1.99
141,8.67,-1.68,2.04
145,8.58,-1.85,2.27
150,8.72,-1.64,2.11
155,8.99,-1.82,2.06
160,8.79,-2.16,2.00
164,8.55,-2.42,2.02
169,8.76,-2.67,2.05
173,8.85,-2.87,2.30
177,8.86,-2.97,2.32
182,8.73,-3.09,2.10
187,8.71,-3.14,2.14
192,8.52,-3.05,1.98
196,8.19,-3.02,2.39
201,8.54,-2.82,2.34
206,8.75,-2.83,2.61
210,8.92,-2.84,2.82
214,8.88,-2.86,2.52
219,8.83,-2.79,3.07
224,8.91,-2.86,3.11
228,9.22,-2.87,3.02
233,9.12,-3.02,3.25
238,9.30,-2.97,3.89
242,9.40,-2.91,4.58
247,10.15,-2.88,5.11
252,10.13,-2.73,6.04
256,9.68,-2.59,7.00
260,9.79,-2.77,8.37
265,9.83,-2.77,9.71
270,9.90,-2.80,10.94
274,9.90,-2.96,12.40
279,10.06,-2.72,13.34
284,10.94,-2.42,14.74
289,12.06,-2.02,15.31
293,12.58,-1.61,15.70
297,13.06,-1.54,16.57
302,13.33,-1.15,17.11
307,13.62,-0.96,17.41
311,13.56,-1.11,17.75
316,13.83,-1.61,18.28
321,14.06,-2.24,18.42
326,14.05,-3.04,18.82
330,14.24,-3.36,19.07
335,14.60,-3.82,19.41
339,14.85,-4.25,19.47
344,15.13,-4.55,19.53
349,15.84,-4.51,19.54
353,16.19,-4.26,19.54
358,16.81,-3.89,19.54
363,17.30,-3.63,19.49
368,17.41,-3.64,19.44
372,17.57,-3.33,19.31
377,17.83,-3.26,19.05
381,18.32,-2.91,18.77
386,18.63,-2.74,18.19
390,18.91,-2.28,18.25
395,19.18,-2.03,18.46
400,19.40,-1.87,18.73
405,19.51,-1.66,18.77
409,19.53,-1.53,18.68
414,19.54,-1.63,18.28
419,19.54,-2.14,17.10
423,19.54,-3.02,16.05
427,19.54,-4.09,14.64
432,19.54,-4.75,12.87
437,19.54,-6.10,11.09
442,19.54,-7.90,9.17
446,19.54,-8.55,7.86
451,19.54,-9.62,6.94
456,19.53,-10.01,6.94
461,19.30,-10.33,6.15
464,18.56,-9.57,5.94
469,18.00,-7.44,6.37
474,16.94,-0.07,6.01
479,16.78,2.39,4.20
483,17.01,-2.27,2.27
488,18.67,-10.44,0.12
493,18.83,-12.98,-2.74
498,15.99,-9.51,-1.93
503,12.85,-6.88,1.55
506,11.08,6.62,5.50
511,11.42,13.32,5.69
516,12.59,12.87,2.94
521,13.05,4.17,-0.69
525,11.17,-6.24,-2.24
530,9.77,-11.96,-3.21
535,8.42,-11.06,-3.36
540,6.29,-10.18,-3.05
544,5.54,-8.86,-2.63
548,4.65,-6.81,-1.68
553,4.23,-5.02,-0.12
558,3.98,-2.36,0.27
562,4.05,-0.65,0.59
567,3.91,-0.69,-0.18
572,3.59,-1.37,-1.19
577,3.40,-2.15,-1.67
581,2.93,-1.14,-1.39
586,2.74,2.37,-1.10
590,2.63,4.80,-1.42
594,1.85,4.26,-2.27
599,0.94,3.33,-3.59
604,-0.07,1.65,-5.36
609,-0.31,1.09,-6.11
613,-1.02,0.94,-6.17
618,-2.03,1.57,-6.51
623,-3.37,2.37,-6.42
628,-4.26,2.85,-6.26
631,-5.01,2.72,-5.77
636,-5.71,2.32,-4.89
641,-6.25,1.48,-3.60
645,-6.38,0.87,-3.14
650,-6.57,0.42,-2.45
655,-6.43,0.24,-1.71
660,-6.33,0.08,-1.44
664,-6.34,-0.17,-1.42
669,-6.26,-0.27,-2.22
673,-6.06,-0.27,-3.25
677,-6.59,-0.21,-3.82
682,-6.86,-0.04,-4.27
687,-7.18,-0.07,-5.08
691,-7.08,-0.19,-5.29
696,-6.97,-0.23,-5.87
701,-6.88,-0.16,-5.74
706,-6.73,-0.38,-5.62
710,-6.67,-0.71,-6.00
714,-6.70,-1.38,-6.41
719,-6.85,-1.83,-6.88
724,-6.79,-2.34,-7.13
728,-6.53,-2.78,-7.56
733,-6.40,-2.95,-8.02
738,-6.14,-3.18,-8.41
743,-6.33,-3.49,-9.42
747,-6.46,-3.68,-10.00
752,-6.44,-3.53,-10.12
756,-6.20,-3.24,-10.50
761,-6.05,-2.92,-10.35
765,-5.74,-2.61,-10.90
770,-5.48,-2.29,-10.85
775,-5.02,-2.00,-10.49
779,-4.59,-1.94,-10.70
784,-4.35,-1.71,-10.57
789,-3.80,-1.43,-10.13
794,-3.66,-1.18,-9.57
797,-2.89,-1.07,-8.93
802,-2.44,-1.19,-8.40
807,-1.96,-1.41,-7.65
812,-1.49,-1.68,-6.78
816,-0.90,-2.07,-6.24
821,-0.39,-2.62,-5.39
826,-0.11,-3.27,-4.80
831,0.35,-4.03,-4.34
835,0.81,-4.72,-3.76
839,1.30,-5.23,-2.79
844,1.42,-5.44,-1.79
848,2.01,-5.94,-0.80
853,2.27,-6.49,0.02
858,2.85,-7.33,1.15
863,3.20,-8.05,1.33
867,3.15,-8.67,2.89
872,3.39,-8.86,4.22
877,3.37,-9.22,5.59
880,3.73,-9.35,6.83
885,3.97,-9.40,7.79
890,4.49,-9.49,9.30
895,4.69,-9.58,9.90
899,4.93,-9.57,10.83
904,4.75,-8.97,12.81
909,4.82,-9.42,12.95
914,5.34,-10.37,13.72
918,5.52,-10.92,14.64
922,5.82,-11.51,16.12
927,6.22,-12.07,16.77
932,6.57,-12.55,17.98
937,7.08,-12.94,18.99
941,7.28,-13.02,19.41
946,6.45,-13.53,19.51
951,6.49,-14.26,19.54
956,7.29,-14.77,19.54
960,7.84,-14.58,19.54
964,8.19,-13.95,19.54
969,8.71,-12.96,19.54
974,8.82,-12.23,19.54
978,8.68,-11.02,19.54
983,8.36,-9.88,19.54
988,8.12,-8.77,19.54
993,7.72,-7.71,19.54
997,7.25,-6.61,19.54
1002,6.86,-5.61,19.54
1006,6.26,-5.12,19.54
1011,5.84,-4.02,19.54
1015,5.58,-3.10,19.54
1020,5.35,-2.21,19.54
1025,4.76,-1.63,19.54
1030,4.46,-1.30,19.54
1034,3.91,-1.32,19.54
1039,3.07,-1.33,19.36
1044,2.51,-1.45,19.13
1048,2.09,-1.55,18.57
1053,1.25,-3.02,17.77
1057,1.69,-1.80,17.25
1062,1.37,-1.34,16.50
1067,1.25,-0.87,15.65
1071,1.50,-1.00,14.42
1076,1.67,-1.28,13.05
1081,2.13,-1.82,11.72
1086,2.19,-1.58,10.49
1090,2.19,-1.29,9.52
1094,1.63,-1.11,8.44
1099,1.58,-1.49,7.68
1104,0.99,-1.88,6.48
1108,0.76,-1.63,5.94
1113,0.35,-1.91,5.28
1118,0.35,-3.98,4.72
1123,0.68,-6.39,4.72
1127,0.89,-7.05,5.19
1131,0.84,-6.78,6.22
1136,0.51,-6.67,7.14
1140,0.59,-6.50,7.72
1145,0.77,-6.25,8.26
1150,0.68,-5.86,8.71
1155,0.86,-5.08,9.67
1159,0.31,-4.14,10.03
1164,0.17,-3.41,10.09
1169,0.59,-3.16,10.13
1173,0.47,-3.62,10.23
1177,0.56,-3.40,10.24
1182,0.60,-2.85,10.11
1187,0.23,-2.24,10.10
1192,0.09,-1.90,9.63
1196,0.03,-1.60,9.48
1201,0.20,-1.60,9.00
1206,0.30,-1.69,8.69
1210,0.37,-1.90,8.60
1214,0.50,-2.15,8.52
1219,0.59,-2.26,8.53
1224,0.55,-2.36,8.56
1228,0.52,-2.48,8.44
1233,0.64,-2.64,8.52
1238,0.96,-2.76,8.59
1243,1.08,-2.89,8.65
1247,1.16,-3.11,8.64
1252,1.28,-3.22,8.42
1256,1.33,-3.13,8.60
1261,1.52,-2.78,8.19
1265,1.32,-2.61,8.05
1270,1.23,-2.13,8.34
1275,1.47,-1.48,8.76
1279,1.67,-0.86,8.90
1284,1.81,-0.45,8.83
1289,1.81,-0.09,8.88
1294,2.12,-0.06,8.89
1297,2.31,0.09,8.99
1302,2.56,0.13,9.07
1307,2.71,0.32,9.49
1311,2.92,0.49,9.54
1316,3.22,0.64,9.88
1321,3.62,0.76,10.55
1325,4.02,0.64,11.04
1330,4.50,0.51,11.40
1335,4.74,0.42,11.25
1339,5.28,0.33,11.63
1343,5.78,0.33,11.63
1348,6.36,0.20,12.12
1353,6.51,-0.02,12.53
1358,6.78,-0.34,13.20
1363,7.13,-0.98,14.06
1367,7.24,-1.54,14.43
1372,7.50,-1.79,14.89
1377,7.83,-1.87,14.86
1381,7.72,-1.36,14.86
1385,7.82,-0.60,14.83
1390,7.95,-0.14,14.97
1395,8.17,0.80,15.25
1400,8.40,1.67,15.90
1404,8.58,2.12,16.80
1409,8.99,2.22,17.47
1414,9.84,2.03,17.54
1419,10.43,1.46,17.53
1423,10.76,0.83,17.88
1427,11.08,0.57,18.10
1432,11.55,-0.03,18.50
1437,11.89,-0.72,18.75
1442,12.05,-1.52,18.91
1446,12.26,-2.37,18.99
1451,12.57,-3.41,19.08
1456,12.67,-4.60,19.13
1461,12.64,-4.97,19.10
1464,12.58,-5.71,18.82
1469,12.44,-6.33,17.86
1474,12.18,-6.36,17.30
1478,11.87,-6.49,16.80
1483,11.59,-6.31,16.07
1488,11.22,-6.00,15.68
1493,11.15,-5.88,15.12
1498,11.34,-6.00,15.06
1502,11.16,-6.12,14.56
1506,10.34,-6.00,14.13
1511,9.78,-6.10,13.78
