timestamp,accX,accY,accZ
0,11.28,2.64,10.50
91,11.47,2.58,8.37
95,11.64,-3.13,6.44
100,12.92,-4.91,6.69
105,12.31,-4.64,6.71
109,10.84,-3.26,7.40
113,9.57,-2.16,8.41
118,9.33,-0.03,9.74
123,10.08,5.64,9.18
128,9.68,2.19,8.46
132,10.76,3.24,6.85
137,9.85,2.07,6.57
142,8.28,1.30,5.91
147,8.02,-1.94,4.59
150,8.38,-3.80,3.11
155,8.61,-5.28,2.65
160,8.64,-6.07,1.30
165,8.04,-6.87,0.17
169,6.84,-7.39,-0.11
174,5.60,-8.34,-1.59
179,4.48,-8.35,-2.26
184,3.92,-8.28,-2.53
188,3.45,-8.36,-3.28
192,3.36,-8.43,-3.86
197,2.35,-7.31,-3.65
201,2.10,-4.44,-3.14
206,2.10,-1.78,-3.30
211,1.70,-1.71,-3.90
216,0.68,-3.58,-5.05
220,0.05,-5.53,-5.18
225,-1.30,-5.73,-4.91
230,-1.65,-5.21,-5.03
233,-1.71,-4.27,-4.85
238,-1.77,-3.63,-4.44
243,-1.92,-3.21,-4.93
247,-2.39,-2.56,-4.95
252,-2.45,-2.18,-4.83
257,-2.83,-1.84,-5.03
262,-3.31,-1.46,-5.12
267,-3.56,-1.17,-5.25
271,-3.82,-0.88,-5.47
275,-4.11,-0.55,-5.63
280,-4.53,-0.22,-5.99
285,-4.67,0.04,-5.93
289,-4.76,0.26,-6.13
294,-4.98,0.67,-6.77
299,-5.37,1.03,-7.01
303,-5.36,1.31,-7.59
308,-5.73,1.81,-7.85
313,-6.03,2.31,-8.54
317,-6.00,2.60,-9.00
321,-6.30,2.73,-9.01
326,-6.30,2.84,-9.06
331,-6.40,2.66,-9.13
336,-6.43,2.70,-9.89
340,-6.66,2.52,-10.04
345,-6.84,2.48,-9.59
350,-6.63,2.29,-9.39
354,-6.81,2.30,-9.48
358,-6.70,2.30,-9.01
363,-6.64,2.23,-8.42
368,-6.56,2.02,-8.32
372,-6.26,1.99,-8.08
377,-6.02,2.14,-7.31
382,-5.73,2.33,-6.98
386,-5.84,2.31,-7.03
391,-5.80,2.06,-6.13
396,-5.60,1.93,-5.60
400,-5.31,1.74,-5.50
404,-5.10,1.47,-5.12
409,-4.82,1.32,-4.63
414,-4.97,0.98,-4.61
418,-4.95,0.53,-4.02
423,-5.05,0.31,-3.47
428,-4.95,0.01,-3.10
433,-4.79,-0.34,-3.32
437,-4.75,-0.43,-3.27
441,-4.57,-0.59,-3.33
446,-4.63,-0.53,-3.35
451,-4.56,-0.57,-3.54
455,-4.37,-0.57,-3.42
460,-4.17,-0.60,-3.83
465,-4.17,-0.70,-3.99
469,-3.93,-0.82,-3.97
474,-3.86,-1.02,-4.00
479,-3.62,-1.15,-4.05
483,-3.39,-1.38,-3.80
487,-3.12,-1.41,-3.65
492,-2.58,-1.73,-3.43
497,-2.59,-1.76,-3.41
502,-2.20,-2.14,-2.76
506,-1.95,-2.17,-1.77
511,-1.62,-1.46,1.15
516,-1.75,-1.20,3.11
520,-2.11,-1.06,4.32
524,-2.53,-1.52,5.44
529,-2.53,-1.92,5.14
534,-2.51,-2.27,5.68
538,-2.32,-2.85,5.91
543,-2.24,-3.49,5.80
548,-2.28,-3.68,5.85
552,-2.02,-4.25,5.79
557,-1.90,-4.78,5.94
562,-1.49,-5.52,5.81
566,-1.33,-6.21,5.09
570,-1.12,-7.67,4.92
575,-0.42,-9.42,4.68
580,0.38,-10.26,4.61
585,1.02,-12.33,4.62
589,1.40,-14.51,4.81
594,2.18,-16.32,5.67
599,3.00,-18.10,7.07
604,3.66,-19.15,7.48
607,4.47,-19.44,8.52
612,5.21,-19.48,8.79
617,6.36,-19.52,9.10
622,6.74,-19.53,9.39
626,7.71,-19.53,10.70
631,8.44,-19.53,12.63
636,9.11,-19.53,13.43
641,9.90,-19.53,15.74
645,10.19,-19.53,17.81
649,10.76,-19.53,19.04
654,10.60,-18.59,19.42
659,10.47,-17.12,19.51
663,10.17,-15.41,19.54
668,10.23,-13.76,19.54
673,10.16,-11.95,19.54
678,9.65,-10.17,19.54
683,8.88,-9.45,19.54
687,7.95,-7.64,19.54
691,7.44,-6.61,19.54
696,7.02,-5.78,19.54
701,6.08,-7.53,19.54
705,4.56,-5.07,19.54
710,3.68,-3.53,19.54
715,3.03,-3.20,19.54
720,2.45,-3.10,19.54
724,2.13,-3.70,19.54
729,1.76,-4.16,19.53
733,1.68,-5.17,19.54
737,1.73,-3.83,19.38
