timestamp,accX,accY,accZ
0,12.24,-3.56,8.26
91,12.64,-3.80,9.22
95,12.62,-3.86,10.25
100,13.02,-4.10,11.56
105,13.56,-4.13,12.32
110,13.93,-4.23,13.52
114,14.23,-4.50,14.98
118,14.31,-4.63,16.26
123,14.83,-4.84,17.49
128,15.04,-4.89,18.12
132,15.55,-4.66,18.57
137,15.86,-4.47,18.64
142,16.48,-4.09,18.65
147,16.81,-3.90,18.82
151,17.19,-3.82,18.62
156,17.32,-3.66,18.81
160,17.49,-3.43,18.57
165,17.70,-3.23,18.14
170,17.98,-2.99,17.76
174,18.23,-2.52,17.72
179,18.66,-2.00,17.22
184,19.02,-1.77,16.65
189,19.23,-1.87,15.38
193,19.25,-1.98,14.51
198,19.34,-2.07,13.61
202,19.35,-1.98,12.95
207,19.28,-1.70,12.80
212,19.06,-1.41,12.59
216,18.85,-1.33,13.08
221,18.39,-1.41,13.31
226,18.12,-1.44,14.05
231,17.74,-1.38,14.90
235,17.53,-1.11,15.67
240,17.41,-0.71,15.86
244,17.28,-0.37,15.57
249,17.28,-0.48,15.49
253,17.44,-0.83,14.70
258,17.90,-1.29,13.54
263,18.32,-1.97,12.08
268,18.49,-2.75,10.43
273,18.69,-3.38,8.81
277,18.80,-3.94,8.33
282,18.36,-3.24,7.08
286,18.10,-2.75,6.11
290,17.89,-2.32,5.08
295,17.86,-1.38,4.47
300,17.64,-0.85,4.31
305,16.99,-1.55,3.99
310,15.58,0.19,3.69
314,14.96,3.58,3.75
319,14.56,1.19,1.98
323,14.49,0.57,-0.24
328,14.35,0.72,-1.76
332,13.46,-1.05,-4.12
337,12.21,-5.02,-4.47
342,9.94,-6.66,-4.20
347,7.84,-6.15,-2.35
351,7.15,-5.57,-0.19
356,6.87,-5.06,1.55
361,6.81,-4.38,2.21
365,6.73,-5.83,2.65
369,6.60,-4.60,2.34
374,5.56,-4.84,1.74
379,4.89,-5.60,1.79
384,4.60,-6.96,0.58
388,4.49,-7.38,-0.37
393,3.98,-6.20,-0.73
398,3.76,-4.98,-0.97
402,3.15,-3.61,-0.55
407,2.66,-2.81,-0.64
411,1.84,-1.70,0.34
416,1.38,-1.38,1.09
420,1.11,-1.47,1.46
425,0.94,-2.10,2.02
430,0.77,-2.33,2.15
435,0.30,-1.79,2.84
439,0.06,-1.91,3.00
444,-0.24,-2.49,3.22
448,-0.57,-2.85,3.01
452,-0.96,-3.41,2.50
457,-1.16,-3.32,1.81
462,-1.41,-3.63,0.65
466,-1.33,-4.05,0.29
471,-1.18,-4.33,-1.03
476,-1.14,-4.47,-2.51
481,-1.19,-4.34,-3.32
485,-1.38,-4.02,-3.84
490,-1.40,-3.69,-4.09
494,-1.68,-3.26,-4.43
499,-1.98,-2.63,-4.41
503,-1.82,-2.07,-5.08
508,-2.10,-1.84,-5.41
513,-2.28,-1.52,-6.01
517,-2.51,-1.06,-6.68
522,-2.84,-0.84,-7.06
527,-3.14,-0.67,-7.36
532,-3.36,-0.20,-7.95
535,-3.66,-0.04,-8.64
540,-4.18,0.14,-9.29
545,-4.48,0.19,-10.17
549,-4.67,0.32,-10.63
554,-4.79,0.46,-10.38
559,-5.01,0.45,-10.41
564,-5.02,0.46,-10.66
568,-5.25,0.50,-10.58
573,-5.58,0.48,-10.77
577,-5.70,0.53,-10.51
582,-5.88,0.68,-10.22
586,-6.17,0.83,-10.33
591,-6.16,0.99,-9.87
596,-6.20,1.23,-9.76
601,-5.99,1.34,-9.58
605,-6.27,1.54,-9.11
610,-6.37,1.57,-8.98
615,-6.35,1.29,-8.97
619,-6.24,0.63,-9.17
623,-6.03,0.28,-8.87
628,-5.90,-0.05,-8.68
633,-5.64,-0.06,-8.38
637,-5.53,-0.33,-8.29
642,-5.49,-0.63,-7.24
647,-5.35,-0.75,-6.98
652,-5.14,-1.08,-6.98
656,-5.07,-1.25,-6.25
660,-4.87,-1.29,-5.56
665,-4.83,-1.46,-5.38
670,-4.78,-1.63,-5.11
674,-4.67,-1.83,-5.21
679,-4.78,-2.10,-4.66
684,-4.36,-2.32,-4.80
689,-4.26,-2.57,-4.78
693,-4.18,-2.90,-4.18
