timestamp,accX,accY,accZ
0,11.92,-1.17,9.69
91,12.64,-1.24,10.27
95,13.16,-1.11,10.88
100,13.89,-1.19,10.96
105,14.05,-1.41,11.94
109,14.79,-1.89,12.36
113,15.60,-2.27,12.46
118,16.38,-2.74,13.06
123,17.10,-3.39,13.72
128,17.72,-3.75,14.20
132,18.28,-4.28,14.85
137,18.49,-4.80,15.37
142,19.17,-5.22,16.09
147,19.31,-5.58,16.44
151,19.44,-5.85,16.96
155,19.49,-6.12,17.33
160,19.51,-6.24,17.47
165,19.54,-6.36,17.50
169,19.54,-6.49,17.43
174,19.54,-6.59,17.03
179,19.54,-6.65,16.39
184,19.54,-6.53,16.16
188,19.54,-5.99,15.76
192,19.54,-5.92,15.03
197,19.54,-5.70,14.59
202,19.54,-5.27,14.14
206,19.53,-4.94,13.41
211,19.54,-4.49,12.83
216,19.53,-3.84,12.46
221,19.42,-3.31,11.75
225,19.27,-2.82,11.48
230,18.98,-2.17,11.24
234,18.55,-1.48,10.75
239,18.20,-0.81,10.38
244,17.39,-0.21,10.27
248,17.11,0.29,9.89
253,16.71,1.02,9.32
258,16.17,1.84,9.09
263,15.82,2.17,8.91
267,15.20,2.76,8.05
272,14.91,3.10,7.44
276,14.41,3.39,6.94
281,13.86,3.34,6.80
285,13.46,3.39,7.00
290,12.91,2.94,6.68
295,12.65,2.58,6.74
300,12.45,2.14,6.89
304,12.30,1.55,7.08
309,11.99,0.71,6.84
314,11.72,-0.11,7.03
318,11.64,-0.54,7.41
322,10.99,0.58,7.96
327,10.75,1.84,7.63
332,11.14,0.53,7.19
336,11.50,-0.50,5.64
341,12.02,-2.59,4.91
346,11.09,-4.50,4.92
351,9.48,2.25,6.79
355,8.80,4.31,7.71
359,11.32,6.26,6.34
364,12.25,4.23,3.24
369,11.39,-2.93,1.68
373,9.82,-6.78,-0.55
378,8.40,-9.56,-1.87
383,7.12,-9.47,-2.85
388,6.01,-7.80,-3.17
392,5.01,-7.61,-3.39
397,4.12,-8.01,-3.46
401,3.45,-8.79,-3.30
406,2.97,-8.39,-2.81
410,2.68,-7.77,-2.76
415,2.67,-7.07,-2.13
420,2.47,-6.17,-1.82
425,2.30,-5.80,-2.53
429,1.62,-6.14,-3.10
434,1.45,-6.61,-3.48
439,0.63,-7.26,-3.69
442,-0.09,-7.69,-3.53
447,-0.47,-7.40,-3.12
452,-0.79,-7.12,-2.66
457,-1.10,-6.89,-1.99
461,-1.40,-6.70,-1.57
466,-1.71,-5.54,-1.14
471,-1.71,-4.60,-0.88
475,-1.55,-4.11,-1.12
480,-1.97,-4.19,-1.18
484,-2.53,-4.13,-0.83
489,-2.57,-3.83,-1.01
494,-2.57,-3.80,-1.07
498,-2.65,-4.03,-1.73
503,-2.58,-4.20,-2.22
508,-2.64,-3.95,-2.29
512,-2.44,-3.94,-2.77
517,-2.74,-4.15,-3.78
522,-3.03,-4.21,-4.65
526,-3.25,-4.21,-5.36
530,-3.69,-4.03,-6.03
535,-3.88,-3.83,-6.41
540,-4.00,-3.31,-6.88
544,-4.17,-3.01,-8.12
549,-4.43,-2.23,-8.31
554,-4.70,-1.40,-8.67
559,-4.87,-0.62,-8.87
563,-5.28,0.15,-9.46
567,-5.53,0.93,-9.31
572,-5.65,1.40,-9.71
577,-5.66,1.81,-9.67
581,-5.85,2.20,-9.20
586,-5.75,2.63,-9.03
591,-5.84,3.14,-8.56
596,-6.17,3.45,-8.42
600,-6.43,3.76,-8.15
605,-6.26,4.04,-7.94
609,-6.23,4.32,-7.42
613,-6.26,4.28,-6.74
618,-6.16,4.37,-6.44
623,-5.88,4.45,-5.64
628,-5.80,4.79,-5.50
632,-6.03,5.08,-4.93
637,-6.13,5.24,-4.43
642,-6.23,5.39,-4.00
647,-6.12,5.65,-3.23
650,-6.05,5.44,-3.06
655,-5.80,5.40,-2.82
660,-5.90,5.01,-2.67
664,-6.19,4.50,-2.07
669,-5.97,4.30,-1.77
674,-5.71,3.68,-1.26
679,-5.60,3.00,-1.22
683,-5.72,2.42,-1.09
688,-5.74,2.12,-0.96
692,-5.69,1.56,-0.79
697,-5.59,1.02,-0.96
701,-5.57,0.66,-1.46
706,-5.40,0.00,-1.96
711,-5.40,-0.50,-2.90
715,-5.24,-1.00,-3.34
720,-5.15,-1.36,-3.53
725,-5.12,-1.93,-3.80
730,-5.12,-2.57,-4.23
733,-5.11,-2.84,-4.19
738,-4.92,-3.41,-4.85
743,-4.91,-3.67,-4.67
747,-4.99,-4.07,-4.73
752,-4.82,-4.37,-4.95
757,-4.69,-4.38,-4.85
762,-4.71,-4.56,-4.81
766,-4.49,-4.91,-4.74
771,-4.21,-4.98,-4.62
775,-4.21,-4.98,-3.77
780,-3.88,-4.93,-3.74
784,-3.53,-4.89,-3.56
789,-3.04,-4.62,-3.72
794,-2.85,-4.52,-3.50
799,-2.46,-4.18,-3.53
803,-2.16,-3.81,-3.95
808,-1.99,-3.31,-4.05
813,-1.61,-2.37,-3.36
817,-1.56,-0.60,-1.10
821,-1.57,0.31,0.43
826,-1.42,0.44,1.06
831,-1.41,0.21,1.74
836,-1.34,-0.21,1.82
840,-1.11,-0.77,2.45
845,-0.82,-1.41,2.74
850,-0.66,-1.94,3.67
854,-0.42,-2.26,4.89
858,-0.37,-2.87,6.18
863,-0.35,-3.42,7.78
867,-0.11,-3.92,9.44
872,-0.53,-4.54,10.14
877,-0.66,-4.83,10.99
882,-0.50,-5.33,11.44
