timestamp,accX,accY,accZ
0,0.47,-1.91,16.35
91,15.00,-2.01,16.46
95,15.14,-1.99,16.52
100,15.16,-1.95,16.58
105,15.54,-1.98,16.42
110,15.67,-1.72,16.43
113,15.97,-1.71,16.13
118,16.21,-1.58,15.99
123,16.51,-1.48,15.48
128,16.66,-1.37,14.94
133,16.91,-1.13,14.45
137,16.97,-0.86,14.02
142,17.11,-0.66,13.54
147,16.85,-0.48,12.94
151,16.92,-0.62,12.44
155,16.99,-0.54,11.88
160,16.84,-0.33,10.86
165,16.69,0.03,10.30
170,16.64,0.37,10.09
175,16.61,0.56,10.00
179,16.67,0.78,10.17
184,16.55,0.86,10.40
189,16.73,0.48,10.34
193,16.83,-0.04,10.34
197,16.73,-0.22,10.40
202,16.69,-0.54,10.17
207,16.79,-0.79,10.08
211,16.59,-0.99,10.22
216,16.39,-1.06,10.11
221,16.49,-1.15,10.35
226,16.70,-1.91,10.14
230,16.48,-2.35,10.11
235,16.23,-2.89,10.08
239,15.94,-3.43,10.10
244,15.71,-4.15,9.99
248,15.34,-4.48,9.84
253,15.31,-4.89,9.72
258,15.43,-5.70,8.93
263,15.11,-6.49,8.43
267,14.27,-5.83,8.13
272,13.98,-5.16,8.15
276,13.41,-1.71,8.41
281,12.83,0.24,8.31
285,13.20,1.38,6.21
290,13.19,-1.80,3.30
295,12.60,-4.19,2.51
300,11.27,-4.43,2.27
304,10.21,-3.84,2.39
309,9.07,-4.43,2.90
314,7.95,-4.97,3.30
318,6.49,-6.88,3.71
322,5.91,-7.61,4.94
327,5.07,-5.22,5.96
332,4.74,-3.25,6.03
337,4.71,-3.94,5.26
341,4.35,-5.02,4.03
346,3.77,-4.76,3.63
351,3.74,-3.16,3.73
355,4.02,-0.68,3.07
360,4.70,0.28,1.47
364,5.35,0.26,0.27
369,5.18,-0.79,-2.31
373,4.38,-1.46,-4.76
378,3.67,-1.51,-6.85
383,3.16,-1.69,-8.41
387,2.92,-1.65,-9.78
392,2.04,-1.54,-10.61
397,1.19,-1.41,-10.98
401,0.00,-1.81,-10.90
405,-1.17,-2.03,-11.15
410,-2.49,-2.60,-10.59
415,-3.16,-2.55,-9.86
420,-4.11,-2.24,-8.79
424,-4.81,-1.75,-8.35
429,-5.08,-1.54,-7.72
434,-5.45,-1.53,-7.23
438,-5.84,-1.47,-7.03
443,-6.20,-1.20,-6.26
447,-6.33,-0.90,-5.67
452,-6.37,-0.76,-5.28
456,-6.30,-0.49,-4.82
461,-6.36,-0.36,-4.50
466,-6.32,-0.35,-4.46
470,-6.44,-0.21,-4.15
475,-6.42,-0.14,-3.73
480,-6.20,-0.04,-3.70
485,-6.21,0.16,-3.34
488,-6.26,0.34,-2.89
493,-6.32,0.17,-2.53
498,-6.37,-0.03,-2.30
502,-6.42,-0.22,-2.27
507,-6.59,-0.47,-2.47
512,-6.53,-0.50,-2.22
517,-6.23,-0.39,-2.16
521,-6.18,-0.11,-2.73
526,-6.08,-0.18,-2.59
530,-5.88,0.08,-2.87
535,-5.93,0.20,-2.83
539,-5.99,0.11,-3.39
544,-5.87,-0.03,-3.73
549,-5.67,-0.20,-4.28
553,-5.46,-0.22,-5.02
558,-5.35,-0.34,-5.42
563,-5.41,-0.64,-6.25
568,-5.29,-0.82,-7.25
571,-5.17,-0.87,-7.39
576,-4.83,-1.06,-7.59
581,-4.55,-1.13,-8.06
585,-4.43,-1.17,-8.65
590,-4.36,-1.51,-8.93
595,-4.00,-1.76,-8.72
600,-3.84,-1.88,-8.84
604,-3.88,-1.77,-8.16
609,-3.93,-2.14,-7.89
613,-3.65,-2.41,-7.39
618,-3.32,-2.58,-6.84
622,-3.04,-3.08,-5.97
627,-2.68,-3.64,-5.23
632,-2.53,-4.06,-4.95
637,-2.27,-4.42,-4.41
641,-1.70,-4.78,-4.35
646,-1.18,-5.00,-3.58
651,-0.94,-5.31,-3.01
654,-0.48,-5.63,-2.55
659,-0.33,-6.04,-1.28
664,0.31,-6.26,-0.26
669,0.87,-6.25,0.64
673,0.78,-5.07,3.02
678,0.88,-4.82,4.63
683,1.04,-4.42,5.58
687,0.96,-4.37,6.30
692,0.77,-4.56,7.79
696,0.80,-4.91,8.40
701,0.85,-5.03,8.99
705,0.77,-5.20,10.13
710,0.87,-5.17,10.65
715,1.00,-5.26,11.17
720,1.11,-5.55,11.31
725,1.20,-6.07,11.61
729,1.33,-6.80,11.39
734,1.69,-7.88,11.71
738,1.97,-8.83,12.09
742,2.25,-9.73,12.83
747,3.14,-10.28,13.91
752,3.57,-11.60,14.45
757,3.84,-12.89,15.44
761,4.62,-14.26,16.50
766,5.48,-15.19,17.06
771,6.29,-15.79,18.00
776,6.86,-16.35,18.81
780,7.18,-16.44,19.16
784,7.34,-16.14,19.45
789,7.51,-15.53,19.52
794,8.22,-14.00,19.54
799,8.84,-13.09,19.54
803,9.79,-12.10,19.54
808,10.09,-10.56,19.54
813,9.88,-9.74,19.54
818,9.28,-8.51,19.54
821,8.97,-6.75,19.54
826,8.74,-6.00,19.54
831,8.54,-5.04,19.54
836,7.48,-3.08,19.54
840,6.13,-1.32,19.54
845,4.98,-0.72,19.54
850,4.22,-0.96,19.54
855,3.57,-1.39,19.54
860,3.63,-0.77,19.54
863,3.37,0.34,19.52
868,3.39,1.86,19.48
873,3.21,3.30,18.95
877,2.97,5.09,18.11
882,2.81,6.12,16.79
887,2.85,7.98,15.28
892,2.82,8.57,13.62
896,2.89,6.65,11.88
901,2.32,1.27,10.93
905,2.02,-2.89,10.35
910,1.49,-4.11,10.22
914,1.56,-4.60,11.10
919,1.78,-3.61,11.52
924,1.86,-1.97,11.30
929,1.74,-2.60,10.86
933,1.72,-3.76,10.65
938,1.75,-4.17,10.58
943,1.67,-3.44,10.54
947,1.52,-3.00,10.71
951,1.93,-1.99,10.09
956,1.86,-1.31,9.70
961,2.46,-0.80,9.49
965,2.37,-0.32,9.60
970,2.12,0.20,9.50
975,2.03,0.48,9.76
980,2.09,0.80,9.44
984,2.15,1.11,9.42
988,2.32,1.06,9.23
993,2.34,1.05,9.68
998,2.05,0.95,9.95
1002,2.01,0.68,9.90
1007,1.74,0.77,9.93
1012,1.67,0.83,10.55
1017,1.62,1.09,10.52
1021,1.65,1.46,10.69
1026,1.77,1.62,10.83
1030,1.54,1.86,11.04
1035,1.62,1.94,10.78
1039,1.40,2.02,10.98
1044,1.58,2.16,10.65
1049,1.42,2.09,10.36
1054,1.53,2.08,10.39
1058,1.57,1.84,10.32
1063,1.66,1.72,9.79
1068,1.62,1.72,9.65
1071,1.76,1.71,9.68
1076,1.80,1.91,9.37
1081,1.75,2.20,9.39
1086,2.05,2.26,9.03
1090,2.39,2.36,8.73
1095,2.46,2.48,8.38
1100,2.66,2.73,8.69
1105,2.88,2.82,8.77
1109,3.04,2.92,8.30
1113,3.11,3.06,8.59
1118,3.37,3.14,8.47
1122,3.36,3.28,8.27
1127,3.64,3.44,8.30
1132,3.76,3.54,8.56
1137,3.98,3.78,8.92
1141,4.22,3.86,8.84
1146,4.37,4.28,9.24
1151,4.74,4.29,9.16
1155,5.12,4.14,8.93
1159,5.55,4.06,8.95
1164,5.68,4.00,9.09
1169,6.11,3.90,9.20
1174,6.45,4.15,9.06
1178,6.91,4.41,9.22
1183,7.36,4.70,9.22
1188,7.42,5.50,9.71
1192,7.82,6.13,10.05
1196,7.92,6.26,10.71
1201,8.35,6.48,11.54
1206,8.61,6.58,12.40
1210,8.77,6.91,13.10
1215,9.20,7.26,13.40
1220,9.74,7.51,14.11
1225,10.25,8.12,14.42
1230,10.72,8.44,14.87
1234,11.24,8.68,15.38
1238,11.60,9.14,16.05
1243,12.04,9.55,16.49
1247,12.53,9.90,16.78
1252,13.07,10.23,17.10
1257,13.45,10.32,17.36
1262,14.08,10.46,17.54
1267,14.92,10.57,17.95
1271,15.43,10.51,17.94
1276,15.76,10.37,17.99
1280,16.54,9.85,17.81
1285,17.26,9.27,17.53
1290,17.74,8.67,17.18
1294,18.17,7.99,16.84
1299,18.32,7.69,16.63
1304,18.80,7.07,16.44
1309,19.02,6.45,16.78
1313,19.15,5.58,16.91
1318,19.35,4.46,16.84
1322,19.49,2.97,16.73
1326,19.53,1.11,16.46
1331,19.49,0.24,16.37
1336,19.50,-2.05,16.53
1341,19.52,-4.21,16.14
1346,19.37,-5.97,15.87
1350,18.29,-8.69,15.45
1355,17.63,-10.56,15.39
1360,17.21,-11.23,14.99
1364,16.53,-11.58,14.75
1368,15.46,-11.74,14.41
1373,14.10,-12.42,13.55
1378,13.54,-13.21,12.36
1383,12.29,-13.67,10.86
1387,11.06,-13.92,10.36
1392,9.93,-13.76,9.07
