timestamp,accX,accY,accZ
0,10.53,-1.66,5.03
91,10.74,-1.52,5.88
95,11.04,-1.55,6.36
100,11.40,-1.43,7.03
104,11.65,-1.44,8.17
109,11.72,-1.34,9.32
113,12.21,-1.18,10.52
118,12.56,-1.00,11.80
123,12.71,-0.57,12.78
128,12.86,-0.17,13.60
132,13.16,0.34,13.66
137,13.37,0.60,13.92
142,14.02,0.71,14.65
146,14.38,0.97,15.14
150,14.66,0.78,15.31
155,14.70,0.69,14.96
160,14.81,0.38,14.91
165,15.25,-0.05,14.68
169,15.56,-0.28,15.04
174,15.77,-0.36,15.03
179,16.13,-0.54,15.45
184,16.40,-0.75,15.58
188,16.56,-0.99,15.41
192,16.67,-1.14,15.80
197,17.37,-1.19,16.02
202,18.15,-1.11,16.13
207,18.40,-1.03,16.50
211,18.58,-1.07,16.50
216,18.62,-0.96,16.73
221,18.74,-0.84,16.35
226,19.02,-0.89,16.29
229,19.12,-0.94,16.46
234,19.22,-0.90,16.65
239,19.24,-0.94,16.72
244,19.30,-1.04,16.42
248,19.42,-1.05,15.82
253,19.43,-1.11,15.56
258,19.47,-0.83,14.79
263,19.53,-0.69,14.11
267,19.54,-0.55,14.02
271,19.54,-0.46,13.55
276,19.54,-0.42,12.62
281,19.54,-0.58,11.80
285,19.54,-0.80,10.59
290,19.54,-0.80,9.66
295,19.54,-0.98,9.22
300,19.31,-1.23,9.10
304,19.13,-1.53,8.01
309,19.01,-1.71,7.77
313,18.38,-2.12,7.14
318,17.63,-2.33,6.97
322,17.23,-2.53,6.93
327,16.37,-2.74,7.08
332,15.89,-2.65,6.96
337,15.23,-2.69,7.08
342,14.67,-2.65,7.35
346,13.93,-2.88,6.82
351,13.64,-2.91,7.29
355,13.40,-2.03,7.17
360,12.28,0.49,6.79
364,12.23,-0.20,6.58
369,12.51,-3.20,5.33
374,12.22,-3.57,4.75
379,11.46,-3.93,4.35
383,10.18,-4.40,5.09
388,9.57,-1.61,7.09
393,8.97,3.63,9.00
397,10.13,4.89,8.16
401,11.17,4.41,7.74
406,11.70,3.09,5.31
411,10.67,2.18,3.71
416,9.53,0.85,1.87
420,9.28,-3.29,0.00
425,9.27,-5.58,-1.81
430,8.13,-4.42,-2.14
434,6.66,-4.51,-2.97
438,5.42,-7.05,-3.49
443,4.11,-7.78,-3.57
448,3.01,-7.63,-2.98
452,2.60,-6.92,-2.56
457,2.39,-6.34,-2.19
462,2.29,-5.80,-2.14
467,2.33,-5.10,-1.58
471,2.19,-4.97,-2.21
476,1.97,-4.71,-3.10
480,1.47,-5.11,-4.15
484,1.20,-5.52,-5.44
489,0.26,-5.54,-6.12
