timestamp,accX,accY,accZ
0,16.79,-2.97,14.91
91,17.21,-3.16,14.48
95,17.52,-3.25,14.92
99,17.74,-3.19,14.61
104,17.67,-3.02,14.42
109,18.09,-3.01,14.16
114,18.51,-3.15,14.16
118,18.59,-3.13,15.11
123,18.86,-3.32,15.42
128,19.04,-3.45,15.71
132,19.12,-3.38,15.81
137,19.26,-3.15,15.64
141,19.29,-3.00,15.85
146,19.40,-2.84,15.85
151,19.47,-2.85,15.59
155,19.49,-2.84,14.72
160,19.53,-2.58,14.14
165,19.52,-2.52,13.65
170,19.53,-2.30,13.24
174,19.49,-2.15,12.67
179,19.47,-2.11,12.18
183,19.37,-1.60,11.78
188,19.39,-1.22,11.20
192,19.46,-1.13,10.81
197,19.40,-1.03,10.51
202,19.35,-1.20,9.96
207,19.29,-1.19,10.15
211,19.24,-1.41,9.40
216,19.12,-1.65,9.50
221,18.88,-1.95,8.79
225,18.78,-2.11,8.33
230,18.51,-2.39,8.15
234,18.38,-2.55,7.74
239,18.21,-2.85,7.25
244,18.05,-3.28,6.91
249,17.85,-3.55,6.54
253,17.42,-4.27,6.42
258,17.00,-4.44,6.33
263,16.02,-3.66,6.02
267,15.36,-0.68,6.85
271,15.12,-1.15,6.67
276,14.55,-2.34,6.23
281,14.43,-3.02,5.70
286,13.86,-4.31,4.16
290,12.67,-5.19,4.22
295,11.34,-6.20,4.24
300,9.49,-7.20,4.61
305,8.84,-4.78,7.39
308,8.12,1.26,7.58
313,8.69,-1.74,7.34
318,9.64,-2.10,5.80
323,9.55,-2.89,5.04
327,8.93,-2.84,3.88
332,8.78,-2.57,1.55
337,8.79,-4.16,-0.59
341,8.56,-4.89,-2.67
346,7.86,-4.77,-3.48
350,6.67,-5.88,-5.01
355,5.48,-6.48,-5.99
359,4.18,-6.61,-5.92
364,3.68,-5.98,-5.47
369,2.96,-5.58,-5.01
373,2.43,-5.59,-4.80
378,1.91,-4.57,-4.61
383,1.67,-3.03,-4.34
388,1.29,-2.35,-4.61
391,0.38,-2.85,-5.71
396,-0.08,-4.69,-6.33
401,-1.22,-5.76,-6.70
406,-1.78,-5.58,-6.63
410,-2.07,-5.06,-6.84
415,-2.36,-4.50,-7.11
420,-2.79,-4.34,-7.60
424,-2.79,-3.79,-7.85
429,-3.17,-3.06,-8.60
433,-3.40,-2.32,-9.04
437,-3.78,-1.51,-9.25
442,-4.17,-0.80,-9.62
447,-4.13,-0.37,-10.45
452,-4.58,0.18,-10.55
456,-4.85,0.44,-11.01
461,-5.21,0.85,-10.84
466,-5.27,1.32,-10.81
471,-5.39,1.57,-10.23
474,-5.35,1.63,-9.86
479,-5.60,1.60,-9.64
484,-5.91,1.32,-9.06
489,-6.02,0.74,-8.93
493,-6.08,0.45,-8.40
498,-6.03,0.52,-8.31
503,-6.13,0.46,-7.70
508,-5.98,0.78,-7.15
512,-5.79,0.91,-6.26
516,-5.56,1.07,-6.02
521,-5.61,1.26,-5.37
525,-5.65,1.39,-4.51
530,-5.67,1.35,-4.31
535,-5.48,1.21,-4.06
540,-5.66,1.08,-3.95
544,-5.64,0.76,-3.52
549,-5.56,0.30,-3.44
554,-5.28,-0.04,-3.58
558,-5.14,-0.18,-3.56
562,-4.81,-0.21,-3.81
567,-4.74,-0.38,-3.53
572,-4.51,-0.48,-3.82
577,-4.44,-0.47,-3.81
581,-4.43,-0.38,-4.03
586,-4.16,-0.27,-4.18
591,-4.06,-0.22,-4.58
595,-3.90,-0.36,-4.97
599,-3.49,-0.20,-5.19
604,-3.64,0.00,-4.75
609,-3.76,0.88,-3.19
613,-3.66,1.46,-2.44
618,-3.43,1.69,-2.28
623,-3.32,1.74,-2.06
628,-3.23,1.53,-2.15
632,-3.20,1.32,-1.86
637,-2.71,1.15,-1.93
641,-2.18,1.12,-1.97
645,-1.97,1.18,-2.06
650,-1.59,1.51,-2.33
655,-1.55,1.67,-2.40
660,-1.40,1.65,-1.78
664,-1.31,1.44,-2.15
669,-0.40,1.11,-2.79
674,0.15,0.48,-2.79
678,0.58,-0.32,-2.62
682,0.46,-1.61,-2.54
687,0.67,-3.47,-2.33
692,1.60,-5.19,-2.21
696,2.39,-6.03,-1.71
701,2.78,-8.16,-0.13
706,3.18,-9.90,1.52
711,3.66,-11.60,3.07
715,4.13,-13.02,4.08
720,4.74,-13.81,6.42
724,5.12,-14.00,8.23
729,5.78,-14.37,9.93
733,6.32,-14.78,10.75
738,6.49,-14.87,11.31
743,6.84,-15.09,12.03
748,7.26,-15.19,12.81
753,7.61,-15.36,12.97
757,8.04,-15.48,13.69
762,9.02,-15.56,14.75
766,9.94,-15.18,16.49
771,11.00,-14.72,18.19
775,11.44,-14.41,19.07
780,12.04,-13.89,19.43
785,12.12,-13.41,19.48
790,12.46,-12.58,19.53
794,12.14,-11.80,19.54
799,12.11,-11.10,19.54
804,11.72,-10.15,19.54
808,11.78,-9.01,19.54
812,11.37,-8.36,19.54
817,10.88,-7.37,19.54
822,10.02,-7.01,19.54
827,8.76,-6.68,19.54
831,7.63,-6.41,19.54
836,7.05,-6.06,19.54
841,6.89,-5.49,19.54
846,6.71,-5.16,19.54
849,6.49,-5.03,19.54
854,6.34,-4.71,19.54
859,6.54,-4.24,19.54
864,6.39,-3.92,19.54
869,6.18,-3.49,19.44
873,5.83,-2.81,19.09
878,5.96,-2.24,18.88
883,5.82,-1.76,17.98
887,5.40,-1.11,17.46
891,5.07,-0.95,16.50
896,4.61,-0.86,15.49
901,4.24,-0.87,14.40
906,3.76,-2.51,13.23
910,3.62,-5.38,12.33
915,3.28,-5.40,12.14
920,2.93,-4.22,12.18
924,2.81,-4.09,11.39
929,2.72,-4.50,10.81
933,2.54,-5.26,10.19
938,2.67,-5.18,9.78
942,2.69,-5.30,9.16
947,3.00,-6.00,8.84
952,2.85,-6.46,8.37
957,2.77,-6.43,8.13
961,2.78,-5.93,7.87
966,2.69,-5.01,8.05
971,2.89,-4.60,7.86
974,2.98,-4.48,7.51
979,3.17,-4.52,7.19
984,2.87,-4.12,7.04
989,2.83,-4.00,7.40
993,2.85,-3.32,7.33
998,2.80,-2.85,6.92
1003,2.77,-2.70,6.79
1007,3.75,-4.50,6.64
1012,2.68,-4.22,7.22
1016,2.48,-4.21,7.89
1021,2.45,-3.50,8.59
1025,1.81,-1.88,9.20
1030,1.60,-1.93,9.59
1035,1.34,-2.85,9.86
1039,1.23,-3.51,9.88
1044,1.34,-3.22,10.19
1049,1.43,-2.84,10.48
1053,1.30,-2.08,10.35
