timestamp,accX,accY,accZ
0,19.54,-0.91,14.87
91,19.54,-0.95,15.01
95,19.54,-1.03,14.60
99,19.54,-1.11,14.49
104,19.54,-1.02,14.35
109,19.54,-0.77,14.05
114,19.54,-0.57,13.65
118,19.54,-0.30,13.74
123,19.54,-0.39,13.46
128,19.54,-0.38,12.46
133,19.54,-0.36,11.65
137,19.53,-0.03,11.21
141,19.50,0.54,10.51
146,19.47,0.90,11.18
151,18.53,0.69,10.16
155,18.94,1.02,9.66
160,18.97,0.96,9.43
165,19.07,0.79,8.64
170,19.18,0.32,8.28
174,19.25,-0.61,7.26
179,18.68,-1.80,6.34
183,17.96,-3.10,5.68
188,16.77,-3.91,4.82
192,15.89,-3.95,4.58
197,15.30,-3.82,4.02
202,14.68,-3.35,3.82
207,14.19,-2.19,4.47
212,12.15,0.29,5.16
216,12.01,1.64,5.02
221,11.87,-0.11,4.45
225,11.77,-0.89,3.88
230,10.95,-1.01,3.24
234,9.86,-1.74,3.96
239,9.17,1.09,6.93
244,8.54,10.19,7.22
249,8.93,7.73,7.37
253,10.79,7.61,4.89
258,10.73,2.54,2.60
263,9.48,0.89,0.88
267,8.55,-2.60,0.07
271,8.33,-5.45,-0.29
276,7.49,-5.49,0.45
281,6.65,-4.36,1.58
285,6.08,-4.23,2.00
290,5.66,-4.11,2.30
295,5.19,-4.58,2.01
300,5.00,-6.37,1.01
304,4.74,-7.95,-0.44
308,3.89,-8.23,-1.60
313,3.19,-7.35,-1.74
318,2.84,-6.08,-2.52
322,2.54,-6.03,-3.92
327,1.82,-6.89,-6.14
332,0.90,-7.51,-7.56
336,0.24,-7.69,-8.57
341,-0.59,-7.63,-9.61
346,-1.49,-6.84,-10.03
350,-2.01,-6.26,-10.45
354,-2.55,-5.71,-10.49
359,-3.03,-4.63,-10.05
364,-3.38,-3.77,-9.04
368,-4.10,-3.24,-8.19
373,-4.31,-2.48,-7.61
378,-4.83,-1.45,-6.50
383,-5.12,-0.72,-5.75
387,-5.43,-0.39,-5.28
391,-5.74,0.11,-4.90
396,-5.96,0.24,-4.62
400,-5.91,0.60,-4.05
405,-5.99,1.17,-4.23
410,-6.23,1.58,-4.06
414,-5.91,1.74,-3.70
419,-5.71,2.00,-4.04
424,-5.89,2.28,-4.08
429,-6.15,2.39,-3.97
432,-6.01,2.40,-4.28
437,-5.87,2.35,-4.52
442,-5.78,2.13,-4.67
447,-5.75,1.65,-5.05
451,-5.75,1.09,-5.42
456,-5.79,0.42,-5.78
461,-5.68,-0.12,-6.06
466,-5.62,-0.57,-6.11
470,-5.64,-0.80,-6.26
474,-5.61,-0.94,-5.73
479,-5.29,-1.25,-5.86
483,-5.22,-1.35,-5.68
488,-4.89,-1.26,-5.68
493,-5.04,-1.31,-5.30
498,-4.91,-1.46,-5.45
502,-4.74,-1.54,-5.61
507,-4.68,-1.51,-5.62
512,-4.34,-1.88,-5.77
515,-4.34,-2.11,-6.53
520,-4.21,-2.31,-6.68
525,-3.88,-2.44,-6.85
530,-3.63,-2.75,-6.81
534,-3.24,-2.85,-6.72
539,-2.94,-2.98,-6.99
544,-2.53,-3.07,-6.99
549,-2.36,-3.42,-6.75
553,-1.90,-3.50,-7.00
557,-1.60,-3.62,-6.72
562,-1.11,-3.48,-6.65
567,-0.97,-3.38,-6.02
571,-0.34,-3.53,-5.48
576,0.17,-3.63,-5.42
581,0.38,-3.50,-5.06
586,1.12,-3.52,-4.77
590,1.62,-3.33,-4.53
