timestamp,accX,accY,accZ
0,19.54,-1.34,19.34
91,19.54,-1.34,18.75
95,19.54,-1.43,18.45
99,19.54,-1.47,17.55
104,19.54,-1.22,16.62
109,19.54,-1.03,15.89
113,19.54,-0.95,15.49
118,19.54,-1.01,15.16
123,19.54,-0.98,14.85
128,19.54,-1.19,14.68
132,19.54,-1.45,14.28
137,19.33,-1.57,14.01
141,19.15,-1.74,13.68
146,18.85,-1.77,13.35
150,18.44,-1.63,12.99
155,17.66,-1.36,12.21
160,16.95,-0.88,11.84
165,16.67,-0.57,11.33
169,16.26,0.01,10.88
174,15.93,0.59,10.24
179,15.12,1.25,9.58
183,14.49,1.86,9.20
187,13.92,2.64,9.26
192,13.58,3.23,9.34
197,13.01,3.39,9.61
202,12.22,3.77,9.91
206,11.87,3.88,10.67
211,11.15,4.03,11.40
216,10.75,4.34,11.72
221,10.77,4.54,12.06
224,10.52,4.45,12.48
229,9.91,4.93,12.78
234,9.33,6.75,13.78
239,10.34,8.63,12.83
243,11.08,6.10,10.64
248,12.03,3.45,10.21
253,12.21,1.68,8.64
258,11.70,0.62,8.01
262,10.94,1.12,8.23
266,10.88,3.81,9.56
271,11.04,9.09,7.01
275,11.98,4.32,3.82
280,12.61,1.33,2.54
285,11.26,-0.94,0.41
290,9.72,-2.57,-1.25
294,9.27,-3.14,-2.26
299,8.44,-3.66,-1.84
304,7.99,-2.76,-1.96
308,6.70,-3.76,-1.61
312,5.43,-5.55,-1.33
317,4.07,-6.05,-0.96
322,3.28,-6.13,-0.74
327,3.01,-5.86,-0.09
331,2.77,-5.29,-0.17
336,2.88,-4.54,-0.92
341,2.54,-3.95,-2.00
346,2.20,-4.34,-2.82
349,1.55,-4.97,-4.03
354,0.94,-5.27,-4.94
359,0.65,-5.35,-6.25
364,0.15,-5.11,-6.50
368,0.11,-4.61,-6.83
373,-0.02,-4.44,-7.55
378,-0.70,-3.92,-7.61
382,-1.52,-3.54,-8.14
387,-1.90,-3.41,-8.00
391,-2.30,-3.28,-8.61
396,-2.47,-2.92,-8.65
400,-3.18,-3.07,-8.81
405,-3.42,-2.84,-8.89
410,-4.11,-2.73,-8.60
414,-4.49,-2.49,-8.55
419,-4.75,-2.44,-8.30
424,-4.85,-2.34,-7.93
429,-4.78,-2.20,-7.66
432,-4.77,-1.88,-7.47
437,-4.96,-1.75,-7.31
442,-5.10,-1.43,-6.82
446,-5.00,-1.43,-6.68
451,-5.11,-1.10,-6.47
456,-5.22,-0.77,-5.36
461,-5.14,-0.48,-5.10
465,-4.99,-0.30,-4.76
470,-5.23,-0.06,-4.37
474,-5.11,-0.04,-3.79
479,-5.12,-0.11,-3.82
483,-4.93,-0.24,-3.89
488,-4.89,-0.27,-4.12
493,-4.93,-0.41,-4.50
497,-4.89,-0.20,-4.85
502,-5.12,-0.35,-5.25
507,-5.10,-0.44,-5.64
512,-4.84,-0.67,-5.99
515,-4.71,-1.02,-6.38
520,-4.85,-1.48,-7.02
525,-4.50,-1.80,-7.16
530,-4.26,-2.23,-7.41
534,-4.12,-2.54,-7.55
539,-4.24,-2.82,-7.40
544,-3.86,-3.10,-7.42
549,-3.98,-3.08,-7.00
553,-3.90,-3.30,-6.94
557,-3.54,-3.58,-6.90
562,-3.07,-3.60,-6.75
567,-2.91,-3.75,-6.70
571,-2.57,-3.77,-6.68
576,-2.36,-3.77,-6.31
581,-2.08,-3.84,-5.91
586,-2.01,-3.79,-5.80
