timestamp,accX,accY,accZ
0,19.53,-2.48,13.97
91,19.54,-2.91,13.32
95,19.54,-3.68,12.54
99,19.54,-4.37,11.82
104,19.54,-4.89,11.35
109,19.54,-5.20,10.82
114,19.54,-5.43,11.04
118,19.54,-5.49,10.69
123,19.54,-5.25,10.52
128,19.54,-5.26,10.70
133,19.54,-5.08,10.56
137,19.54,-4.76,10.56
141,19.54,-4.82,10.54
146,19.54,-4.81,10.14
151,19.54,-4.70,9.83
155,19.54,-4.93,9.45
160,19.54,-5.04,8.92
165,19.54,-5.18,8.47
170,19.51,-5.43,8.16
174,19.45,-5.79,7.58
179,19.31,-5.60,7.47
183,19.19,-5.33,7.10
188,19.03,-5.25,6.70
192,18.73,-5.14,6.66
197,18.30,-4.83,6.26
202,17.68,-4.78,5.96
207,17.56,-4.68,5.35
211,17.38,-4.46,5.19
216,17.16,-4.32,5.27
221,17.26,-4.17,5.14
225,16.75,-4.02,5.50
229,16.07,-4.09,5.57
234,15.74,-3.97,5.95
239,15.36,-3.76,6.79
244,15.00,-3.66,7.03
248,14.61,-3.50,6.98
253,14.07,-3.38,7.17
258,13.90,-3.29,7.40
263,13.73,-1.47,8.38
267,12.74,-0.77,7.55
271,12.85,-1.96,6.99
276,13.15,-3.49,5.80
281,11.81,1.04,6.31
285,11.17,7.13,6.27
290,12.63,5.83,3.99
295,14.23,3.60,1.73
300,13.66,0.77,-1.12
305,12.62,-1.96,-2.88
308,11.41,-4.59,-5.00
313,10.13,-7.81,-5.78
318,7.98,-10.38,-7.12
322,6.40,-10.39,-6.68
327,5.08,-9.26,-5.31
332,4.90,-6.72,-4.51
337,4.90,-7.41,-5.25
341,4.69,-9.66,-5.60
346,3.90,-10.46,-6.54
350,3.13,-9.51,-6.60
354,2.72,-8.28,-6.12
359,2.63,-6.02,-6.36
364,2.47,-5.51,-7.64
369,1.60,-5.90,-9.05
373,0.71,-5.81,-9.59
378,-0.04,-5.99,-10.80
383,-0.64,-5.38,-11.38
388,-1.40,-5.00,-11.87
391,-1.96,-3.96,-11.90
396,-2.15,-2.64,-11.30
401,-2.74,-1.46,-10.47
406,-3.26,-0.11,-9.91
410,-3.64,0.47,-9.84
415,-4.31,1.35,-9.23
420,-4.87,1.49,-8.56
425,-5.30,2.06,-8.23
429,-5.75,2.53,-7.58
433,-6.30,2.71,-7.10
438,-6.55,2.56,-6.16
443,-6.48,2.20,-6.02
447,-6.61,1.87,-5.32
452,-6.63,1.78,-4.93
457,-6.79,1.51,-4.68
461,-6.57,1.29,-4.45
466,-6.69,1.15,-4.36
471,-6.85,0.94,-4.20
475,-6.68,1.15,-4.21
479,-6.77,1.31,-3.49
484,-6.69,1.24,-3.21
489,-6.61,1.35,-2.64
494,-6.44,1.54,-2.54
498,-6.49,1.71,-1.98
503,-6.28,2.01,-1.46
508,-6.30,2.00,-1.09
512,-6.24,2.03,-0.83
516,-6.37,1.79,-0.21
521,-6.32,1.74,-0.25
526,-6.25,1.72,-0.16
530,-6.05,1.76,-0.52
