timestamp,accX,accY,accZ
0,16.51,-2.63,18.23
91,16.87,-2.85,18.46
95,17.44,-3.05,18.88
100,17.74,-3.10,18.55
104,18.25,-3.13,18.52
109,18.97,-3.18,17.95
113,19.07,-3.39,17.53
118,19.22,-3.47,16.69
123,19.33,-3.61,16.14
128,19.46,-3.61,15.25
133,19.52,-3.50,14.42
137,19.54,-3.25,13.58
142,19.54,-2.94,13.18
146,19.54,-2.51,12.98
151,19.54,-2.16,12.63
155,19.54,-1.67,12.75
160,19.54,-1.48,12.60
165,19.53,-1.15,12.39
170,19.53,-1.17,11.81
174,19.51,-1.00,11.42
179,19.46,-1.03,11.14
184,19.33,-1.14,11.11
188,19.25,-1.21,10.97
193,18.75,-1.37,10.89
197,18.68,-1.35,10.69
202,18.55,-1.31,10.06
207,18.30,-1.32,9.71
212,18.35,-1.18,9.74
216,18.20,-1.11,9.06
221,17.89,-0.99,8.62
226,17.82,-1.01,8.52
230,17.64,-1.13,7.94
234,17.38,-1.10,7.34
239,17.04,-1.24,6.90
244,17.05,-1.31,6.52
249,16.79,-1.33,6.45
253,16.66,-1.19,6.33
258,15.97,-1.09,6.30
263,15.57,-0.96,6.53
268,15.43,-1.15,6.88
271,14.86,-1.15,6.71
276,14.63,-1.60,7.06
281,14.14,-1.67,7.42
286,13.75,-1.58,7.88
291,13.37,-1.65,7.77
295,12.98,-2.03,7.78
300,12.81,-0.80,8.61
305,11.98,0.31,7.47
309,11.93,-0.44,6.98
313,11.69,0.34,7.11
318,11.12,6.14,6.91
323,11.43,5.41,6.08
327,12.26,2.10,3.44
332,11.75,0.18,1.99
337,10.90,-0.57,0.75
342,9.99,-3.02,0.55
346,9.68,-4.34,0.19
351,8.67,-4.95,0.08
355,8.97,-5.11,0.15
359,7.74,-5.44,-0.30
364,7.08,-6.06,-0.86
369,6.73,-7.09,-1.99
374,6.35,-9.60,-3.76
378,5.94,-10.42,-4.89
383,5.27,-10.32,-5.26
388,4.89,-9.36,-5.88
393,4.32,-9.01,-6.48
396,3.84,-9.52,-8.04
401,2.93,-9.86,-9.92
406,1.71,-10.09,-11.20
411,1.25,-10.37,-12.40
415,0.29,-10.04,-13.17
420,-0.79,-8.92,-13.39
425,-1.57,-7.42,-12.81
430,-1.86,-5.37,-12.29
434,-2.17,-4.79,-11.99
438,-2.39,-3.41,-11.12
443,-2.62,-2.72,-10.70
448,-3.02,-1.82,-9.70
452,-3.76,-0.92,-8.92
457,-4.15,-0.34,-8.01
462,-4.40,-0.23,-7.41
466,-4.61,-0.37,-7.21
471,-4.80,-0.54,-6.94
476,-4.98,-0.91,-6.87
480,-5.26,-1.15,-6.26
484,-5.25,-1.60,-6.35
489,-5.21,-1.84,-6.09
494,-5.38,-1.98,-6.05
499,-5.43,-2.25,-5.82
503,-5.64,-2.35,-5.77
508,-5.65,-2.14,-5.76
513,-5.59,-2.10,-5.50
518,-5.56,-1.95,-5.30
521,-5.48,-1.91,-5.04
526,-5.51,-1.70,-4.73
531,-5.48,-1.57,-4.68
536,-5.36,-1.54,-4.82
540,-5.35,-1.25,-4.51
545,-5.45,-0.97,-4.41
550,-5.39,-0.81,-4.27
554,-5.26,-0.68,-4.14
559,-5.11,-0.41,-4.17
563,-4.92,-0.12,-4.41
568,-4.88,0.09,-5.35
572,-5.01,0.10,-5.58
577,-5.02,0.15,-5.87
582,-4.93,-0.01,-5.75
587,-4.88,-0.06,-6.22
591,-4.62,-0.16,-6.40
596,-4.16,-0.24,-6.99
601,-3.95,-0.24,-7.53
605,-4.09,-0.20,-7.59
609,-3.74,-0.12,-7.36
614,-3.43,-0.29,-7.30
619,-3.23,-0.18,-7.36
624,-3.11,-0.30,-6.75
628,-2.74,-0.27,-6.88
633,-2.61,-0.29,-6.59
638,-2.23,-0.35,-6.17
643,-2.03,-0.34,-5.53
646,-1.48,-0.55,-4.95
651,-1.02,-0.66,-4.81
656,-0.64,-0.89,-4.26
660,-0.22,-1.28,-3.13
665,-0.08,-1.91,-1.93
670,-0.03,-2.24,-0.67
675,-0.13,-1.69,0.53
679,-0.38,-0.50,2.32
684,-0.56,-0.18,3.50
688,-0.96,0.47,3.94
693,-1.01,0.86,4.02
697,-0.97,1.41,4.11
702,-0.62,1.70,4.19
707,-0.44,1.70,4.33
712,-0.11,1.15,4.09
716,0.24,1.02,3.71
721,0.65,0.62,3.41
726,0.88,-0.28,3.47
729,1.26,-1.71,3.71
734,1.82,-3.26,3.78
739,2.02,-4.87,4.74
743,2.40,-5.63,6.29
748,2.93,-7.29,7.93
753,3.07,-8.91,9.87
758,3.08,-10.57,11.78
762,3.14,-11.89,13.80
767,3.29,-12.58,14.91
771,3.53,-13.10,16.55
776,3.59,-13.01,18.28
780,3.74,-12.69,19.07
785,3.60,-12.57,19.35
790,3.80,-12.14,19.48
795,3.97,-11.82,19.53
800,4.06,-11.37,19.54
805,4.15,-11.24,19.52
809,4.41,-11.11,19.53
813,4.89,-10.96,19.50
818,4.89,-10.31,19.53
823,5.21,-10.10,19.19
827,5.30,-9.91,18.88
832,5.58,-9.63,18.56
837,5.79,-9.59,18.58
842,5.98,-9.34,18.54
846,6.03,-9.39,18.27
851,6.23,-9.41,18.53
855,6.31,-9.44,18.70
860,6.17,-9.24,18.88
864,5.98,-9.10,19.11
869,5.86,-8.77,19.20
874,5.57,-8.94,18.95
879,5.48,-9.03,18.87
883,5.46,-9.43,18.62
888,5.27,-9.06,18.36
893,4.99,-8.13,18.00
897,4.95,-8.11,17.35
902,5.12,-9.19,16.66
906,5.33,-9.71,16.13
911,5.09,-7.63,16.54
916,4.87,-6.50,16.50
920,4.56,-5.89,15.63
925,4.52,-6.66,14.73
930,4.27,-7.12,14.62
935,3.96,-5.05,14.33
938,3.54,-3.94,13.77
943,3.51,-6.92,12.29
948,3.20,-8.05,11.68
952,2.60,-9.14,11.57
957,2.36,-8.75,11.93
962,1.92,-7.44,12.97
967,2.00,-6.05,13.03
972,1.94,-4.44,12.88
976,1.84,-2.86,12.92
980,1.47,-2.40,12.27
985,1.30,-1.82,11.41
990,1.41,-2.00,10.86
994,1.47,-2.24,10.39
999,1.42,-2.54,10.05
1004,1.24,-2.60,10.14
1008,1.25,-2.43,10.02
1013,1.30,-2.22,9.88
1018,1.14,-1.74,10.12
1022,1.09,-1.21,9.89
1026,1.09,-0.59,9.93
1031,1.15,-0.30,10.15
1036,1.13,0.11,9.85
1040,1.13,0.27,9.58
1045,1.12,0.44,9.61
1050,1.23,0.34,9.82
1055,1.02,0.01,9.90
1059,1.11,-0.32,9.76
1063,1.09,-0.75,9.86
1068,1.21,-1.04,10.06
1073,1.56,-1.18,9.85
1077,1.67,-1.20,9.75
1082,1.75,-1.30,9.82
1087,1.88,-1.07,9.62
1091,2.14,-1.09,9.39
1096,2.34,-1.12,9.66
1101,2.49,-1.02,9.58
1105,2.73,-1.00,9.43
1109,3.06,-0.96,9.50
1114,3.00,-1.22,9.56
1119,3.13,-1.16,9.70
1123,3.34,-1.25,9.59
1128,3.52,-1.27,9.82
1133,3.87,-1.19,9.76
1138,4.06,-1.02,9.96
1142,4.44,-1.03,10.42
1146,4.48,-1.22,10.23
1151,4.65,-1.48,10.66
1156,4.95,-1.92,10.38
1160,5.15,-2.29,10.46
1165,5.33,-2.45,10.34
1170,5.64,-2.57,10.14
1175,5.85,-2.62,10.20
1179,5.97,-2.29,10.13
1184,6.24,-1.74,10.34
1188,6.48,-1.15,10.44
1193,6.67,-0.58,10.72
1197,7.06,-0.29,10.98
1202,7.39,-0.15,11.41
1207,7.57,-0.30,12.01
1212,7.90,-0.82,12.51
1216,8.14,-1.25,12.52
1221,8.53,-1.85,12.93
1226,8.99,-2.39,13.08
1230,9.34,-2.78,13.07
1234,9.56,-2.91,13.53
1239,9.92,-3.27,13.55
1244,10.03,-3.50,14.19
1249,10.65,-3.57,14.27
1253,10.67,-3.75,14.32
1258,10.53,-3.77,14.48
1263,10.46,-3.67,14.24
1268,10.87,-3.61,14.47
1272,10.86,-3.25,14.27
1276,10.84,-2.85,14.14
1281,11.13,-2.39,14.22
1286,10.86,-2.03,14.64
1291,10.92,-1.45,14.78
1295,10.75,-1.07,14.64
1300,10.99,-0.75,14.86
1305,11.15,-0.30,14.89
1310,11.48,0.18,14.85
1313,11.57,0.38,15.04
1318,11.69,0.43,14.73
1323,12.03,0.29,14.52
1328,12.36,0.05,14.46
1332,12.71,-0.22,14.83
1337,12.77,-0.37,14.29
1342,12.92,-0.60,14.39
1347,12.98,-0.93,14.46
1352,12.96,-1.09,14.39
1355,13.32,-1.58,14.44
1360,13.61,-2.03,14.93
1365,13.94,-2.54,14.97
1370,14.51,-2.90,15.17
1375,15.12,-3.76,15.36
1379,15.32,-4.84,15.27
1384,15.13,-6.26,15.30
1389,14.77,-7.63,15.00
1393,14.71,-9.13,14.95
1397,14.09,-10.61,14.73
1402,13.73,-12.11,14.37
1407,13.09,-12.71,14.20
1412,12.67,-13.96,13.67
1416,12.29,-15.05,12.99
1421,11.41,-15.66,12.69
1426,10.56,-16.41,11.81
1431,9.70,-16.96,11.15
1436,8.68,-17.08,10.35
1439,7.54,-16.96,8.94
1444,6.65,-16.92,7.80
1449,5.49,-16.54,6.64
1454,5.12,-15.76,5.55
1458,4.64,-14.87,4.30
1463,3.91,-13.49,3.89
1468,3.48,-12.26,3.58
1472,2.72,-11.53,3.24
1477,2.16,-10.41,3.35
1481,1.84,-9.59,3.76
1486,1.59,-8.56,4.88
1490,1.24,-7.90,5.46
1495,1.01,-7.40,5.87
1500,0.81,-7.17,6.48
1505,0.31,-7.13,7.22
1509,-0.11,-7.12,8.03
1514,-0.11,-7.05,8.53
1519,-0.59,-6.92,8.92
1522,-1.00,-6.61,9.40
1527,-1.06,-6.25,9.78
1532,-1.11,-5.88,9.88
1537,-1.32,-5.60,9.96
1541,-1.29,-5.26,9.92
1546,-1.22,-4.90,10.30
1551,-1.38,-4.57,10.00
1556,-1.28,-4.44,9.86
1561,-1.40,-4.08,9.72
1564,-1.30,-3.90,9.26
1569,-1.31,-3.68,8.92
1574,-1.58,-3.39,8.72
1579,-1.55,-3.08,8.24
1583,-1.55,-3.02,8.23
1588,-1.41,-2.99,7.87
1593,-1.49,-2.66,7.55
1597,-1.39,-2.28,7.40
1602,-1.40,-2.14,7.13
1606,-1.44,-2.09,6.54
1611,-1.49,-1.80,6.80
1615,-1.50,-1.57,6.71
1620,-1.58,-1.49,6.76
1625,-1.57,-1.35,7.01
1630,-1.48,-1.46,7.00
